age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
6	319.562972596835	480.27733156874	687.696463813121	850.758711772631	1031.93270775108	1213.10670372953	1376.16895168904	1583.58808393342	1744.30244290532
6.25	321.0217796912	480.608671830912	686.572687099659	848.490996973405	1028.39399468743	1208.29699240145	1370.21530227519	1576.17931754394	1735.76620968365
6.5	322.480586785565	480.940012093083	685.448910386198	846.223282174178	1024.85528162377	1203.48728107337	1364.26165286135	1568.77055115446	1727.22997646198
6.75	323.928746989965	481.26310745967	684.319988808746	843.952859596271	1021.31656856015	1198.68027752404	1358.31314831156	1561.37002966064	1718.70439013034
7	325.342150595262	481.559287498732	683.174271906466	841.673597518881	1017.77785549661	1193.88211347434	1352.38143908676	1553.99642349449	1710.21356039796
7.25	326.720408544369	481.828250926518	682.011571676518	839.38539699479	1014.23914243319	1189.09288787159	1346.46671318986	1546.65003393986	1701.75787632201
7.5	328.063795859601	482.070210718864	680.8320210171	837.088327969277	1010.7004293699	1184.31253077053	1340.56883772271	1539.33064802094	1693.33706288021
7.75	329.372572135022	482.285367904049	679.635745371057	834.78245646381	1007.16171630676	1179.54097614971	1334.68768724246	1532.03806470947	1684.95086047849
8	330.64698877532	482.473917168526	678.422866223873	832.467846417035	1003.62300324368	1174.77816007033	1328.8231402635	1524.77208931884	1676.59901771205
8.25	331.887292151229	482.636044757362	677.193492221986	830.144545471344	1000.08427004315	1170.02399461495	1322.97504786431	1517.53249532894	1668.28124793507
8.5	333.093737420026	482.771961871529	675.947777836036	827.812663498909	996.545577025188	1165.27849055147	1317.14337621434	1510.31919217885	1659.99741663035
8.75	334.26659557504	482.881864799313	674.685822939434	825.472224576727	993.006864051481	1160.54150352624	1311.32790516353	1503.13186330365	1651.74713252792
9	335.406131606692	482.965963214774	673.407765814538	823.123310862675	989.46815092153	1155.81299098038	1305.52853602852	1495.97033862829	1643.53017023637
9.25	336.512596231186	483.024451335073	672.113727760429	820.76598633139	985.929437918356	1151.09288950532	1299.74514807628	1488.83442450164	1635.34627960553
9.5	337.586232980387	483.057517717609	670.803826384057	818.40031281223	982.39072489836	1146.38113698449	1293.97762341266	1481.72393207911	1627.19521681633
9.75	338.627261471263	483.065332406045	669.478167749413	816.026346071662	978.852011743808	1141.67767741596	1288.2258557382	1474.63869108157	1619.07676201635
10	339.635888076011	483.048055271619	668.136851713255	813.644138786147	975.31329871043	1136.98245863471	1282.4897457076	1467.57854214924	1610.99070934485
10.25	340.612320472844	483.005846993979	666.779978298538	811.253743293471	971.774585154321	1132.29542701517	1276.7691920101	1460.54332331466	1602.9368498358
10.5	341.556769758958	482.938870999782	665.407649407971	808.85521312938	968.235870872023	1127.61652861467	1271.06409233608	1453.53287074427	1594.91497198509
10.75	342.469449385588	482.847293407818	664.019970072745	806.448605301138	964.697159512729	1122.94571372432	1265.37434895271	1446.54702561764	1586.92486963987
11	343.350568074862	482.731274806166	662.617038758779	804.033969437417	961.158446443389	1118.28292344936	1259.699854128	1439.58561808061	1578.96632481192
11.25	344.200339096487	482.590980737881	661.19895941276	801.611361061014	957.619733384334	1113.62810570765	1254.04050735591	1432.64848603079	1571.03912767218
11.5	345.018980194113	482.426579819496	659.765837247405	799.180835539823	954.081020322249	1108.98120510467	1248.39620339709	1425.735460825	1563.14306045039
11.75	345.806711524368	482.238242541527	658.317778653782	796.742448873228	950.542307267693	1104.34216566216	1242.7668358816	1418.84637199386	1555.27790301102
12	346.563757597148	482.026142761685	656.854892117516	794.296258154684	947.003594213692	1099.7109302727	1237.15229630987	1411.9810456657	1547.44343083024
12.25	347.290348592106	481.790458729519	655.377288866786	791.842321923616	943.464881158639	1095.08744039366	1231.55247345049	1405.13930358776	1539.63941372517
12.5	347.986707872925	481.531363418493	653.885076841067	789.380696993125	939.926168110522	1090.47163922792	1225.96725937998	1398.32097280255	1531.86562834812
12.75	348.653040418551	481.249015561321	652.378355087347	786.911435488354	936.387455060905	1085.86347463346	1220.39655503446	1391.52589456049	1524.12186970326
13	349.289545848439	480.943569730839	650.857220040965	784.434588139929	932.848741959166	1081.2628957784	1214.84026387737	1384.75391418749	1516.40793806989
13.25	349.896415544	480.615174175438	649.32176428252	781.950203765299	929.310028998712	1076.66985423212	1209.2982937149	1378.00488382199	1508.72364245342
