age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
6	631.318069840539	692.826009650191	772.208608585784	834.615122831804	903.953290939512	973.29145904722	1035.69797329324	1115.08057222883	1176.58851203848
6.25	627.474601478254	690.581104270413	772.026820333751	836.055251097373	907.195486209029	978.335721320686	1042.36415208431	1123.80986814765	1186.9163709398
6.5	623.598628722561	688.311547741271	771.830516386805	837.488831640747	910.439986752525	983.391141864302	1049.04945711824	1132.56842576378	1197.28134478249
6.75	619.578684192178	685.932804182337	771.569918857349	838.893411519643	913.694699625778	988.495987731914	1055.81948039421	1141.45659506922	1207.81071505938
7	615.36161664287	683.405037904656	771.222377209887	840.259850281862	916.965495059985	993.671139838107	1062.70861291008	1150.52595221531	1218.5693734771
7.25	610.979332425881	680.753250583139	770.803981893331	841.597232829013	920.253674285084	998.910115741154	1069.70336667684	1159.75409798703	1229.52801614429
7.5	606.444464860834	677.987548057333	770.321576762879	842.909838612057	923.560667512754	1004.21149641345	1076.79975826263	1169.13378696818	1240.67687016467
7.75	601.78012324912	675.126004876375	769.786738479422	844.20413598653	926.887267400412	1009.57039881429	1083.9877963214	1178.64852992445	1251.9944115517
8	597.014415865654	672.190268858735	769.212776948892	845.486880020594	930.232946115571	1014.97901221055	1091.25311528225	1188.27562337241	1263.45147636549
8.25	592.178926951007	669.204051139315	768.613242218173	846.763632636627	933.594390194334	1020.42514775204	1098.5755381705	1197.98472924935	1275.00985343766
8.5	587.308974196739	666.193118670519	768.001574985565	848.038144266259	936.96458347854	1025.89102269082	1105.92759197152	1207.73604828656	1286.62019276034
8.75	582.442272626893	663.183338118582	767.388350339677	849.308968546681	940.32872290008	1031.34847725348	1113.26909546048	1217.47410768158	1298.21517317327
9	577.618144502213	660.197940192326	766.77603111422	850.562241676905	943.654804581487	1036.74736748607	1120.53357804875	1227.11166897065	1309.69146466076
9.25	572.876354298904	657.259896684319	766.165916340904	851.782224679338	946.908159079853	1042.03409348037	1127.6504018188	1236.55642147539	1320.9399638608
9.5	568.23129814243	654.372024153488	765.545877905025	852.945040705922	950.051855851395	1047.15867099687	1134.55783379777	1245.7316875493	1331.87241356036
9.75	563.687070145115	651.529025216196	764.898497689273	854.023742942268	953.048361007472	1052.07297907268	1141.19822432567	1254.56769679875	1342.40965186983
10	559.238971265247	648.720431359207	764.20586105808	854.994562994607	955.86740220397	1056.74024141333	1147.52894334986	1263.01437304873	1352.49583314269
10.25	554.871398236942	645.929004446691	763.448619900457	855.836493998062	958.486129580009	1061.13576516196	1153.52363925956	1271.04325471333	1362.10086092308
10.5	550.567534021708	643.136224844228	762.60605719917	856.527091466107	960.880179305267	1065.23326714443	1159.15430141136	1278.62413376631	1371.19282458883
10.75	546.311247203216	640.322984774476	761.655223863493	857.040386465106	963.020227181391	1069.00006789768	1164.38523049929	1285.71746958831	1379.72920715957
11	542.084096867494	637.468301236988	760.571856057498	857.349535935112	964.876564443293	1072.40359295147	1169.18127282909	1292.2848276496	1387.66903201909
11.25	537.852597160955	634.540332215158	759.326233312664	857.426487259531	966.422991578958	1075.41949589839	1173.51974984525	1298.30565094276	1394.99338599696
11.5	533.574310515977	631.500728957679	757.885283934057	857.242317293591	967.635194784035	1078.02807227448	1177.38510563401	1303.76966061039	1401.69607905209
11.75	529.196282399059	628.304723201012	756.214804918279	856.771128897729	968.496505336695	1080.22188177566	1180.77820575511	1308.68828747238	1407.79672827433
12	524.652541542701	624.899561267922	754.279101307187	855.990637800907	968.999539212904	1082.0084406249	1183.71997711862	1313.09951715789	1413.34653688311
12.25	519.898494180824	621.249488731337	752.053826789564	854.885466165532	969.138883200386	1083.39230023524	1186.22393961121	1317.02827766943	1418.37927221995
12.5	514.971950918569	617.383581072325	749.55678323118	853.464553121167	968.913629285334	1084.3627054495	1188.27047533949	1320.44367749834	1422.8553076521
12.75	509.93424251878	613.349503068683	746.817997989147	851.744060392405	968.324533467953	1084.9050065435	1189.83106894676	1323.29956386722	1426.71482441713
13	504.897386459099	609.235836412144	743.895806357751	849.758545112342	967.379733617938	1085.00092212353	1190.86366087812	1325.52363082373	1429.86208077678
13.25	500.004278938453	605.156056700715	740.865713491338	847.553662026481	966.091718509393	1084.6297749923	1191.31772352745	1327.02738031807	1432.17915808033
13.5	495.393349496157	601.221454052929	737.803983172623	845.178139014777	964.47862163517	1083.77910425556	1191.15326009772	1327.73578921741	1433.56389377418
13.75	491.192985384006	597.53739729086	734.786276469194	842.684282437005	962.566800579087	1082.44931872117	1190.34732468898	1327.59620386732	1433.94061577417
14	487.528147213344	594.206654111909	731.886718740699	840.123700520809	960.382845400365	1080.64199027992	1188.87897206003	1326.55903668882	1433.23754358739
14.25	484.515582519883	591.325244007832	729.174577713101	837.544630130533	957.951626149227	1078.35862216792	1186.72867458535	1324.57800829062	1431.38766977857
14.5	482.264368327036	588.98322936012	726.71537533135	834.993300782775	955.297937053717	1075.60257332466	1183.88049877608	1321.61264474731	1428.3315057804
14.75	480.853431831412	587.248362134397	724.562440725869	832.511703117122	952.451170866918	1072.39063861672	1180.33990100797	1317.65397959944	1424.04890990242
15	480.337802373485	586.170609352452	722.759207452773	830.138134415186	949.443918096574	1068.74970177796	1176.12862874038	1312.7172268407	1418.55003381966
15.25	480.748848911718	585.781968164406	721.338483410947	827.906039944814	946.310332173717	1064.71462440262	1171.28218093649	1306.83869618303	1411.87181543572
15.5	482.082981712547	586.087962497741	720.317554685765	825.84195259463	943.087219856713	1060.3324871188	1165.85688502766	1300.08647721568	1404.09145800088
15.75	484.312618661545	587.075255247651	719.701468886477	823.965373089996	939.810140332235	1055.65490757447	1159.91881177799	1292.54502541682	1395.30766200293
16	487.331206888218	588.667650846595	719.453209803727	822.270086016788	936.507100105832	1050.74411419488	1153.56099040794	1284.34654936507	1385.68299332345
16.25	491.00778283288	590.769340583066	719.522339831308	820.741322196982	933.202960212758	1045.66459822853	1146.88358059421	1275.63657984245	1375.39813759264
16.5	495.174893911793	593.253214139503	719.833814676723	819.344968967665	929.90908600225	1040.47320303684	1139.98435732778	1266.564957865	1364.64327809271
16.75	499.639869139594	595.970104298043	720.294613404012	818.032144710415	926.625637842231	1035.21913097405	1132.95666228045	1257.28117138642	1353.61140654487
17	504.240932421898	598.794366380578	720.825722806324	816.760495481421	923.350992891631	1029.94149030184	1125.87626297694	1247.90761940268	1342.46105336136
17.25	508.87022311055	601.64141104034	721.372587649402	815.499077320124	920.080441029174	1024.66180473822	1118.78829440895	1238.51947101801	1331.2906589478
17.5	513.438958549092	604.441472416599	721.889985288777	814.221962195684	916.809491940569	1019.39702168545	1111.72899859236	1229.17751146454	1320.18002533205
17.75	517.903826551865	607.160852605028	722.356626082229	812.917615203018	913.5374489419	1014.15728268078	1104.71827180157	1219.91404527877	1309.17107133194
18	522.306747138471	609.832192524834	722.793175273835	811.597286926688	910.265102247488	1008.93291756829	1097.73702922114	1210.69801197014	1298.2234573565
