age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	171.382311711699	183.66642901652	204.00035596289	225.42205758527	258.754194366423	311.019404645113	394.090354478914	654.116331530784	1297.69236914671
5.25	174.014010906066	186.659485625701	207.521017367774	229.386063037595	263.144777541661	315.387517718672	396.818074530661	645.082774433576	1262.40218684731
5.5	176.651050972853	189.663020685373	211.051500362396	233.346186441917	267.483945126488	319.571150874034	399.013687366264	632.959075499366	1208.9923535193
5.75	179.294856872663	192.678446251082	214.592863853201	237.303174308601	271.773896296921	323.586432453127	400.768807497194	618.611563907946	1139.77296724119
6	181.947170097771	195.707564464115	218.146768189188	241.258814391474	276.019206878789	327.455815539187	402.19217504171	603.094854371391	1059.94534327869
6.25	184.610056728765	198.752567447638	221.71545087377	245.215852618876	280.226477833601	331.206238914534	403.399072848111	587.471844610364	976.915650455326
6.5	187.285883236304	201.815988547805	225.301612674462	249.177751201977	284.40364653271	334.86651872072	404.499677350657	572.636368290655	898.290209973414
6.75	189.984453101758	204.9090850276	228.919032864686	253.161819406517	288.577138003499	338.490269138669	405.627504008101	559.281066995188	829.717379614585
7	192.724289075323	208.053676854013	232.595333203728	257.202866751796	292.79648277586	342.160442694934	406.939713198277	547.868845004154	773.677020741226
7.25	195.506988074159	211.251926203787	236.333419233952	261.304938080923	297.069407231849	345.895843985406	408.477225254781	538.409032712336	729.47057487876
7.5	198.33187943554	214.503432909096	240.133050336421	265.46815861955	301.39793524702	349.704177565827	410.251664769998	530.742128355894	695.112802563064
7.75	201.197532851818	217.806899497371	243.992785329996	269.691012522152	305.781313841127	353.58669249419	412.256655403521	524.633963429408	668.406759193253
8	204.100974525957	221.159293118249	247.909085612788	273.969443344255	310.215299459628	357.538597483657	414.473643769495	519.837337406213	647.462757667766
8.25	207.038165994255	224.556376985201	251.876961694455	278.297673763795	314.693406495334	361.551631548822	416.878964854973	516.129285500454	630.840132577047
8.5	210.003395932393	227.992059221958	255.889280120734	282.667515717004	319.206346095076	365.614130347412	419.446109654064	513.321385769241	617.497457129608
8.75	212.988811096768	231.457879847146	259.936200343272	287.067786020736	323.741476489062	369.710722575804	422.146105245811	511.256265060537	606.686988871791
9	215.985880693786	234.944592889353	264.006951651002	291.486284576218	328.285079897808	373.82503997326	424.950622354834	509.804143008133	597.864597705506
9.25	218.985508863421	238.442282868347	268.08996303434	295.90994278621	332.822539615963	377.939925299281	427.83198495467	508.85631889174	590.623536898093
9.5	221.977912236262	241.940226389812	272.17270778976	300.324657216459	337.338160183847	382.037224218245	430.762718802251	508.319775025016	584.651165558053
9.75	224.950945176513	245.425058908993	276.239639791648	304.713018022538	341.812625983895	386.094911199696	433.71214560177	508.109659174334	579.696827561947
10	227.890815646751	248.881541498239	280.273052240937	309.055265223862	346.224096263485	390.088356932962	436.647713141293	508.148364842123	575.55558239141
10.25	230.782888322767	252.293428067654	284.254054101276	313.330374189255	350.54943659646	393.991728715887	439.536461791351	508.365335095822	572.057690795632
10.5	233.611631999373	255.643401390149	288.162500427751	317.515986239715	354.764149446441	397.777910233353	442.344829890264	508.695352952771	569.059553829175
10.75	236.361929007716	258.914500251076	291.97860385377	321.590190421908	358.84436944578	401.420730978529	445.041036963477	509.080129228164	566.44045403905
11	239.021531253908	262.092814223873	295.685983136335	325.534884929723	362.770605370906	404.899117868119	447.599565420215	509.47245498172	564.10347739643
11.25	241.578771969912	265.164986011125	299.268856390294	329.332683486726	366.524265787663	408.193154302874	449.996658029741	509.83023169396	561.966120837329
11.5	244.023356979574	268.119083248667	302.713032512313	332.968007834508	370.088865865173	411.28539860088	452.211691087228	510.117442845682	559.959395110327
11.75	246.345786651426	270.943970079668	306.005210628413	336.426316761747	373.449156578056	414.159884070595	454.225994454338	510.302335064146	558.024328721848
12	248.538289707993	273.630339182544	309.134152974291	339.695394699698	376.592543049758	416.803666324281	456.024485036948	510.358871981719	556.112430198963
12.25	250.595385948446	276.1713416855	312.091405672339	342.766139705406	379.509938267436	419.207730918382	457.596587275659	510.267424035332	554.185541587393
12.5	252.512732780902	278.561328577502	314.869886220616	345.631007180562	382.194019079227	421.365030164205	458.93402391459	510.012021119217	552.212151064356
12.75	254.288778590909	280.79768307636	317.465961022447	348.2862852825	384.641725716981	423.273212827099	460.033742053061	509.583390117628	550.17014900243
13	255.923425596186	282.879360154969	319.877803433907	350.730285526606	386.852239168756	424.932360445535	460.895394096673	508.975957088762	548.04314024628
13.25	257.422462333111	284.81180055701	322.110957355301	352.969433894395	388.833676595227	426.352309101842	461.529231013319	508.196397559625	545.829296965383
13.5	258.794868201573	286.603978770364	324.175005986386	355.014597496668	390.598993110111	427.548081408106	461.95106283379	507.257863749684	543.534795780001
13.75	260.048131655381	288.263231107792	326.077723734453	356.874668116167	392.158900324453	428.532110151562	462.173824734906	506.170618173463	541.163563974362
14	261.187755438081	289.794700084531	327.824446623411	358.555877254542	393.521128424319	429.313462024255	462.206773215288	504.941161273368	538.716256696754
14.25	262.219535041041	291.203856379101	329.420925444111	360.064921441708	394.693870630329	429.901622743934	462.059590043202	503.5767200503	536.194969703417
14.5	263.149954405954	292.496941960763	330.873827621362	361.409506978964	395.686376697767	430.307143694514	461.743074563088	502.085963451622	533.603899194012
14.75	263.986646767505	293.681488012999	332.19132308728	362.598983996627	396.50963988839	430.542384044855	461.269931928316	500.479817307266	530.950115488578
15	264.744123845983	294.772701083216	333.390305938461	363.652215617882	397.18498134046	430.630808796232	460.664707417171	498.782176932012	528.254824790453
15.25	265.440357634194	295.789687041224	334.492117125549	364.592879394795	397.738863336883	430.60129717649	459.957623075978	497.023102124119	525.546011718014
15.5	266.094683790915	296.753127589428	335.519908667953	365.446575206852	398.199708810501	430.484673489548	459.180845241662	495.234729093709	522.8540404602
15.75	266.727787167264	297.685267894218	336.498621006147	366.240789364893	398.597852497209	430.31364985749	458.368420137826	493.451183523683	520.211523891847
16	267.357337978898	298.605045500981	337.44946865268	366.998886388661	398.959000624542	430.115771568057	457.548766791391	491.700498579073	517.644782300125
16.25	267.991941902815	299.521313078778	338.382281119134	367.731797546928	399.295235251362	429.903775622845	456.734479927974	489.993730821442	515.162428505389
16.5	268.638237359047	300.440737855014	339.304435698958	368.447765327149	399.615662456594	429.687143643651	455.93469371419	488.338340304941	512.769514221954
16.75	269.299525841071	301.366260254845	340.219118720876	369.150465430764	399.924395409949	429.469959380507	455.152832333552	486.73580298089	510.465024865086
17	269.97758408969	302.299110593044	341.127607722518	369.841497783088	400.223278770706	429.253866268981	454.389773407632	485.185022750113	508.245467478963
17.25	270.673859438154	303.240142875831	342.030779430476	370.522027633967	400.513675636741	429.039996994747	453.645900123075	483.684525338201	506.107158388252
17.5	271.389449832669	304.189810849587	342.929083299154	371.192757934536	400.796440467748	428.828947293209	452.921073034439	482.232418059035	504.046161862873
17.75	272.125789460892	305.148921101007	343.823377058348	371.854826062344	401.072881743973	428.621801420158	452.215707032901	480.827520975279	502.059451148882
18	272.886960653841	306.120496262139	344.71634271639	372.51093395929	401.345621088474	428.420754852538	451.531201178342	479.469567598576	500.144937471279
18.25	273.705260186522	307.12718477542	345.62178565075	373.169461762132	401.617766435901	428.223973108638	450.861317168092	478.146579214194	498.285999915094
18.5	274.593518695996	308.176832067998	346.543906073757	373.832739040707	401.889914771819	428.030330078973	450.203220378549	476.853207861608	496.475034972595
18.75	275.554738257882	309.270158174023	347.482642421391	374.500701219295	402.162066724128	427.839698367292	449.556392130066	475.58799031252	494.709486324429
19	276.59181447386	310.407791916341	348.437906956459	375.173279580227	402.43422277291	427.651953356425	448.920332909365	474.349536973566	492.986946599564
19.25	277.70749008506	311.590259687662	349.409584740066	375.850401106876	402.706383162583	427.466973004116	448.294561106763	473.136526330826	491.305145085756
19.5	278.904307006536	312.817974701065	350.397532773211	376.531988370278	402.978547832745	427.284637656658	447.678611838514	471.947699848904	489.661936571391
19.75	280.184558897276	314.091227147465	351.401579374386	377.217959482201	403.250716377957	427.10482988549	447.072035851304	470.78185728151	488.055291194964
20	281.550246232763	315.410175624382	352.421523838283	377.908228128519	403.522888042247	426.92743434924	446.474398504737	469.637852354146	486.483285192868
