age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	85.0293428768618	128.387039267332	184.344800720363	228.335913182268	277.213232929753	326.090552677237	370.081665139142	426.039426592173	469.397122982643
5.25	89.8636580741745	132.879879986111	188.396931968787	232.041581324056	280.533955406472	329.026329488887	372.670978844156	428.188030826832	471.204252738769
5.5	94.6979732714871	137.372720704891	192.449063217211	235.747249465844	283.854677883191	331.962106300538	375.26029254917	430.336635061491	473.011382494895
5.75	99.5322884687998	141.86556142367	196.501194465635	239.452917607632	287.17540035991	334.897883112188	377.849606254185	432.48523929615	474.81851225102
6	104.366603666113	146.358402142449	200.55332571406	243.15858574942	290.496122836629	337.833659923839	380.438919959199	434.633843530809	476.625642007146
6.25	109.200918863425	150.851242861229	204.605456962484	246.864253891208	293.816845313348	340.769436735489	383.028233664213	436.782447765468	478.432771763272
6.5	114.035234060738	155.344083580008	208.657588210908	250.569922032996	297.137567790068	343.70521354714	385.617547369228	438.931052000127	480.239901519397
6.75	118.869549258051	159.836924298788	212.709719459332	254.275590174784	300.458290266787	346.64099035879	388.206861074242	441.079656234786	482.047031275523
7	123.70208815152	164.328353736717	216.760910528264	257.980688492724	303.778854411667	349.57702033061	390.79679829507	443.229355086617	483.855620671814
7.25	128.521548819245	168.809314425184	220.80500065699	261.681333468788	307.097906888635	352.514480308481	393.390813120279	445.386499352085	485.674264958024
7.5	133.325499061414	173.277565575289	224.839996092939	265.375725557654	310.413863930721	355.452002303788	395.987731768503	447.550162286153	487.502228800028
7.75	138.111338994162	177.730506532652	228.863295187305	269.061262328747	313.724122238748	358.386982148749	398.584949290192	449.717737944844	489.336905483334
8	142.876126549454	182.165170352452	232.871898889097	272.734919490862	317.025629477801	361.31633946474	401.179360066505	451.88608860315	491.175132406149
8.25	147.615841070346	186.577514364594	236.861736117889	276.392603628829	320.314267417188	364.235931205547	403.766798716487	454.051020469782	493.01269376403
8.5	152.325831327275	190.962865736116	240.828106159215	280.029592109179	323.585289069837	367.140986030494	406.342471980458	456.207712403557	494.844746812398
8.75	157.001244434301	195.316349749157	244.76610611877	283.640959886739	326.833744779351	370.026529671962	408.901383439931	458.351139809545	496.6662451244
9	161.637033359773	199.632896127484	248.670635720701	287.221583101495	330.054484482001	372.887385862507	411.438333243301	460.476072836518	498.471935604229
9.25	166.227994027214	203.907282095533	252.536448056261	290.766195872436	333.242221217214	375.718246561992	413.947994378167	462.577160338895	500.256448407214
9.5	170.768750109861	208.134105261794	256.358107094586	294.269335723167	336.391463125691	378.513590528216	416.424819156796	464.648820989588	502.014176141521
9.75	175.253323807892	212.30736631577	260.129585763344	297.724953756432	339.496137061099	381.267320365767	418.862688358855	466.684907806428	503.738950314307
10	179.673872752986	216.419199544299	263.842988220349	301.125130444155	342.548297178621	383.971463913088	421.253606136894	468.677394812943	505.422721604257
10.25	184.021917300902	220.46110192795	267.489781277977	304.461308882033	345.539360223001	386.617411563968	423.588939168024	470.617618518052	507.056803145099
10.5	188.287535919884	224.423128364833	271.059989414555	307.723489633923	348.459300187381	389.195110740839	425.858610960207	472.495472009929	508.631064454878
10.75	192.46022774223	228.294754326939	274.543057565904	310.901093629683	351.297511329253	391.693929028823	428.051965092601	474.300268331566	510.134794916276
11	196.529763107135	232.065726754341	277.928702473018	313.983813869342	354.043660270712	394.103506672081	430.158618068405	476.021593787082	511.557557434288
11.25	200.486193824206	235.726074054902	281.206922341299	316.961624814684	356.687695092655	396.413765370627	432.168467844011	477.649316130409	512.889196361104
