age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	193.102029671733	202.358684876562	218.023038346732	235.101644922275	262.966212790162	309.169747281169	383.471711669824	576.252291038253	882.420009474296
5.25	195.461380439445	205.077225729162	221.339242870726	239.05678985388	267.957463518106	315.985130056153	393.841967800437	599.531243910843	933.070808731411
5.5	197.843873602774	207.833544326601	224.712953183899	243.083198318187	273.026441190186	322.864258866696	404.288723804843	623.623185952189	987.521963774263
5.75	200.253249844884	210.631336978813	228.14636268622	247.179103995083	278.159134912159	329.7566005586	414.673673539916	648.215726913539	1045.60678713855
6	202.693429017842	213.474211416057	231.640801033776	251.34051581742	283.335707886532	336.594608243783	424.8050929983	672.794207512014	1106.77908848948
6.25	205.168476191107	216.365582500729	235.196470101895	255.560736386007	288.529587814836	343.291536314251	434.427452437035	696.556247623793	1169.8679234879
6.5	207.682574652794	219.308574002967	238.812200936003	259.829963718684	293.706927399702	349.740880015535	443.215576829857	718.306896860997	1232.70723444211
6.75	210.236550127608	222.303397165619	242.484718170405	264.137297763497	298.834747162241	355.839184434902	450.825232162344	736.470303571669	1291.84466327004
7	212.823458308044	225.343759348765	246.20693525326	268.471901542921	303.888948992792	361.513007096607	456.970713424868	749.213105664138	1342.30123573784
7.25	215.440781039393	228.426042722194	249.970683259598	272.816960547574	308.830987034995	366.6636529272	461.329216292063	754.178519369928	1376.23491954357
7.5	218.085896707942	231.546452745289	253.767578598146	277.155999713852	313.626559289289	371.217943791187	463.690455260558	749.067648173215	1383.01469754832
7.75	220.756517701137	234.7017659661	257.59058376061	281.475912887997	318.252861807127	375.150425419814	464.053210512087	732.548699802925	1350.45936478937
8	223.451731412235	237.890694074287	261.436193815711	285.77055939656	322.70582227957	378.500918475683	462.690436812745	705.508733661704	1269.4755894546
8.25	226.172532577168	241.114701246462	265.305939500793	290.043297696997	327.004497168821	381.378993227752	460.13382752984	671.77389895466	1143.62827775301
8.5	228.920650940042	244.376852865211	269.205267860233	294.305703125123	331.187883052998	383.945618590308	457.052361751215	637.006467327956	997.765469703965
8.75	231.697664716371	247.680645930983	273.141562547002	298.573873275506	335.304921431666	386.374756022997	454.068232307067	606.052507394351	867.501643218893
9	234.505021457286	251.029466473174	277.122042068377	302.863376507497	339.400472966099	388.808416912948	451.599921683324	581.105310824442	771.825806827932
9.25	237.341618624033	254.423389577441	281.148719852127	307.181261518036	343.500006511046	391.323789246856	449.807153982504	561.984879785948	707.348836954308
9.5	240.204087921348	257.859262842479	285.218072330614	311.525235565498	347.608523512087	393.938774758728	448.661087419667	547.467979694659	663.636606601539
9.75	243.08608170404	261.330163420107	289.321141082525	315.885181904777	351.716893253287	396.638334492874	448.057900964552	536.316425866727	632.644788617529
10	245.979686565262	264.827185821042	293.446292271142	320.247581843004	355.8108479078	399.398523070862	447.892261460319	527.623285871197	609.689937147733
10.25	248.87648609696	268.340700001407	297.580942648893	324.597945624554	359.87509661676	402.19525834079	448.075571286718	520.768418214016	592.123734009759
10.5	251.767532069281	271.860334965884	301.711615075184	328.920971866292	363.893686586625	405.005009397369	448.533470213152	515.316181515668	578.349871547836
10.75	254.644579137891	275.376281745039	305.825372526278	333.202095678034	367.851663988719	407.806393434606	449.204123379587	510.950887466436	567.343187058988
11	257.502598068926	278.882043040438	309.912945938226	337.430947642582	371.738918578448	410.584302421533	450.040335159234	507.442534259031	558.417345270144
11.25	260.337032807092	282.371450843897	313.965409884588	341.597688941898	375.546031009048	413.325025865302	451.002235588976	504.61578793227	551.09036733503
11.5	263.14228073056	285.836994939279	317.972320812231	345.690968329044	379.26198555632	416.013603213823	452.053087919004	502.331094926972	545.009107178752
11.75	265.912125032797	289.270280528176	321.922250818217	349.69851726911	382.874836990948	418.63451813376	453.159148757986	500.475336978129	539.907358315256
12	268.641861964917	292.664293187389	325.805275414615	353.609811487142	386.374567363407	421.174710976542	454.29216787346	498.958262316601	535.582607620407
12.25	271.328862411499	296.013990627404	329.613629919969	357.416758520479	389.753794050014	423.624256561661	455.429523896154	497.708225888302	531.879196018055
12.5	273.971155238347	299.314788436568	333.340087145273	361.111964372729	393.005896812661	425.97430509747	456.5515962818	496.66625880021	528.674032407206
12.75	276.568434053269	302.56359806726	336.979059857195	364.689866200019	396.126177885257	428.21823861027	457.642611764479	495.784704691175	525.869760100327
13	279.121014329928	305.757754883932	340.525515664412	368.145617292105	399.11071151787	430.35046114088	458.689141167623	495.024039041566	523.387777055389
13.25	281.631044167401	308.896401957516	343.9765998875	371.476873489476	401.958307777444	432.368516194396	459.682161502633	494.353904471312	521.166772784025
13.5	284.101668560511	311.979592067736	347.330649956437	374.682701773325	404.669290849753	434.271705559371	460.615369427025	493.750319718893	519.157895164116
