age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	393.199777382115	450.247540381072	523.873802361779	581.75498071559	646.065172102778	710.375363489966	768.256541843778	841.882803824484	898.930566823441
5.25	392.696410280407	449.40280511918	522.588494844774	580.123317963512	644.048683538769	707.974049114026	765.508872232764	838.694561958358	895.400956797131
5.5	392.193043178699	448.558069857289	521.30318732777	578.491655211434	642.03219497476	705.572734738087	762.761202621751	835.506320092232	891.871346770821
5.75	391.689676076991	447.713334595397	520.017879810765	576.859992459356	640.015706410751	703.171420362147	760.013533010738	832.318078226106	888.341736744512
6	391.186308975283	446.868599333505	518.732572293761	575.228329707279	637.999217846743	700.770105986207	757.265863399724	829.129836359981	884.812126718202
6.25	390.682941873575	446.023864071613	517.447264776756	573.596666955201	635.982729282734	698.368791610267	754.518193788711	825.941594493855	881.282516691892
6.5	390.179574771867	445.179128809721	516.161957259752	571.965004203123	633.966240718725	695.967477234327	751.770524177698	822.753352627729	877.752906665582
6.75	389.673395481766	444.332215803938	514.875290817592	570.332626239042	631.94975215476	693.566878070479	749.024213491929	819.567288505583	874.226108827755
7	389.158031591013	443.478190291753	513.584186129088	568.697912394259	629.933263590954	691.16861478765	746.28234105282	816.388336890156	870.708495590895
7.25	388.633371643499	442.616965962162	512.288589335697	567.060834322682	627.916775027403	688.772715732125	743.544960719109	813.216584092645	867.200178411307
7.5	388.099478308557	441.748591346	510.988530721004	565.421407962849	625.900286464255	686.37916496566	740.812042207505	810.051981582509	863.701094619953
7.75	387.556409570132	440.873111345764	509.68403830449	563.779648061682	623.883797901655	683.987947741627	738.083557498819	806.894484457545	860.211186233177
8	387.00421670413	439.990565669251	508.375136864067	562.135567659987	621.867309339632	681.599051019277	735.359481815197	803.744053010013	856.730401975135
8.25	386.442956915907	439.101000246405	507.06185777755	560.489186695443	619.850828005044	679.212469314644	732.639798232537	800.600655763682	853.258699094181
8.5	385.872650569476	438.204425963165	505.744199698406	558.840494204978	617.834332250144	676.82817029531	729.924464801881	797.464238537122	849.796013930811
8.75	385.293380317102	437.300911694027	504.422213719443	557.189527302348	615.817843656951	674.446160011554	727.21347359446	794.334775619875	846.342306996801
9	384.705189722498	436.390489530015	503.095917124943	555.536291631544	613.801354936241	672.066418240938	724.506792747538	791.212220342467	842.897520149983
9.25	384.108132227028	435.473200957037	501.765335971023	553.880801118566	611.784866536581	669.688931954596	721.804397102139	788.096532116124	839.461600846134
9.5	383.502260840588	434.549086924211	500.430495641064	552.223068909821	609.768378008205	667.31368710659	719.106260375347	784.9876690922	836.034495175823
9.75	382.887630140346	433.618189705191	499.091422529717	550.563108916704	607.751889392706	664.940669868708	716.412356255694	781.88558908022	832.616148645065
10	382.264295479216	432.680552202658	497.748143471303	548.900935341413	605.73540085708	662.569866372746	713.722658242857	778.790249511502	829.206506234943
10.25	381.632313431733	431.736218313129	496.400685999995	547.236562854895	603.718912780289	660.201262705683	711.037139560583	775.701607247449	825.805512128845
10.5	380.991741493486	430.785232490167	495.049077737222	545.570005846016	601.702424848867	657.834843851718	708.355771960512	772.619617207567	822.413108204248
10.75	380.342633824059	429.827636250409	493.693343882536	543.901276686679	599.685935182266	655.470593677853	705.678526481996	769.544234114124	819.029236540473
11	379.685044195263	428.863471877119	492.333511892005	542.230391176571	597.669446629087	653.108502081602	703.005381366168	766.475421381054	815.65384906291
11.25	379.019021533717	427.892777007306	490.969604832181	540.557360927703	595.652958074512	650.74855522132	700.336311316842	763.413139141717	812.286894615306
11.5	378.344615592322	426.915590169856	489.601646746153	538.882198595173	593.636469520759	648.390740446344	697.671292295364	760.357348871661	808.928323449195
11.75	377.661875881524	425.931949704984	488.229661557752	537.204916769396	591.619980965991	646.035045162586	695.01030037423	757.308012226998	805.578086050458
12	376.970851215119	424.941893414174	486.853672855896	535.525527866099	589.603492411711	643.681456957322	692.353311967526	754.265091409248	802.236133608302
12.25	376.271589598625	423.945458471714	485.473703836008	533.844044091242	587.587003853785	641.329963616329	689.700303871563	751.228549235856	798.902418108945
12.5	375.56413736835	422.94268076244	484.089776894172	532.160477236747	585.570515302145	638.980553367543	687.051253710118	748.19834984185	795.57689323594
12.75	374.848536243747	421.933592591428	482.701912185206	530.474837905522	583.554026746832	636.633215588142	684.406141308459	745.174460902236	792.259517249918
13	374.124826846586	420.91822541912	481.31012934587	528.78713643916	581.537538201832	634.287939964503	681.764947057793	742.156850984543	788.950249557077
13.25	373.393047830202	419.896609169839	479.914447034761	527.097382639722	579.521049628953	631.944716618183	679.127652223144	739.145490088066	785.649051427703
13.5	372.6532372445	418.868773320856	478.514883665248	525.405586222707	577.504561079728	629.603535936748	676.494238494207	736.140348838599	782.355884914955
13.75	371.905435849008	417.834749429261	477.111458917686	523.711757531593	575.488072523686	627.264387515779	673.864686129685	733.141395618111	779.070709198364
14	371.149687886275	416.794571757766	475.704194174736	522.015907823404	573.471583967536	624.927260111669	671.238973760337	730.148596177306	775.793480048797
14.25	370.386038758689	415.748275465756	474.293111376087	520.318048645188	571.455095411348	622.592142177507	668.617079446609	727.161915356939	772.524152064006
14.5	369.614536990519	414.695898130196	472.878233970032	518.618192338004	569.438606855232	620.25902137246	665.998979740432	724.181315580268	769.262676719945
14.75	368.835231817084	413.637477878683	471.459585748464	516.916351423749	567.422118299306	617.927885174863	663.384650850148	721.206758719928	766.009004781528
15	368.048175259518	412.573054995609	470.037191848245	515.212539131079	565.405629741343	615.598720351607	660.774067634441	718.238204487077	762.763084223168
15.25	367.253420600619	411.50267075403	468.611078042575	513.506769048002	563.389141230719	613.271513413437	658.167204418864	715.275611707409	759.52486186082
15.5	366.451022584324	410.426367517178	467.181270716055	511.799054997543	561.372652633636	610.946250269729	655.564034551218	712.318937750095	756.294282682949
15.75	365.641038499332	409.34418967807	465.747797618437	510.089411645377	559.356164078408	608.622916511439	652.96453053838	709.368138478747	753.071289657485
16	364.823524837556	408.256180974466	464.310686026882	508.377853328188	557.33967552391	606.301497719632	650.368665020937	706.423170073354	749.855826210264
16.25	363.998537429521	407.162384641186	462.869962920098	506.664394244963	555.323186969934	603.981979694905	647.776411019771	703.483989298683	746.647836510347
16.5	363.166131356201	406.062843332704	461.425654914827	504.949048404409	553.30669841674	601.664348429072	645.187741918654	700.550553500777	743.44726547728
16.75	362.326359694639	404.95759815166	459.977787659458	503.231829305575	551.290209864581	599.348590423587	642.602632069704	697.622821577503	740.254060034524
17	361.479274390556	403.846689324601	458.526386255686	501.512750159775	549.273721313695	597.034692467616	640.021056371705	694.700753302789	737.068168236835
17.25	360.624926926191	402.730156719103	457.071475581114	499.79182406027	547.257232764081	594.722641467893	637.442989947049	691.78430880906	733.889538601972
17.5	359.763368326949	401.608039848912	455.613080292459	498.069063983943	545.240744215482	592.412424447021	634.868408138505	688.873448582053	730.718120104015
17.75	358.894655530992	400.480382806577	454.151227903631	496.34448441143	543.224255667618	590.104026923805	632.297283431604	685.968128528658	727.553855804243
18	358.019153125178	399.347467926176	452.686094592659	494.61817806634	541.207767120178	587.797356174016	629.729439647696	683.06806631418	724.396381115178
18.25	357.141970426261	398.213251835649	451.220149318836	492.891444379429	539.191278572806	585.491112766184	627.162407826777	680.169305309964	721.240586719352
18.5	356.264787727345	397.079035745122	449.754204045013	491.164710692519	537.174790025435	583.184869358351	624.595376005857	677.270544305749	718.084792323526
18.75	355.387605028428	395.944819654595	448.28825877119	489.437977005609	535.158301478064	580.87862595052	622.028344184938	674.371783301533	714.9289979277
19	354.510422329512	394.810603564068	446.822313497368	487.711243318699	533.141812930693	578.572382542687	619.461312364018	671.473022297318	711.773203531874
19.25	353.633239630596	393.676387473541	445.356368223545	485.984509631788	531.125324383322	576.266139134855	616.894280543099	668.574261293102	708.617409136048
19.5	352.756056931679	392.542171383014	443.890422949722	484.257775944878	529.108835835951	573.959895727023	614.327248722179	665.675500288887	705.461614740222
19.75	351.878874232763	391.407955292487	442.424477675899	482.531042257968	527.09234728858	571.653652319191	611.76021690126	662.776739284672	702.305820344396
20	351.001691533846	390.273739201961	440.958532402077	480.804308571057	525.075858741208	569.347408911359	609.19318508034	659.877978280456	699.15002594857
