age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	335.359085247572	392.738223415357	466.792160623127	525.009555232243	589.693307288738	654.377059345232	712.594453954348	786.648391162118	844.027529329904
5.25	336.232417183889	393.146167499314	466.599471726241	524.344679594456	588.503797900542	652.662916206628	710.408124074842	783.861428301769	840.775178617194
5.5	337.105749120206	393.554111583271	466.406782829354	523.679803956668	587.314288512345	650.948773068023	708.221794195336	781.074465441419	837.522827904484
5.75	337.979081056524	393.962055667228	466.214093932468	523.01492831888	586.124779124149	649.234629929418	706.035464315831	778.28750258107	834.270477191775
6	338.852412992841	394.369999751185	466.021405035581	522.350052681093	584.935269735953	647.520486790813	703.849134436325	775.500539720721	831.018126479065
6.25	339.725744929158	394.777943835142	465.828716138694	521.685177043305	583.745760347757	645.806343652208	701.662804556819	772.713576860371	827.765775766355
6.5	340.599076865475	395.185887919099	465.636027241808	521.020301405518	582.55625095956	644.092200513603	699.476474677313	769.926614000022	824.513425053645
6.75	341.472408801793	395.593832003056	465.443338344921	520.35542576773	581.366741571364	642.378057374998	697.290144797807	767.139651139672	821.261074340936
7	342.343465821186	396.000014403312	465.249550146902	519.689971559899	580.177232183169	640.66449280644	695.104914219437	764.354449963027	818.010998545153
7.25	343.198261429268	396.39360405218	465.04790399694	519.020381655796	578.987722794993	638.95506393419	692.927541593046	761.581841537806	814.777184160718
7.5	344.035607164164	396.773680611041	464.837825598259	518.346353798934	577.79821340686	637.250073014785	690.75860121546	758.822746202678	811.560819649555
7.75	344.855510504874	397.140249871596	464.619318564923	517.66788989143	576.608704018789	635.549518146148	688.598089472655	756.077158165981	808.361897532704
8	345.658128498234	397.493433450096	464.392458786206	516.985029874363	575.419194630806	633.853359387248	686.445930475405	753.344955811515	805.180260763377
8.25	346.443599784466	397.833338708814	464.15731325683	516.297809007564	574.229685242972	632.161561478379	684.302057229113	750.626031777129	802.015770701477
8.5	347.212060086104	398.160070750501	463.913947561433	515.606261808563	573.040175855004	630.474089901445	682.166404148575	747.920280959507	798.868291623904
8.75	347.963644894863	398.473734488443	463.662427148553	514.910422700744	571.850666419091	628.790910137438	680.038905689629	745.227598349739	795.737687943319
9	348.698521814131	398.77446553296	463.402846338023	514.210353543484	570.661182728684	627.112011913885	677.919519119346	742.547899924409	792.623843643237
9.25	349.416728104384	399.062275346374	463.135183296876	513.506006328775	569.471647693405	625.437289058035	675.808112089934	739.881020040437	789.526567282426
9.5	350.118490773417	399.337357093234	462.859587511321	512.797496205161	568.282138310159	623.766780415157	673.704689108996	737.226919527084	786.445785846901
9.75	350.803908911741	399.599781721214	462.576093607679	512.084829244984	567.092628925743	622.100428606503	671.609164243808	734.585476130273	783.381348939745
10	351.473117134884	399.849653476405	462.284766637023	511.368039686212	565.903119542532	620.438199398851	669.52147244804	731.956585608658	780.333121950179
10.25	352.126250098758	400.087076635707	461.985671668874	510.647161775543	564.713610160824	618.780058546106	667.441548652774	729.340143685942	777.30097022289
10.5	352.76344266359	400.312155990222	461.678874686907	509.922230988246	563.524102358841	617.125973729436	665.369330030775	726.73604872746	774.284762054092
10.75	353.384826667444	400.524992563264	461.364436944686	509.19327731296	562.334591387614	615.475905462268	663.304745830542	724.144190211965	771.284356107785
11	353.990537510727	400.725692286641	461.042426341633	508.460338749997	561.145082027378	613.829825304758	661.247737713122	721.564471768114	768.299626544029
