age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	508.38440072929	548.084157052793	599.320954185361	639.600687439854	684.354395437762	729.10810343567	769.387836690163	820.624633822731	860.324390146234
5.25	505.801527286186	545.59657219745	596.956349481342	637.332763402234	682.193890639632	727.05501787703	767.431431797922	818.791209081814	858.586253993078
5.5	503.218653843082	543.108987342108	594.591744777324	635.064839364614	680.033385841502	725.00193231839	765.475026905681	816.957784340897	856.848117839922
5.75	500.635780399978	540.621402486765	592.227140073305	632.796915326994	677.872881043372	722.94884675975	763.51862201344	815.124359599979	855.109981686766
6	498.052906956875	538.133817631423	589.862535369286	630.528991289375	675.712376245243	720.895761201111	761.562217121199	813.290934859062	853.371845533611
6.25	495.470033513771	535.646232776081	587.497930665268	628.261067251755	673.551871447113	718.842675642471	759.605812228958	811.457510118145	851.633709380455
6.5	492.887160070667	533.158647920738	585.133325961249	625.993143214135	671.391366648983	716.789590083831	757.649407336717	809.624085377228	849.895573227299
6.75	490.303987881052	530.670831717674	582.768576894881	623.725143197589	669.230861850876	714.736580504162	755.69314680687	807.790891984077	848.157735820699
7	487.719837847315	528.182258277286	580.403355307945	621.456894490137	667.070357052866	712.683819615594	753.737358797786	805.958455828445	846.420876258417
7.25	485.134691720029	525.692913467338	578.037652381878	619.188392450553	664.909852255053	710.631312059553	751.782052128228	804.126791042768	844.685012790078
7.5	482.548552782658	523.202799830569	575.671469703436	616.919637914047	662.749347457627	708.579057001207	749.827225211818	802.295895084685	842.950142132596
7.75	479.961423294337	520.711919116489	573.304808364403	614.650631455334	660.588842660799	706.527053866263	747.872876957194	800.465766205108	841.21626202726
8	477.373303584272	518.220271580076	570.93766852396	612.381373158282	658.428337864761	704.475302571239	745.919007205562	798.636404149445	839.48337214525
8.25	474.784192766869	515.727856535573	568.570049754256	610.111862797795	656.267833069691	702.423803341587	743.965616385126	796.807809603809	837.751473372512
8.5	472.194090452663	513.234673681397	566.201951867133	607.842100274883	654.107328275672	700.37255627646	742.01270468421	794.979982869946	836.02056609868
8.75	469.602996944	510.740723251674	563.833375008673	605.572085666413	651.946823482664	698.321561298916	740.060271956655	793.152923713654	834.290650021328
9	467.010913918471	508.246006545521	561.464319989527	603.301819399028	649.786318690657	696.270817982285	738.108317391786	791.326630835792	832.561723462842
9.25	464.417847614789	505.75052839419	559.094789824473	601.031303059487	647.625813899771	694.220324740056	736.15683797507	789.501099405352	830.833780184754
9.5	461.823805329081	503.254294447805	556.724788039285	598.760538503512	645.465309110182	692.170079716852	734.205830181079	787.676323772558	829.106812891283
9.75	459.228794355559	500.757310355053	554.354318158927	596.489527586504	643.304804322283	690.120081058063	732.255290485639	785.852298289513	827.380814289007
10	456.63282198974	498.259581765659	551.983383709055	594.218272164284	641.14429953659	688.070326908896	730.305215364124	784.02901730752	825.655777083439
10.25	454.035894203476	495.761113306141	549.611987579884	591.946773762075	638.98379476172	686.020815761364	728.355601943556	782.206476217299	823.931695319963
10.5	451.438015164077	493.261908197852	547.240131771913	589.675033420605	636.823289972024	683.971546523443	726.406448172135	780.384671746197	822.208564779972
10.75	448.839186584189	490.761967773563	544.86781712764	587.403051596945	634.662785196335	681.922518795725	724.45775326503	778.563602619107	820.486383808481
11	446.239402337832	488.261287286566	542.495040680456	585.130826723906	632.502280422324	679.873734120742	722.509520164192	776.743273558083	818.765158506816
11.25	443.638654454046	485.759860564124	540.121798578426	582.85835677405	630.3417756497	677.825194525351	720.561752720974	774.923690735277	817.044896845355
11.5	441.036933276517	483.257680129421	537.748086157608	580.58563929477	628.181270882812	675.776902470853	718.614455608015	773.104861636203	815.325608489106
11.75	438.434228224244	480.754737787549	535.373898302604	578.312671591621	626.020766117067	673.728860642512	716.667633931529	771.286794446584	813.607304009889
