age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	979.921489594112	1064.41655258714	1173.4665015591	1259.19595971867	1354.44761178526	1449.69926385185	1535.42872201142	1644.47867098338	1728.97373397641
5.25	983.491845564368	1067.65034809321	1176.26592965784	1261.65391051435	1356.52615650563	1451.39840249691	1536.78638335342	1645.40196491805	1729.56046744689
5.5	987.062201534624	1070.88414359929	1179.06535775658	1264.11186131004	1358.604701226	1453.09754114197	1538.14404469543	1646.32525885272	1730.14720091738
5.75	990.63255750488	1074.11793910536	1181.86478585532	1266.56981210572	1360.68324594637	1454.79667978702	1539.50170603743	1647.24855278738	1730.73393438787
6	994.202913475136	1077.35173461144	1184.66421395406	1269.02776290141	1362.76179066674	1456.49581843208	1540.85936737943	1648.17184672205	1731.32066785835
6.25	997.773269445392	1080.58553011751	1187.46364205279	1271.48571369709	1364.84033538711	1458.19495707714	1542.21702872143	1649.09514065672	1731.90740132884
6.5	1001.34362541565	1083.81932562359	1190.26307015153	1273.94366449278	1366.91888010749	1459.89409572219	1543.57469006344	1650.01843459138	1732.49413479932
6.75	1004.91316339858	1087.05271497154	1193.06262360195	1276.4021584858	1368.99843228205	1461.59470607831	1544.93424096215	1650.94414959257	1733.08370116553
7	1008.48147225652	1090.28622240526	1195.86403385823	1278.86387617694	1371.08272687128	1463.30157756561	1546.30141988432	1651.87923133729	1733.68398148603
7.25	1012.05105854376	1093.52237518407	1198.66985490177	1281.33139255512	1373.17436220497	1465.01733185481	1547.67886950817	1652.82634922586	1734.29766586618
7.5	1015.62340096441	1096.76264764057	1201.48155542326	1283.80617187566	1375.27479761041	1466.74342334516	1549.06803979757	1653.78694758025	1734.92619425642
7.75	1019.19944987373	1100.00798642746	1204.30007729685	1286.28915225606	1377.3849670312	1468.48078180634	1550.46985676555	1654.76194763494	1735.57048418867
8	1022.77740380425	1103.25658668568	1207.12361128628	1288.77852101893	1379.5030539666	1470.22758691427	1551.88249664692	1655.74952124752	1736.22870412895
8.25	1026.35379792312	1106.50498099989	1209.94868664321	1291.27080479569	1381.62558213677	1471.98035947784	1553.30247763032	1656.74618327364	1736.89736635041
8.5	1029.92236953168	1109.74690093571	1212.76902753071	1293.7597219299	1383.74626341934	1473.73280490878	1554.72349930797	1657.74562590297	1737.57015730699
