age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	996.833697968367	1056.88716324369	1134.39260666117	1195.32339783748	1263.02193047566	1330.72046311383	1391.65125429014	1469.15669770763	1529.21016298295
5.25	999.799760501346	1059.80384897003	1137.24556631817	1198.12625933811	1265.76912928737	1333.41199923664	1394.29269225658	1471.73440960472	1531.7384980734
5.5	1002.76582303432	1062.72053469638	1140.09852597517	1200.92912083874	1268.51632809909	1336.10353535945	1396.93413022302	1474.31212150181	1534.26683316386
5.75	1005.7318855673	1065.63722042272	1142.95148563216	1203.73198233936	1271.26352691081	1338.79507148226	1399.57556818945	1476.8898333989	1536.79516825431
6	1008.69794810028	1068.55390614906	1145.80444528916	1206.53484383999	1274.01072572253	1341.48660760506	1402.21700615589	1479.46754529599	1539.32350334477
6.25	1011.66401063326	1071.47059187541	1148.65740494616	1209.33770534061	1276.75792453424	1344.17814372787	1404.85844412233	1482.04525719308	1541.85183843522
6.5	1014.63007316624	1074.38727760175	1151.51036460315	1212.14056684124	1279.50512334596	1346.86967985068	1407.49988208877	1484.62296909017	1544.38017352568
6.75	1017.59613569922	1077.3039633281	1154.36332426015	1214.94342834187	1282.25232215768	1349.56121597349	1410.14132005521	1487.20068098726	1546.90850861614
7	1020.5620763546	1080.22053243059	1157.21617407382	1217.74618532966	1284.99942237914	1352.25265942862	1412.78267068447	1489.77831232769	1549.43676840369
7.25	1023.52690507399	1083.13602733659	1160.06799839787	1220.54795511868	1287.74557794573	1354.94320077277	1415.42315749358	1492.35512855486	1551.96425081747
7.5	1026.48945485219	1086.04928463102	1162.91763845065	1223.34758256983	1290.48963776549	1357.63169296116	1418.06163708033	1494.92999089997	1554.4898206788
7.75	1029.4472976233	1088.95787808517	1165.76267037457	1226.14264568956	1293.22918191597	1360.31571814239	1420.69569345738	1497.50048574677	1557.01106620864
8	1032.39754901408	1091.85892508796	1168.60021383278	1228.93026592892	1295.96133383471	1362.99240174051	1423.32245383665	1500.06374258146	1559.52511865534
8.25	1035.33703531412	1094.74925312984	1171.42709786557	1231.70727354661	1298.68292513414	1365.65857672167	1425.93875240271	1502.61659713844	1562.02881495416
