age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	1137.995639654	1206.80318897599	1295.60671756875	1365.41948190918	1442.98653157353	1520.55358123789	1590.36634557831	1679.16987417107	1747.97742349306
5.25	1138.96060199215	1207.7662071824	1296.56722666446	1366.37801847117	1443.94287650736	1521.50773454355	1591.31852635026	1680.11954583232	1748.92515102257
5.5	1139.92556433031	1208.72922538881	1297.52773576017	1367.33655503316	1444.89922144119	1522.46188784921	1592.2707071222	1681.06921749356	1749.87287855207
5.75	1140.89052666846	1209.69224359523	1298.48824485588	1368.29509159516	1445.85556637501	1523.41604115487	1593.22288789415	1682.0188891548	1750.82060608157
6	1141.85548900661	1210.65526180164	1299.44875395159	1369.25362815715	1446.81191130884	1524.37019446053	1594.17506866609	1682.96856081604	1751.76833361107
6.25	1142.82045134477	1211.61828000806	1300.4092630473	1370.21216471915	1447.76825624267	1525.32434776619	1595.12724943804	1683.91823247728	1752.71606114057
6.5	1143.78541368292	1212.58129821447	1301.36977214301	1371.17070128114	1448.7246011765	1526.27850107185	1596.07943020998	1684.86790413852	1753.66378867007
6.75	1144.75037507919	1213.5443156915	1302.3302807836	1372.12923760362	1449.68094611036	1527.2326546171	1597.03161143712	1685.81757652922	1754.61151714153
7	1145.71533232149	1214.50732995175	1303.29078741693	1373.08777286971	1450.63729104433	1528.18680921894	1597.98379467173	1686.7672521369	1755.55924976716
7.25	1146.68028400052	1215.47033990386	1304.25129136201	1374.04630672103	1451.59363597844	1529.14096523586	1598.93598059487	1687.71693205303	1756.50698795636
7.5	1147.64523079005	1216.43334606962	1305.21179294447	1375.00483932898	1452.54998091277	1530.09512249656	1599.88816888107	1688.66661575592	1757.45473103549
7.75	1148.61017386011	1217.39634935509	1306.17229272971	1375.96337099117	1453.50632584736	1531.04928070355	1600.84035896502	1689.61630233964	1758.40247783461
8	1149.57511325076	1218.35934979132	1307.13279073713	1376.92190171783	1454.46267078227	1532.00343984671	1601.79255082741	1690.56599177321	1759.35022831377
8.25	1150.54004831891	1219.3223468803	1308.09328665597	1377.88043134541	1455.41901571751	1532.95760008961	1602.74474477906	1691.51568455472	1760.29798311612
8.5	1151.50497685461	1220.28533891067	1309.05377941831	1378.83895931185	1456.37536065306	1533.91176199426	1603.6969418878	1692.46538239545	1761.2457444515
8.75	1152.46989455638	1221.24832255131	1310.01426694547	1379.79748452304	1457.33170558873	1534.86592665443	1604.64914423199	1693.41508862615	1762.19351662109
9	1153.4347979848	1222.21129513875	1310.97474757534	1380.75600610412	1458.28805052437	1535.82009494462	1605.60135347339	1694.36480590999	1763.14130306394
9.25	1154.39968738544	1223.17425686308	1311.93522142647	1381.71452411735	1459.24439545971	1536.77426680207	1606.55356949295	1695.31453405634	1764.08910353398
9.5	1155.36456330367	1224.13720814658	1312.89568876224	1382.67303870125	1460.20074039451	1537.72844208776	1607.50579202677	1696.26427264243	1765.03691748534
9.75	1156.32942142263	1225.10014564625	1313.85614749655	1383.63154875778	1461.15708532855	1538.68262189931	1608.45802316054	1697.21402501084	1765.98474923446
10	1157.29425474057	1226.06306393992	1314.81659424584	1384.59005250607	1462.11343026165	1539.63680801724	1609.41026627746	1698.16379658338	1766.93260578273
