age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	297.804767583569	325.624992377105	361.529978853937	389.756631547527	421.118491975597	452.480352403667	480.707005097257	516.611991574089	544.432216367625
5.25	298.789490020184	326.545893392612	362.368511474549	390.53041037476	421.820324637191	453.110238899621	481.272137799832	517.094755881769	544.851159254197
5.5	299.7742124568	327.466794408119	363.207044095162	391.304189201993	422.522157298784	453.740125395575	481.837270502407	517.57752018945	545.270102140769
5.75	300.758934893415	328.387695423625	364.045576715774	392.077968029227	423.223989960378	454.370011891529	482.402403204981	518.06028449713	545.689045027341
6	301.74365733003	329.308596439132	364.884109336387	392.85174685646	423.925822621971	454.999898387483	482.967535907556	518.543048804811	546.107987913912
6.25	302.728379766645	330.229497454638	365.722641956999	393.625525683693	424.627655283565	455.629784883436	483.53266861013	519.025813112491	546.526930800484
6.5	303.71310220326	331.150398470145	366.561174577612	394.399304510926	425.329487945158	456.25967137939	484.097801312705	519.508577420172	546.945873687056
6.75	304.697875809989	332.071395237253	367.399860487021	395.17328185974	426.031569385237	456.889856910735	484.663278283453	519.991743533222	547.365262960486
7	305.683185963666	332.993074594993	368.239417472114	395.948278461483	426.734834713926	457.521390966369	485.230251955738	520.476594832859	547.786483464186
7.25	306.669717127606	333.916123702932	369.08053617226	396.72498769117	427.439980345736	458.154973000302	485.799424519211	520.96383698854	548.210243563866
7.5	307.657990405956	334.84106383544	369.923738081519	397.503931215569	428.147528139326	458.791125063084	486.371318197133	521.453992443213	548.637065872697
7.75	308.648419630535	335.768309120991	370.769437711234	398.285523847012	428.857893241454	459.430262635895	486.946348771674	521.947477361916	549.067366852373
8	309.640714835336	336.69757005811	371.617346159452	399.069477154865	429.570787745148	460.072098335431	487.524229330844	522.444005432186	549.50086065496
8.25	310.634159274863	337.628130448242	372.46674793351	399.855076201396	430.285497329251	460.715918457105	488.104246724991	522.942864210259	549.936835383638
8.5	311.62749602005	338.558733650776	373.316386765075	400.641065010941	431.000766343271	461.3604676756	488.685145921466	523.442799035765	550.374036666492
8.75	312.618736324966	339.487390765589	374.164273555025	401.425454327933	431.714605357821	462.00375638771	489.264937160618	523.941819950054	550.810474390677
9	313.605685696388	340.411907036339	375.008213207434	402.206048789485	432.4248187134	462.643588637316	489.841424219367	524.437730390462	551.243951730413
9.25	314.585644666433	341.329582376063	375.84550483635	402.980146881518	433.128704198037	463.277261514557	490.411903559725	524.927826020012	551.671763729641
9.5	315.555884846523	342.237687697085	376.673418451837	403.745017904786	433.823530324392	463.902042743997	490.973642196947	525.409372951699	552.09117580226
9.75	316.514470819054	343.134287075332	377.490017476167	404.498724767695	434.507359429922	464.515994092148	491.524701383676	525.880431784512	552.500248040789
10	317.459900414938	344.017877919638	378.29379877344	405.239763906098	435.178687474671	465.117611043245	492.063576175903	526.339497029705	552.897474534404
10.25	318.390204815509	344.886490640207	379.082791758632	405.966163952576	435.835542221924	465.704920491272	492.588292685216	526.784593803641	553.280879628339
10.5	319.302788788057	345.737528723769	379.854398265773	406.675325441893	436.475322762862	466.275320083831	493.096247259951	527.213116801955	553.647856737667
10.75	320.194654992081	346.567993341718	380.605617545698	407.364246115037	437.095025160926	466.825804206816	493.584432776155	527.622056980135	553.995395329772
11	321.06162384051	347.373702206544	381.332263825688	408.028737459399	437.69045785929	467.352178259181	494.048651892891	528.007213512036	554.319291878069
