age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	290.672980183846	313.40948853034	342.753393217296	365.822061041665	391.453025804756	417.083990567846	440.152658392216	469.496563079172	492.233071425665
5.25	291.826761288896	314.514761816624	343.796061956357	366.815513307338	392.391794995324	417.96807668331	440.98752803429	470.268828174024	492.956828701752
5.5	292.980542393946	315.620035102907	344.838730695419	367.808965573011	393.330564185892	418.852162798773	441.822397676365	471.041093268876	493.680585977838
5.75	294.134323498996	316.725308389191	345.881399434481	368.802417838683	394.26933337646	419.736248914237	442.657267318439	471.813358363729	494.404343253924
6	295.288104604046	317.830581675475	346.924068173543	369.795870104356	395.208102567028	420.6203350297	443.492136960513	472.585623458581	495.12810053001
6.25	296.441885709095	318.935854961759	347.966736912605	370.789322370028	396.146871757596	421.504421145164	444.327006602588	473.357888553433	495.851857806097
6.5	297.595666814145	320.041128248043	349.009405651666	371.782774635701	397.085640948164	422.388507260627	445.161876244662	474.130153648285	496.575615082183
6.75	298.749447919195	321.146401534326	350.052074390728	372.776226901374	398.024410138732	423.272593376091	445.996745886736	474.902418743138	497.299372358269
7	299.903164733716	322.251623994068	351.094709679969	373.76965937791	398.963174718175	424.156690058441	446.831639756381	475.674725442282	498.023184702635
7.25	301.056408752533	323.356470121188	352.137093132548	374.7629378901	399.901894076523	425.040850262946	447.666695020499	476.447318031859	498.747379400513
7.5	302.20906979933	324.460837580414	353.179132532908	375.755978177988	400.840492793066	425.925007408144	448.501853053224	477.220148005718	499.471915786803
7.75	303.360933037966	325.564512675806	354.220615656652	376.748569174029	401.778761085607	426.808952997185	449.336906514562	477.993009495408	500.196589133247
8	304.511738749216	326.667236044902	355.261283601768	377.74045233819	402.7164408163	427.692429294409	450.171598030831	478.765645587697	500.921142883383
8.25	305.661193294401	327.768714391461	356.300843513963	378.731335163617	403.653239864319	428.575144565021	451.005636214676	479.537765337178	501.645286434238
8.5	306.808982893316	328.868634222209	357.338982270278	379.720904818475	404.588845721288	429.456786624101	451.838709172298	480.309057220368	502.368708549261
8.75	307.954781531838	329.966669839302	358.375374581066	380.708836334015	405.522933775002	430.33703121599	452.670492968939	481.079197710702	503.091086018167
9	309.098252534786	331.062484276187	359.409683103719	381.694792072001	406.455166058758	431.215540045516	453.500649013798	481.84784784133	503.812079582731
9.25	310.239025146639	332.155708930837	360.441542015532	382.678408394683	407.385181362452	432.091954330221	454.328820709372	482.614653794067	504.531337578266
9.5	311.37669350722	333.24593613362	361.470541311572	383.659273461237	408.312565805449	432.965858149661	455.154590299326	483.379195477278	505.248438103677
9.75	312.510860873899	334.332769753175	362.496285649392	384.636992549417	409.236925354595	433.836858159773	455.977565059798	484.141080956015	505.962989835291
10	313.641209161864	335.415891378149	363.518456196196	385.611246495115	410.157940477666	434.704634460216	456.797424759135	484.899989577183	506.674671793467
10.25	314.767405193227	336.494967408259	364.536718806562	386.581700724342	411.075276124509	435.568851524675	457.613833442455	485.655584840758	507.38314705579
10.5	315.888918833078	337.56946706319	365.550541867205	387.54782296898	411.988399299434	436.428975629888	458.426256731664	486.407331535679	508.087879765791
10.75	317.005136691643	338.638776327042	366.559310554146	388.508997769778	412.89669383736	437.284389904941	459.234077120573	487.154611347677	508.788250983076
11	318.115432363592	339.70226769306	367.562395939121	389.464595080955	413.799528450862	438.134461820769	460.036660962603	487.896789208664	509.483624538132
11.25	319.219170833285	340.759304944655	368.559160255586	390.413975917473	414.696262801066	438.97854968466	460.833365346547	488.633220657478	510.173354768848
11.5	320.315713739429	341.80924826663	369.548961811927	391.356497112575	415.586252082226	439.816007051877	461.623542352524	489.363255897822	510.856790425023
11.75	321.404418778151	342.851453617668	370.531154324468	392.291510619756	416.468846289205	440.646181958655	462.406538253943	490.086238960743	511.533273800259
12	322.484630570461	343.885263765686	371.505078169512	393.218354935158	417.343381829151	441.468408723143	463.181685488789	490.801499892616	512.202133087841
12.25	323.555663401981	344.909990899211	372.470042829058	394.136337413044	418.209163692256	442.281989971469	463.948284555455	491.508336485302	512.862663982532
12.5	324.616851668354	345.924967414613	373.4253781192	395.044785841031	419.065517412351	443.086248983672	464.705656705503	492.20606741009	513.514183156348
12.75	325.667632094565	346.929628544922	374.370517347439	395.943132012868	419.911873101298	443.880614189728	465.453228855156	492.894117657674	514.15611410803
13	326.707485689182	347.923454056788	375.304938677601	396.830852832318	420.747706262842	444.664559693365	466.190473848082	493.571958468895	514.787926836502
13.25	327.735988968841	348.906020267463	376.228218169607	397.707524157008	421.572592529839	445.437660902669	466.91696689007	494.239164792214	515.409196090836
13.5	328.752802980576	349.876988411325	377.140017299622	398.572807653181	422.386193779728	446.199579906275	467.632370259833	494.895399148131	516.019584578879
