age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	364.995446837497	383.954821438616	408.423929568199	427.660283196721	449.033268658072	470.406254119423	489.642607747946	514.111715877528	533.071090478647
5.25	364.570467610731	383.711964141939	408.416120172303	427.837256364829	449.415548670202	470.993840975575	490.414977168101	515.119133198466	534.260629729673
5.5	364.145488383965	383.469106845262	408.408310776407	428.014229532937	449.797828682332	471.581427831728	491.187346588257	516.126550519403	535.4501689807
5.75	363.720509157199	383.226249548584	408.400501380511	428.191202701045	450.180108694462	472.16901468788	491.959716008413	517.13396784034	536.639708231726
6	363.295529930432	382.983392251907	408.392691984615	428.368175869153	450.562388706592	472.756601544032	492.732085428569	518.141385161277	537.829247482752
6.25	362.870550703666	382.74053495523	408.38488258872	428.545149037261	450.944668718722	473.344188400184	493.504454848725	519.148802482214	539.018786733779
6.5	362.4455714769	382.497677658553	408.377073192824	428.722122205369	451.326948730853	473.931775256336	494.276824268881	520.156219803152	540.208325984805
6.75	362.018392549873	382.253116925585	408.368200842562	428.898535933041	451.709228743079	474.519921553117	495.050256643596	521.165340560573	541.400064936286
7	361.58397754815	382.002952614536	408.355831826341	429.073109340643	452.09150875577	475.109908170897	495.827185685198	522.180064897004	542.599039963389
7.25	361.142117406628	381.747022826557	408.33986511843	429.245789257754	452.47378876923	475.701788280706	496.60771242003	523.200554711902	543.805460131831
7.5	360.692752043879	381.485281034992	408.320271686055	429.416560404394	452.85606878383	476.295577163266	497.391865881605	524.226856532668	545.019385523781
7.75	360.235812000522	381.217673450946	408.297017964771	429.585405115537	453.238348799952	476.891292484368	498.179679635134	525.259024148959	546.240885599383
8	359.771228153908	380.944146546271	408.270070552804	429.75230581173	453.620628817894	477.488951824058	498.971187082984	526.297111089518	547.470029481881
8.25	359.298930692085	380.664646259014	408.239395715267	429.917244738179	454.002908837901	478.088572937622	499.766421960534	527.341171416787	548.706886983716
8.5	358.81884909653	380.379117980002	408.204959375711	430.080203960204	454.385188859975	478.690173759745	500.565418344238	528.391259739947	549.951528623419
8.75	358.330912109894	380.087506527848	408.166727100501	430.241165354988	454.767468883798	479.293772412607	501.368210667094	529.447431239748	551.204025657701
9	357.835048082234	379.789756417116	408.124664266239	430.400110699791	455.149748908952	479.899387118114	502.174833551666	530.509741400788	552.464449735671
9.25	357.331185673169	379.485812402043	408.078736398988	430.557021850418	455.532028934775	480.507036019131	502.985321470561	531.578245467506	553.73287219638
9.5	356.81925291514	379.175618751175	408.028908721729	430.71188050315	455.914308960575	481.116737418	503.799709199421	532.652999169976	555.00936500601
9.75	356.299175109208	378.859117617949	407.975145137705	430.864667659807	456.296588985935	481.728510312062	504.618032834164	533.734060353921	556.294002862661
10	355.77087567549	378.536249699246	407.917408641314	431.015363843946	456.67886901058	482.342374177214	505.440329379845	534.821488321914	557.58686234567
10.25	355.234278140436	378.206955776675	407.855662283798	431.163949614048	457.061149044807	482.958348475566	506.266635805817	535.91534231294	558.888019949178
10.5	354.6893064486	377.871176945449	407.789869295139	431.310405601315	457.443429053832	483.576452506349	507.096988812525	537.015681162215	560.197551659064
10.75	354.135884867974	377.528854567397	407.719993098594	431.454712572561	457.825709074424	484.196705576286	507.931425050253	538.122563581451	561.515533280874
11	353.573940015307	377.179931811039	407.645998224523	431.596851851725	458.207989089405	484.819126327085	508.769979954288	539.236046367772	562.842038163504
11.25	353.003398609104	376.824351927463	407.567849261087	431.736804801079	458.590269098302	485.443733395526	509.612688935517	540.356186269142	564.177139587501
11.5	352.424187112974	376.46205797097	407.485510674656	431.874552720056	458.972549103307	486.070545486557	510.459587531957	541.483040235643	565.520911093639
11.75	351.8362316054	376.09299269615	407.398946742124	432.010076805281	459.354829100089	486.699581394897	511.310711458054	542.616665504028	566.873426594778
12	351.239457816559	375.717098588925	407.308121574502	432.143358168297	459.737109089021	487.330860009745	512.166096603539	543.757119589117	568.234760361483
12.25	350.633791176098	375.334317902336	407.212999137228	432.274377843709	460.119389069788	487.964400295868	513.025779002349	544.904460237241	569.604986963478
12.5	350.019156365641	374.944592310208	407.113543034387	432.403116676045	460.501669042307	488.600221408568	513.889795050227	546.058745774405	570.984181718973
12.75	349.395476788868	374.54786249688	407.009716252858	432.529555185297	460.883949007123	489.238342828949	514.758181761387	547.220035517366	572.372421225378
13	348.762674787107	374.144068324042	406.901481266245	432.653673621386	461.266228964944	489.878784308501	515.630976663642	548.388389605845	573.76978314278
13.25	348.120669106027	373.733146868997	406.788798810789	432.775451319996	461.648508916782	490.521566513568	516.508219022774	549.563870964567	575.176348727537
13.5	347.46937623234	373.315033459758	406.671628531227	432.894867042419	462.03078886381	491.166710685201	517.389949196393	550.746544267863	576.59220149528
13.75	346.808710891985	372.889662060814	406.549929221461	433.011899102167	462.413068807243	491.814238512319	518.276208393025	551.936475553673	578.017426722502
14	346.138585813747	372.456965090083	406.42365871035	433.126525304869	462.795348748354	492.464172191839	519.167038786358	553.133732406624	579.452111682961
14.25	345.45891268657	372.01687416022	406.292774324233	433.238723191643	463.177628688346	493.116534185048	520.062483052458	554.338383216471	580.896344690122
14.5	344.769602081734	371.569320018325	406.157232849273	433.348470019221	463.559908628239	493.771347237258	520.962584407206	555.550497238153	582.350215174744
14.75	344.070563678913	371.114232721022	406.016990640736	433.45574281751	463.942188568969	494.428634320427	521.867386497202	556.770144416915	583.813813459024
15	343.361706816794	370.651542060792	405.872003888921	433.560518529414	464.32446851109	495.088418492765	522.776933133258	557.997394961387	585.287230205386
15.25	342.642940204272	370.181177342369	405.722228479701	433.662773937529	464.706748454972	495.750722972416	523.691268430244	559.232319567576	586.770556705673
15.5	341.914171301866	369.703066903713	405.567619695616	433.762485506836	465.089028400832	496.415571294829	524.610437106049	560.474989897952	588.263885499799
15.75	341.175306288177	369.217138090034	405.408132199658	433.859629376165	465.471308348709	497.082987321253	525.534484497761	561.725478607384	589.767310409242
16	340.426250378331	368.723317500425	405.24372018922	433.954181439271	465.853588298593	497.752995157915	526.463456407966	562.983859096761	591.280926218855
16.25	339.66690793499	368.221531073807	405.074337449709	434.046117373033	466.23586825038	498.425619127727	527.397399051051	564.250205426953	592.80482856577
16.5	338.89718242078	367.711704052119	404.899937331598	434.13541262541	466.618148203938	499.100883782466	528.336359076279	565.524592355758	594.339113987096
16.75	338.116976939786	367.193761399633	404.720473012081	434.222042553143	467.000428159094	499.778813765046	529.280383306107	566.807094918555	595.883879378402
17	337.326193990645	366.667627611761	404.53589737577	434.305982358968	467.382708115646	500.459433872323	530.229518855521	568.09778861953	597.439222240646
17.25	336.524734789457	366.133226190714	404.346162687493	434.387206919408	467.764988073344	501.142769227279	531.183813459194	569.396749955973	599.00524135723
17.5	335.712501371348	365.590481272951	404.151221607852	434.465691319274	468.147268031928	501.828844744582	532.143314456004	570.704054790905	600.582034692508
17.75	334.889421905643	365.039337233113	403.951039426185	434.541417289967	468.529547991123	502.517678692278	533.108056556061	572.019758749133	602.169674076603
18	334.055839852253	364.480060044688	403.74578211144	434.614472182007	468.911827950668	503.209183719329	534.077873789897	573.343595856648	603.767816049084
18.25	333.21966502275	363.918775024092	403.539271897469	434.686867664256	469.294107910271	503.901348156286	535.048943923073	574.66944079645	605.368550797792
18.5	332.383490193248	363.357490003497	403.332761683499	434.759263146504	469.676387869874	504.593512593243	536.020014056249	575.995285736251	606.969285546499
18.75	331.547315363746	362.796204982901	403.126251469529	434.831658628753	470.058667829477	505.2856770302	536.991084189424	577.321130676052	608.570020295207
19	330.711140534244	362.234919962305	402.919741255558	434.904054111001	470.440947789079	505.977841467157	537.9621543226	578.646975615853	610.170755043914
19.25	329.874965704742	361.673634941709	402.713231041588	434.97644959325	470.823227748682	506.670005904114	538.933224455776	579.972820555655	611.771489792622
19.5	329.03879087524	361.112349921114	402.506720827618	435.048845075499	471.205507708285	507.362170341071	539.904294588952	581.298665495456	613.37222454133
19.75	328.202616045737	360.551064900518	402.300210613647	435.121240557747	471.587787667887	508.054334778028	540.875364722128	582.624510435257	614.972959290037
