age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
6	55260.5479385365	75322.9276081395	101215.582181424	121571.05476813	144187.462641269	166803.870514409	187159.343101115	213051.997674399	233114.377344002
6.25	56205.6614945902	75961.6290588589	101458.825918195	121503.410000492	143774.398174392	166045.386348291	186089.970430589	211587.167289925	231343.134854194
6.5	57150.7750506439	76600.3305095782	101702.069654967	121435.765232855	143361.333707515	165286.902182174	185020.597760062	210122.336905451	229571.892364385
6.75	58095.8886066977	77239.0319602976	101945.313391738	121368.120465217	142948.269240637	164528.418016057	183951.225089536	208657.506520977	227800.649874577
7	59038.2646096939	77875.6134643318	102187.234269145	121299.779467249	142535.204773779	163770.630080309	182883.175278413	207194.796083226	226032.144937864
7.25	59961.2263566486	78497.160670639	102419.7736552	121226.500923406	142122.140307107	163017.779690809	181824.506959014	205747.119943576	224283.054257566
7.5	60863.1912115953	79102.4479942933	102642.166777672	121147.882328685	141709.07584081	162270.269352935	180775.984903948	204315.703687327	222554.960470025
7.75	61741.4307685271	79689.3625720923	102853.095197424	121063.229779269	141296.01137515	161528.792971031	179738.927552876	202902.660178208	220850.591981773
8	62592.6461036316	80255.3497348567	103050.964785773	120971.704273983	140882.946910439	160794.189546895	178714.929035105	201510.544086022	219173.247717247
8.25	63413.0112684535	80797.4466883424	103233.926741641	120872.33277585	140469.882447197	160067.432118543	177705.838152752	200142.318206051	217526.75362594
8.5	64198.5414737977	81312.5676328967	103400.055507882	120764.101850676	140056.81798605	159349.534121425	176713.580464219	198801.068339204	215915.094498303
8.75	64945.6469566996	81797.9326746551	103547.61641364	120646.098528149	139643.753525648	158641.408523147	175739.890637656	197489.574376641	214341.860094596
9	65651.1128979796	82251.0525285944	103675.056553606	120517.506036501	139230.690192033	157943.874347564	174786.32383046	196210.327855471	212810.267486086
9.25	66311.4713258551	82669.2408570831	103780.698372923	120377.439873985	138817.624623035	157257.809372085	173854.550873148	194966.008388988	211323.777920216
9.5	66922.657566361	83049.3507559403	103862.579447837	120224.868794403	138404.560178328	156584.251562252	172946.540908818	193759.769600715	209886.462790294
9.75	67481.2578429343	83388.7383622842	103919.049571719	120058.923752536	137991.495739734	155924.067726931	172063.941907749	192594.253117183	208501.733636533
10	67985.8012830785	83686.2646405381	103949.397980156	119879.230668727	137578.431308798	155277.631948869	171207.464637439	191470.597977057	207171.061334517
10.25	68435.2974242264	83941.1625820459	103953.146055754	119685.537643944	137165.366887057	154645.196130169	170377.58771836	190389.571192067	205895.436349887
10.5	68829.065809441	84152.9051935252	103929.964866548	119477.671451845	136752.302248411	154026.933044977	169574.639630274	189351.699303297	204675.538687381
10.75	69166.5958942476	84321.0972667327	103879.608058084	119255.50275916	136339.238078628	153422.973398096	168798.868099172	188357.378890523	203511.880263008
11	69448.0559336781	84445.8689422714	103802.156580202	119019.073844484	135926.173689741	152833.273534997	168050.190799279	187406.47843721	202404.291445804
11.25	69674.1196868406	84527.742028652	103697.936132857	118768.556237317	135513.109316679	152257.662396041	167328.282500501	186498.476604706	201352.098946517
11.5	69847.0136079722	84568.4406799202	103568.022597776	118504.51618105	135100.044957644	151695.573734238	166632.067317511	185631.649235367	200353.076307315
11.75	69970.9377113086	84571.2173649907	103414.445534923	118228.02184756	134686.980612551	151145.939377541	165959.515690178	184802.74386011	199403.023513792
