age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
6	114034.569306264	126903.033371615	143511.167621896	156567.628113079	171074.303631925	185580.979150771	198637.439641954	215245.573892235	228114.037957586
6.25	112938.07005554	125870.479422055	142561.14194774	155682.481922131	170261.243257142	184840.004592153	197961.344566544	214652.007092229	227584.416458744
6.5	111841.570804816	124837.925472495	141611.116273583	154797.335731183	169448.182882359	184099.030033536	197285.249491135	214058.440292223	227054.794959903
6.75	110744.653593646	123805.047856583	140660.888629723	153912.083242174	168635.122507656	183358.161773139	196609.35638559	213465.19715873	226525.591421667
7	109646.364902584	122771.108173945	139709.998250044	153026.481950754	167822.062133352	182617.642315949	195934.12601666	212873.016092759	225997.759364119
7.25	108546.671916229	121736.081012599	138758.42927747	152140.523511425	167009.001759853	181877.480008281	195259.574242236	212281.922507106	225471.331603476
7.5	107445.570506532	120699.963175979	137806.17971761	151254.206874884	166195.941387921	181137.675900958	194585.703058232	211691.919599863	224946.31226931
7.75	106343.054895945	119662.750190177	136853.246779048	150367.530572401	165382.881018426	180398.23146445	193912.515257804	211103.011846675	224422.707140907
8	105239.119053994	118624.437385421	135899.627548142	149480.493070916	164569.820652232	179659.148233547	193240.013756321	210515.203919042	223900.522250469
8.25	104133.756676473	117585.019879961	134945.318978974	148593.092767745	163756.760290197	178920.427812649	192568.20160142	209928.500700433	223379.763903921
8.5	103026.961752459	116544.493019114	133990.318167233	147705.328134631	162943.699932957	178182.071731283	191897.081698681	209342.9068468	222860.438113455
8.75	101918.728683962	115502.8524679	133034.622407992	146817.197748111	162130.639580849	177444.081413586	191226.656753706	208758.426693797	222342.550477736
9	100809.05231437	114460.094233167	132078.229209667	145928.700297056	161317.579234315	176706.458171574	190556.929258963	208175.064235462	221826.10615426
9.25	99697.9289228861	113416.215433754	131121.136774737	145039.834835847	160504.518894263	175969.202952678	189887.901013788	207592.822354771	221311.108865639
9.5	98585.3551303694	112371.213453115	130163.343470868	144150.600505887	159691.45856177	175232.316617653	189219.573652671	207011.703670424	220797.56199317
9.75	97471.3275564851	111325.085673929	129204.84766549	143260.996448765	158878.398238576	174495.800028388	188551.948811663	206431.710803223	220285.468920667
10	96355.8428189619	110277.829477459	128245.647725287	142371.021805855	158065.33792679	173759.654047726	187885.028128294	205852.846376121	219774.833034618
