age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
6	36633.8641774921	42602.9557314659	50306.7091380232	56363.0036302735	63091.9865046891	69820.9693791047	75877.263871355	83581.0172779123	89550.1088318861
6.25	36773.9125086627	42688.3621361209	50321.5942709355	56322.4485683739	62989.8333613354	69657.218154297	75658.0724517354	83291.30458655	89205.7542140082
6.5	36913.9608398333	42773.7685407759	50336.4794038477	56281.8935064743	62887.6802179818	69493.4669294893	75438.8810321158	83001.5918951876	88861.3995961302
6.75	37054.0091710039	42859.1749454309	50351.36453676	56241.3384445747	62785.5270746281	69329.7157046815	75219.6896124962	82711.8792038253	88517.0449782523
7	37193.7650966376	42944.3549127774	50366.1083714437	56200.7090164099	62683.37393128	69166.0388461501	75000.6394911164	82422.3929497827	88172.9827659225
7.25	37331.4314366066	43027.9167159856	50379.8424620743	56159.5481527537	62581.220787978	69002.8934232024	74782.5991138818	82134.5248599705	87831.0101393495
7.5	37466.857422202	43109.7436005745	50392.4939531827	56117.817509281	62479.067644784	68840.3177802869	74565.6413363852	81848.3916889934	87491.2778673659
7.75	37600.0466132311	43189.8383232865	50404.0645650698	56075.5179914958	62376.9145019032	68678.3110123107	74349.7644387366	81563.99068052	87153.7823905754
8	37731.0219792057	43268.2186716543	50414.5653973685	56032.6554413482	62274.7613596186	68516.8672778889	74134.9573218686	81281.3040475829	86818.5007400315
8.25	37859.8045222453	43344.9009097439	50424.0065991778	55989.2352006649	62172.6082185282	68355.9812363914	73921.2098378785	81000.3155273124	86485.411914811
8.5	37986.4150655831	43419.9011631353	50432.3982332519	55945.2625659186	62070.4550794198	68195.647592921	73708.5119255876	80721.0089957043	86154.4950932564
8.75	38110.8745418218	43493.2356420674	50439.7504151128	55900.7428612781	61968.3019429213	68035.8610245645	73496.8534707298	80443.3682437751	85825.7293440207
9	38233.2046746783	43564.9212137603	50446.0737441493	55855.6817586863	61866.1490062252	67876.6162537642	73286.2242683012	80167.3767986902	85499.0933377721
9.25	38353.4241979081	43634.9722536936	50451.3769710189	55810.0835868547	61763.99568494	67717.9077830253	73076.6143988611	79893.0191161864	85174.5671719719
9.5	38471.5555759963	43703.4062906222	50455.6712543865	55763.9544966112	61661.8425658232	67559.7306350352	72868.01387726	79620.2788410243	84852.1295556501
9.75	38587.6183856062	43770.2384410767	50458.9659545029	55717.2993229158	61559.6894559081	67402.0795889004	72660.4129573134	79349.1404707395	84531.7605262101
