age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
6	58500.3882041829	62147.9034603801	66855.4134434852	70556.2155432286	74668.0753582755	78779.9351733225	82480.7372730659	87188.247256171	90835.7625123682
6.25	58054.5597981639	61738.9617049954	66494.0778703663	70232.3055007878	74385.7477975521	78539.1900943165	82277.4177247379	87032.5338901089	90716.9357969403
6.5	57608.7313921449	61330.0199496107	66132.7422972474	69908.395458347	74103.4202368287	78298.4450153104	82074.09817641	86876.8205240467	90598.1090815125
6.75	57162.4168633618	60920.7017434028	65771.1718167181	69584.3617826431	73821.0926764983	78057.8235703535	81871.0135362784	86721.4836095938	90479.7684896348
7	56714.5027224533	60510.1448064072	65408.8283615063	69259.9212857387	73538.7651180693	77817.6089503999	81668.7018746322	86567.3854297314	90363.0275136853
7.25	56264.9418175572	60098.3126248065	65045.6891473335	68935.0619768122	73256.437563034	77577.8131492557	81467.1859787345	86414.5625012615	90247.9333085107
7.5	55813.7198879638	59685.1941556746	64681.7472841689	68609.7802306257	72974.1100135763	77338.4397965269	81266.4727429837	86263.025871478	90134.5001391888
7.75	55360.8205657047	59270.7767242929	64316.9948638289	68284.0718861999	72691.7824721333	77099.4930580667	81066.5700804376	86112.7882199737	90022.7443785619
8	54906.2273364904	58855.0475427271	63951.4239076409	67957.9327456562	72409.4549415629	76860.9771374695	80867.4859754848	85963.8623403986	89912.6825466354
8.25	54449.9233889202	58437.9935930159	63585.0262934843	67631.358535732	72127.1274249631	76622.8963141941	80669.2285564418	85816.2612569102	89804.3314610059
8.5	53991.8917202172	58019.6017088455	63217.7938064126	67304.3449339912	71844.7999247594	76385.2549155277	80471.8060431063	85669.9981406733	89697.7081293017
8.75	53532.1151274123	57599.8585686693	62849.7181342715	66976.8875664059	71562.4724424684	76148.0573185309	80275.2267506652	85525.0863162675	89592.8297575244
9	53070.5763258213	57178.7507877691	62480.7909256679	66648.982038524	71280.1449800866	75911.3079216493	80079.4990345054	85381.5391724042	89489.713634352
9.25	52607.2581896046	56756.2651048797	62111.0039069847	66320.6239977607	70997.8175415809	75675.0110854011	79884.6311761771	85239.3699782821	89388.3768935572
9.5	52142.1435173882	56332.3882003767	61740.3487684117	65991.809072764	70715.4901315122	75439.1711902605	79690.6314946128	85098.5920626478	89288.8367456362
9.75	51675.2150555029	55907.1067144975	61368.8171756913	65662.5328800696	70433.1627560346	75203.7926319995	79497.5083363779	84959.2187975716	89191.1104565663
10	51206.4554545116	55480.4072135114	60996.4007487316	65332.7910124967	70150.8354221594	74968.8798318221	79305.2700955872	84821.2636308074	89095.2153898072
10.25	50735.847174586	55052.2761160231	60623.0910149202	65002.5790136948	69868.5081358953	74734.4372580957	79113.9252568703	84684.7401557675	89001.1690972045
10.5	50263.3724912136	54622.699696716	60248.8794103326	64671.8923773603	69586.1808992495	74500.4694211388	78923.4823881664	84549.662101783	88908.9893072854
10.75	49789.0132783717	54191.6639199002	59873.7571782919	64340.7264969047	69303.8537166837	74266.9809364627	78733.9502550754	84416.0435134672	88818.6941549957
11	49312.7505510026	53759.1540836417	59497.7151446951	64009.0765439213	69021.5265881748	74033.9766324283	78545.3380316545	84283.8990927079	88730.3026253469
11.25	48834.5649630846	53325.1552065491	59120.7439611751	63676.9375984367	68739.1995140165	73801.4614295963	78357.6550668579	84153.2438214839	88643.8340649484
11.5	48354.4368810188	52889.6520841802	58742.8341395914	63344.3046661728	68456.872492938	73569.4403197033	78170.9108462847	84024.0929016959	88559.3081048573
11.75	47872.3464150711	52452.6293137023	58363.9760679394	63011.1726875761	68174.5455234895	73337.9183594028	77985.1149790395	83896.4617332766	88476.7446319078
12	47388.273543633	52014.0713902783	57984.1600707602	62677.5365699448	67892.218604745	73106.9006395451	77800.2771387297	83770.3658192116	88396.1636658569
12.25	46902.1981354771	51573.962724432	57603.3764201954	62343.3911935225	67609.8917368842	72876.3922802459	77616.407053573	83645.8207493365	88317.5853382914
12.5	46414.0998148513	51132.2875373348	57221.6152702396	62008.7313763843	67327.564920114	72646.3984638438	77433.5145699885	83522.8423028932	88241.0300253768
12.75	45923.9578704999	50689.0297903192	56838.8666127013	61673.5518511889	67045.238154522	72416.9244578551	77251.6096963426	83401.4465187248	88166.518438544
13	45431.7513385848	50244.173249099	56455.1203172897	61337.8472862921	66762.9114401087	72187.9755939252	77070.7025629276	83281.6496311183	88094.0715416325
13.25	44937.4589834747	49797.701468791	56070.3661220956	61001.6122805209	66480.5847763319	71959.557272143	76890.8034305683	83163.4680838728	88023.7105691891
13.5	44441.0593188933	49349.5978103529	55684.5936439527	60664.8413687568	66198.2581623813	71731.6749560059	76711.92268081	83046.9185144098	87955.4570058694
13.75	43942.5307538157	48899.8455536603	55297.7924491566	60327.5290593553	65915.9315975998	71504.3341358444	76534.0707460431	82932.0176415394	87889.332441384
14	43441.8516208288	48448.4279194778	54909.95206719	59989.6698413886	65633.6050815234	71277.5403216583	76357.2580958569	82818.7822435691	87825.3585422181
