age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
6	46324.9177366667	58986.8970041264	75328.5404574779	88175.4995977599	102449.403905731	116723.308213702	129570.267353984	145911.910807336	158573.890074796
6.25	46727.3513601497	59220.6597478019	75344.6153246727	88020.4394587073	102104.200350151	116187.961241595	128863.78537563	144987.740952501	157481.049340153
6.5	47129.7849836326	59454.4224914774	75360.6901918675	87865.3793196546	101758.996794571	115652.614269488	128157.303397275	144063.571097665	156388.20860551
6.75	47532.2186071156	59688.1852351529	75376.7650590623	87710.319180602	101413.793238991	115117.267297381	127450.82141892	143139.40124283	155295.367870867
7	47933.3205027974	59920.9166958275	75392.1963995223	87554.9203488371	101068.589683429	114582.259018022	126744.982967337	142216.262671031	154203.858864061
7.25	48324.9189885251	60146.2887658571	75403.0354364069	87397.1045549562	100723.386128045	114049.667701134	126043.736819683	141300.483490233	153121.853267565
7.5	48706.3707201001	60363.8032429197	75408.9712885662	87236.7081800755	100378.182573024	113519.656965972	125347.393857481	140392.561903127	152049.994425947
7.75	49077.7355065226	60573.506442852	75410.032857461	87073.7464353695	100032.979018637	112992.211601905	124655.925179814	139492.451594422	150988.222530752
8	49439.1605568948	60775.5123636827	75406.2912786644	86908.2567601546	99687.775465215	112467.294170275	123969.259651766	138600.038566747	149936.390373535
8.25	49790.7821121282	60969.9265097879	75397.8123877545	86740.2738044412	99342.5719133373	111944.870022233	123287.33143892	137715.217316887	148894.361714546
8.5	50132.7340565875	61156.8525606769	75384.6608816321	86569.831619009	98997.3683637188	111424.905108429	122610.075845806	136837.884166761	147862.00267085
8.75	50465.1486399987	61336.3929295449	75366.9006662464	86396.9638373927	98652.1648150431	110907.365792694	121937.42896384	135967.936700541	146839.180990087
9	50788.153647927	61508.6468364409	75344.5940947817	86221.703829944	98306.9624356316	110392.221041319	121269.330776482	135105.278034822	145825.771223336
9.25	51101.8862449345	61673.7197139844	75317.8056463793	86044.0838802875	97961.7577375518	109879.431594816	120605.709828724	134249.795761119	144821.629230169
9.5	51406.4645641485	61831.7038302492	75286.5942074847	85864.1366319505	97616.5542065437	109368.971781137	119946.514205603	133401.404582838	143826.643848939
9.75	51702.0165887058	61982.6980330544	75251.021023662	85681.8937695389	97271.3506828426	108860.807596146	119291.680342023	132560.003332631	142840.684776979
10	51988.6667089223	62126.7986500611	75211.146204704	85497.3869302213	96926.1471684645	108354.907406708	118641.148132225	131725.495686868	141863.627628007
10.25	52266.5378357308	62264.1008633069	75167.0291455324	85310.6473749305	96580.943665438	107851.239955945	117994.858185344	130897.786467569	140895.349495145
10.5	52535.7508924863	62394.6983099415	75118.7282675199	85121.7058402077	96235.7401504463	107349.774460685	117352.752033373	130076.781990951	139935.729408406
10.75	52796.4269051956	62518.68472928	75066.3020935769	84930.5931636378	95890.5367006681	106850.480237698	116714.771307759	129262.388672056	138984.646496141
11	53048.6826447806	62636.1505312328	75009.8070118988	84737.3389872951	95545.3332412949	106353.327495295	116080.859470691	128454.515951357	138041.983837809
11.25	53292.6350011227	62747.1862407372	74949.2995206321	84541.9730592138	95200.1297990443	105858.286538875	115450.960077457	127653.073357351	137107.624596966
11.5	53528.3993181643	62851.8811795474	74884.8353571039	84344.5247143729	94854.9263739697	105365.328033567	114825.017390836	126857.971568392	136181.453429775
11.75	53756.089981716	62950.3239273305	74816.469795383	84145.0230436937	94509.7229656146	104874.422887535	114202.976135846	126069.122003899	135263.355949513
12	53975.8197676393	63042.6018169442	74744.2573313995	83943.4967284035	94164.5195731972	104385.542417991	113584.781814995	125286.43732945	134353.219378755
12.25	54187.699772174	63128.8008804113	74668.2516491136	83739.9740220804	93819.316195295	103898.65836851	112970.380741476	124509.831510179	133450.932618416
12.5	54391.8394304261	63209.005863343	74588.5056296932	83534.4827557066	93474.1128303153	103413.742904924	112359.720030937	123739.219797288	132556.386230205
12.75	54588.3463407824	63283.3000889331	74505.0712665895	83327.0502929022	93128.9094763472	102930.768659792	111752.747686105	122974.518863761	131669.472611912
13	54777.3264300035	63351.7655739815	74417.9997182317	83117.7035328329	92783.7060787541	102449.708624675	111149.412439276	122215.646583527	130790.085727505
13.25	54958.8847764099	63414.4837338436	74327.3418603783	82906.4693425982	92438.5028292717	101970.536315945	110549.663798165	121462.5219247	129918.120882133
13.5	55133.124227937	63471.5341524111	74233.1472521758	82693.3736774345	92093.2994574789	101493.225237523	109953.451662782	120715.064762547	129053.474687021
13.75	55300.1472366293	63522.996204086	74135.4654838509	82478.442712783	91748.0961232901	101017.749533797	109360.726762729	119973.196042494	128196.045009951
14	55460.0546518408	63568.947977286	74034.34526839	82261.7020681773	91402.8927877364	100544.083507295	108771.440307083	119236.837598187	127345.730923632
14.25	55612.9461449365	63609.4666565267	73929.8347686154	82043.1770910782	91057.6894487555	100072.201806433	108185.544128896	118505.912240984	126502.432752575
14.5	55758.9202247029	63644.6285261229	73821.9815857756	81822.8928335833	90712.4861047012	99602.0793758191	107602.990623627	117780.343683279	125666.0519847
14.75	55898.0740879883	63674.5088544731	73710.8326872507	81600.8740142684	90367.2827541127	99133.6914939569	107023.732820975	117060.056653752	124836.491420237
15	56030.5037071459	63699.1819587604	73596.4344419022	81377.1450304631	90022.0793823519	98667.0137342408	106447.724322802	116344.976805943	124013.655057558
15.25	56156.303940051	63718.7213035593	73478.8327039535	81151.7300305532	89676.8760210438	98202.0220115344	105874.919338134	115635.030738528	123197.448102037
15.5	56275.5686317945	63733.1995578716	73358.07281239	80924.6528680718	89331.6726518239	97738.692435576	105305.272491258	114930.145745776	122387.776671853
15.75	56388.3904447126	63742.688476626	73234.1995388871	80695.937101849	88986.4692645111	97277.0014271731	104738.738990135	114230.250052396	121584.54808431
16	56494.860659299	63747.2587489314	73107.2569971608	80465.6059533947	88641.2658678573	96816.9257823199	104175.274738554	113535.272986783	120787.671076416
16.25	56595.069137252	63746.9799635349	72977.2886115389	80233.6822779165	88296.0624632844	96358.4426486524	103614.83631503	112845.144963034	119997.055789317
16.5	56689.1042343929	63741.9205431977	72844.3370790283	80000.1885481571	87950.8590529095	95901.5295576619	103057.381026791	112159.797562621	119212.613871426
16.75	56777.0528047701	63732.1477478365	72708.4443712161	79765.1468553202	87605.6556393868	95446.1644234533	102502.866907557	111479.163530937	118434.258474003
17	56859.0000673151	63717.7275709932	72569.6516692143	79528.5788742625	87260.452224707	94992.3255751515	101951.2527802	110803.176878421	117661.904382099
17.25	56935.0292771646	63698.7244851324	72427.9992044336	79290.5057793252	86915.2488094239	94539.9918395225	101402.498414414	110131.773133715	116895.468341683
17.5	57005.2215213708	63675.2012837133	72283.5261604874	79050.9481932762	86570.045393858	94089.1425944399	100856.564627229	109464.889504003	116134.869266345
17.75	57069.8888134481	63647.399588386	72136.3833107689	78809.985469284	86224.8419781236	93639.6984869631	100313.300645478	108802.284367861	115379.795142799
18	57133.126925949	63618.4911439034	71988.5498429647	78568.659268039	85879.6385623524	93190.6178566657	99770.7272817401	108140.785980801	114626.150198756
