age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
6	79488.6338525005	88010.0448399953	99007.8404559608	107653.741421479	117259.965095923	126866.188770368	135512.089735886	146509.885351851	155031.296339346
6.25	78959.0484093072	87484.9182196568	98488.4684251516	107138.893352826	116750.14347767	126361.393602515	135011.818530189	146015.368735684	154541.238546033
6.5	78429.4629661139	86959.7915993182	97969.0963943424	106624.045284173	116240.321859417	125856.598434662	134511.547324492	145520.852119516	154051.180752721
6.75	77899.8745970881	86434.6627132503	97449.7229497378	106109.196471471	115730.500241253	125351.804011035	134011.277532768	145026.337769255	153561.125885418
7	77370.2769191143	85909.5266184814	96930.3450070265	105594.345291592	115220.678623529	124847.011955466	133511.012240031	144531.830628577	153071.080327944
7.25	76840.6703156084	85384.3836120355	96410.9627517343	105079.491842408	114710.857006727	124342.222171046	133010.75126172	144037.330401419	152581.043697846
7.5	76311.055476889	84859.234228704	95891.5765179281	104564.636300187	114201.035391789	123837.434483392	132510.49426565	143542.836554874	152091.015306689
7.75	75781.4330424949	84334.0789639833	95372.1866152026	104049.778828375	113691.213779783	123332.648731191	132010.240944364	143048.348595583	151600.994517071
8	75251.8029167294	83808.917743979	94852.7929978007	103534.919403338	113181.39217165	122827.864939962	131509.9913455	142553.866599321	151110.981426571
8.25	74722.1645673898	83283.7501567506	94333.3954089937	103020.057890365	112671.570568253	122323.083246141	131009.745727513	142059.390979756	150620.976569116
8.5	74192.5173727514	82758.5757209417	93813.9935485856	102505.19413168	112161.748970053	121818.303808426	130509.50439152	141564.922219164	150130.980567354
8.75	73662.860599088	82233.3938683421	93294.5870619822	101990.327940622	111651.927376976	121313.52681333	130009.26769197	141070.46088561	149640.994154864
9	73133.1937389005	81708.2042059773	92775.1757040156	101475.459188221	111142.105789156	120808.752390092	129509.035874297	140576.007372336	149151.017839412
9.25	72603.5171154763	81183.0069844343	92255.7596314446	100960.587957473	110632.284207635	120303.980457796	129008.808783825	140081.561430835	148661.051299793
9.5	72073.8312352891	80657.8025962312	91736.3390897156	100445.714378205	110122.462633775	119799.210889344	128508.586177833	139587.122671318	148171.09403226
9.75	71544.1366153477	80132.5914423252	91216.9143300089	99930.838583849	109612.641070184	119294.443556518	128008.367810359	139092.690698042	147681.14552502
10	71014.4337745674	79607.3739253047	90697.4856047808	99415.9607088361	109102.819520157	118789.678331477	127508.153435532	138598.265115009	147191.205265746
10.25	70484.7230389807	79082.1502964021	90178.0530687255	98901.080831967	108592.997978171	118284.915124376	127007.942887617	138103.845659941	146701.272917362
10.5	69955.0045356637	78556.9206605352	89658.6167981634	98386.1990070804	108083.176473088	117780.153939095	126507.736148012	137609.432285641	146211.348410512
