age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
6	49244.5389278483	60528.3522544018	75091.3246208624	86539.9840832378	99260.2759309869	111980.567778736	123429.227241111	137992.199607572	149276.012934125
6.25	49457.8768520416	60638.2799880448	75067.7904029638	86411.5289470035	99015.2460371097	111618.963127216	122962.701671256	137392.212086175	148572.615222178
6.5	49671.2147762349	60748.2077216878	75044.2561850651	86283.0738107692	98770.2161432326	111257.358475696	122496.1761014	136792.224564777	147869.21751023
6.75	49884.5527004282	60858.1354553308	75020.7219671664	86154.618674535	98525.1862493554	110895.753824176	122029.650531544	136192.23704338	147165.819798283
7	50097.339368728	60967.6362993131	74996.9213675805	86026.0233397225	98280.1563554951	110534.289371268	121563.39134341	135592.676411677	146462.973342262
7.25	50306.1926650736	61074.0911607766	74971.2200567997	85896.4276470941	98035.1264617897	110173.825276485	121099.03286678	134996.161762803	145764.060258506
7.5	50510.8355303497	61177.2854866197	74943.4841524426	85765.7611334376	97790.096568328	109814.432003218	120636.708984213	134402.907650036	145069.357606306
7.75	50711.2325124334	61277.1918228898	74913.6965230543	85634.014782314	97545.0666750432	109456.118567772	120176.436827032	133812.941527196	144378.900837653
8	50907.3670555549	61373.797348863	74881.8491683883	85501.1843830886	97300.0367818342	109098.88918058	119718.22439528	133226.276214805	143692.706508113
8.25	51099.1912694921	61467.0649786271	74847.9189466538	85367.2577561213	97055.006888806	108742.756021491	119262.094830958	132642.948798985	143010.82250812
8.5	51286.6430708483	61556.946635184	74811.8758576144	85232.2191121951	96809.9769962163	108387.734880238	118808.078134818	132063.007357249	142333.310921584
8.75	51469.6663742488	61643.3988872304	74773.6928014039	85096.0541903794	96564.9471081239	108033.840025868	118356.201414844	131486.495329017	141660.227841999
9	51648.2138447443	61726.3846260208	74733.3458672903	84958.7494555415	96319.9152174402	107681.080979339	117906.48456759	130913.445808859	140991.616590136
9.25	51822.2180217882	61805.8529642028	74690.8055574078	84820.2922251289	96074.8873246466	107329.482424164	117458.969091885	130343.92168509	140327.556627505
9.5	51991.6081661304	61881.747769782	74646.0345919931	84680.6600400324	95829.8574374566	106979.054834881	117013.68028292	129777.967105131	139668.106708783
9.75	52156.3110533757	61954.0127887928	74598.9986192421	84539.8357668003	95584.8275532579	106629.819339715	116570.656487274	129215.642317723	139013.34405314
10	52316.2823272175	62022.6136723129	74549.676205836	84397.8081256964	95339.7976736821	106281.787221668	116129.919141528	128656.981675051	138363.313020147
10.25	52471.4850760209	62087.521836621	74498.0495161198	84254.5677306426	95094.7678007441	105934.967870846	115691.486085368	128102.013764867	137718.050525467
10.5	52621.8830141348	62148.709204969	74444.1010678161	84110.1054281889	94849.7380349262	105589.370641663	115255.375002036	127550.766864883	137077.593055718
10.75	52767.4423606483	62206.1495511905	74387.8143849673	83964.4124074903	94604.7080818796	105245.003756269	114821.601778792	127003.266612569	136441.973803111
11	52908.1419906843	62259.8265840514	74329.1794146746	83817.4835199061	94359.6782419508	104901.872963995	114390.177069227	126459.52989985	135811.214493217
11.25	53043.9706978265	62309.7316029648	74268.1906903925	83669.3158413277	94114.6484158629	104559.980990398	113961.106141333	125919.565228761	135185.326133899
11.5	53174.9406378801	62355.8740219111	74204.8540874824	83519.9124652364	93869.6186062266	104219.324747217	113534.383124971	125383.363190542	134564.296574573
11.75	53301.092586849	62398.2854178575	74139.1893105672	83369.283762829	93624.5888141245	103879.89386542	113109.988317682	124850.892210391	133948.0850414
12	53422.4793270355	62437.0066652847	74071.2218658055	83217.44315848	93379.559040192	103541.674921904	112687.896214579	124322.111415099	133336.638753349
12.25	53539.1769881287	62472.0967185505	74000.9885409464	83064.4100136916	93134.5292841057	103204.64855452	112268.070027265	123796.961849661	132729.881580083
12.5	53651.2655665572	62503.6175263172	73928.5279920724	82910.2046731186	92889.4995451948	102868.794417271	111850.471098317	123275.381564073	132127.733523833
12.75	53758.8312589921	62531.6358384867	73853.8818709423	82754.8490576512	92644.4698219222	102534.090586193	111435.057772902	122757.303805358	131530.108384852
13	53861.9625858966	62556.2201947881	73777.0929300031	82598.3656471022	92399.4400697321	102200.514492362	111021.787209461	122242.659944676	130936.917553568
13.25	53960.7563655349	62577.4456057024	73698.2080344501	82440.7791802919	92154.4104434359	101868.04170658	110610.612852422	121731.375281169	130348.064521337
13.5	54055.3187340383	62595.3942127587	73617.2783582031	82282.116485999	91909.3807225928	101536.644959187	110201.483086983	121223.367232427	129763.442711147
13.75	54145.7733217054	62610.1617836787	73534.363709337	82122.4091026748	91664.3510360502	101206.292969426	109794.338362763	120718.540288422	129182.928750395
14	54232.2640123498	62621.8597340215	73449.5335996436	81961.6935995253	91419.3213514094	100876.949103294	109389.109103175	120216.782968797	128606.378690469
14.25	54314.9374256195	62630.6016047483	73362.8588784877	81800.0072639793	91174.2916663517	100548.576068724	108985.724454216	119717.981727955	128033.645907084
14.5	54393.9460848735	62636.5055087494	73274.4132483557	81637.3888853491	90929.2619791183	100221.135072888	108584.110709881	119222.018449487	127464.577873363
14.75	54469.4385069849	62639.686456362	73184.2684758036	81473.8762341553	90684.2322881663	99894.5883421772	108184.196100529	118728.778119971	126899.026069348
15	54541.5569526844	62640.2546068265	73092.4932896526	81309.5054687553	90439.2025637031	99568.8996586509	107785.911837754	118238.15052058	126336.848174722
15.25	54610.4427084636	62638.3193869188	72999.1559982956	81144.3125723854	90194.1728733693	99244.0331743532	107389.189748443	117750.02635982	125777.903038275
15.5	54676.2463011897	62633.997355129	72904.3293203857	80978.3357990747	89949.1431784945	98919.9505579143	106993.957036603	117264.28900186	125222.040055799
15.75	54739.1168842589	62627.4040101389	72808.0853195829	80811.6130661044	89704.113457254	98596.6138484037	106600.141594925	116780.822904369	124669.110030249
16	54799.1695569253	62618.6284879737	72710.4796235785	80644.1736586381	89459.0837263505	98273.993794063	106207.687829123	116299.538964727	124118.997895776
16.25	54856.4963323858	62607.7420432304	72611.5566957683	80476.0409782075	89214.0539860559	97952.0669939043	105816.551276343	115820.365928881	123571.611639726
16.5	54911.1728644054	62594.8032621304	72511.353094876	80307.2342666516	88969.0242378928	97630.814209134	105426.69538091	115343.245213655	123026.87561138
16.75	54963.2572463549	62579.8571324233	72409.8968944407	80137.7683004273	88723.9944842945	97310.2206681617	105038.092074148	114868.131836166	122484.731722234
17	55012.7911056702	62562.935890638	72307.2082110174	79967.6536679901	88478.9647273061	96990.275786622	104650.721243595	114394.993563974	121945.138348942
17.25	55059.7860885769	62544.048555806	72203.292672962	79796.893332121	88233.9349680614	96670.9766040017	104264.577263161	113923.821380317	121408.083847546
17.5	55104.2510081532	62523.2019529395	72098.1545394734	79625.4895349087	87988.9052074932	96352.3208800777	103879.655875513	113454.608462047	120873.559406833
17.75	55146.3008383452	62500.4851173941	71991.8493693725	79453.471517645	87743.8754462079	96034.2793747708	103495.901523043	112987.265775022	120341.450054071
18	55187.7233355576	62477.2824784609	71885.2410550148	79281.2939533336	87498.8456847995	95716.3974162655	103112.450314584	112520.408891138	119809.968034041
