age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
6	74949.5841851071	84204.1630690614	96148.1905578094	105537.970328514	115970.697361927	126403.424395339	135793.204166044	147737.231654792	156991.810538746
6.25	74759.6758318714	83970.2970975256	95857.5925611972	105202.772533223	115585.94595231	125969.119371397	135314.299343423	147201.594807094	156412.216072748
6.5	74569.7674786356	83736.4311259898	95566.9945645851	104867.574737932	115201.194542693	125534.814347454	134835.394520801	146665.957959396	155832.621606751
6.75	74379.5792792141	83502.3484430445	95276.2613387695	104532.305770555	114816.443133098	125100.580495641	134356.624927427	146130.537823152	155253.306986982
7	74188.4773571446	83267.55817811	94985.0865776131	104196.804420021	114431.691723608	124666.579027194	133878.296869602	145595.825269105	154674.90609007
7.25	73996.4487456419	83032.050289812	94693.4640152986	103861.067388662	114046.940314382	124232.813240102	133400.416613465	145061.830338952	154097.431883122
7.5	73803.499864555	82795.8297497336	94401.3967542664	103525.096309494	113662.188905801	123799.281502107	132922.981057335	144528.548061868	153520.877947047
7.75	73609.6360476842	82558.9006884388	94108.8873721746	103188.892539361	113277.437498294	123365.982457227	132445.987624414	143995.97430815	152945.238948904
8	73414.8626442399	82321.2672483892	93815.9384540462	102852.457438908	112892.686092134	122932.91474536	131969.433730222	143464.104935879	152370.509540028
8.25	73219.1849226541	82082.9335094697	93522.5525458188	102515.792348161	112507.934687493	122500.077026824	131493.316829167	142932.935865516	151796.684452331
8.5	73022.6082817093	81843.9036524269	93228.7322562324	102178.898640031	112123.183284183	122067.467928335	131017.634312134	142402.462915939	151223.758286657
8.75	72825.1383047498	81604.1820008215	92934.4802829619	101841.777734003	111738.431881532	121635.086029061	130542.383480102	141872.681762243	150651.725458314
9	72626.7808726792	81363.7731086561	92639.7994675021	101504.431125288	111353.680478928	121202.929832567	130067.561490354	141343.5878492	150080.580085177
9.25	72427.5429352512	81122.6823577268	92344.6931680307	101166.860581199	110968.929076118	120770.997571038	129593.164984206	140815.17579451	149510.315216986
9.5	72227.4316100112	80880.915259808	92049.164823903	100829.067911862	110584.177673037	120339.287434212	129119.190522171	140287.440086266	148940.923736063
9.75	72026.4539077847	80638.4772442614	91753.2178234314	100491.05490102	110199.426270637	119907.797640253	128645.634717842	139760.375297012	148372.398633489
10	71824.6167343575	80395.3736592338	91456.855504463	100152.823306128	109814.674870438	119476.526434748	128172.494236413	139233.976081642	147804.733006518
10.25	71621.9264018765	80151.6093925478	91160.0809165762	99814.3747316298	109429.923471238	119045.472210847	127699.766025901	138708.237549929	147237.9205406
10.5	71418.3884319888	79907.1887220348	90862.8967323251	99475.710588094	109045.172081447	118614.633574801	127227.44743057	138183.15544086	146671.955730906
