age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	83.4352306471827	106.167037576229	135.504874579293	158.568772302831	184.194437137582	209.820101972334	232.883999695871	262.221836698935	284.953643627982
5.25	87.0735585656015	109.807964577998	139.149155977124	162.215690754229	187.844285546946	213.472880339664	236.539415116768	265.880606515895	288.615012528291
5.5	90.7118864840203	113.448891579766	142.793437374956	165.862609205627	191.494133956311	217.125658706994	240.194830537665	269.539376332855	292.276381428601
5.75	94.3502144024391	117.089818581534	146.437718772787	169.509527657026	195.143982365675	220.778437074324	243.850245958563	273.198146149815	295.93775032891
6	97.9885423208578	120.730745583302	150.082000170618	173.156446108424	198.793830775039	224.431215441654	247.50566137946	276.856915966775	299.59911922922
6.25	101.626870063707	124.371672409563	153.726281393022	176.803364384459	202.44367900911	228.083993633761	251.161076625198	280.515685608657	303.260487954513
6.5	105.265138359359	128.012539809769	157.370503216657	180.450223283174	206.093467889694	231.736712496215	254.816432562732	284.174395969619	306.921797420029
6.75	108.903143576936	131.653144225493	161.014462176602	184.09681941316	209.742994107058	235.389168800956	258.471526037515	287.832843988623	310.58284463718
7	112.541278979074	135.293878873776	164.658551431053	187.743545886353	213.392650721737	239.041755557122	262.126750012421	291.491422569699	314.244022464401
7.25	116.181248876577	138.93644783541	168.304474763947	191.392106253315	217.044141025	242.696175796686	265.783807286053	295.15183421459	317.907033173423
7.5	119.824891258007	142.582688854708	171.954069604366	195.04433769531	220.699301922768	246.354266150225	269.44453424117	298.815914990827	321.573712587528
7.75	123.474536901459	146.234932251946	175.609665681721	198.702569477245	224.360462163845	250.018354850446	273.111258645969	302.485992075745	325.246387426231
8	127.132363994324	149.895355709489	179.273440026591	202.368978117294	228.029797697091	253.690617276889	276.786155367592	306.164239684694	328.927231399859
8.25	130.79985327537	153.565439487308	182.946872281004	206.045042771692	231.708787138988	257.372531506284	280.470701996972	309.852134790668	332.617721002606
8.5	134.477535331206	157.245713738324	186.630492038158	209.731292593613	235.39795915381	261.064625714006	284.165426269461	313.550204569296	336.318382976413
8.75	138.165080173116	160.935848183667	190.323968644715	213.427396635327	239.096982466739	264.766568298151	287.869996288763	317.258116749811	340.028884760362
9	141.86025415003	164.633609200146	194.02506851346	217.131121337907	242.803623550274	268.476125762641	291.582178587087	320.973637900402	343.746992950517
9.25	145.560334426549	168.336274007948	197.731068936322	220.839744049678	246.515159815404	272.19057558113	295.299250694486	324.69404562286	347.469985204259
9.5	149.261148743653	172.039670311996	201.437797571685	224.549092392439	250.227418843278	275.905745294116	299.01704011487	328.41516737456	351.193688942902
9.75	152.957891355181	175.738992304817	205.14044853295	228.254360417385	253.935594615976	279.616828814566	302.730740699001	332.132196927135	354.91329787677
10	156.644482859597	179.428160799454	208.832942910096	231.94946943221	257.633608683087	283.317747933964	306.434274456077	335.83905656672	358.622734506577
10.25	160.313536388022	183.099789423935	212.507894972465	235.62703421042	261.314076378284	287.001118546147	310.120257784103	339.528363332632	362.314616368545
10.5	163.957009176593	186.745835985588	216.157263264563	239.279013876058	264.968957469513	290.658901062968	313.780651674463	343.192078953438	365.980905762433
10.75	167.565259550416	190.35665954514	219.771407796517	242.895769185617	268.588613542536	294.281457899456	317.405819288556	346.820567539933	369.611967534657
11	171.128516927959	193.922490294119	223.340559757576	246.467532112703	272.163277442437	297.859022772171	320.985995127298	350.404064590755	373.198037956915
11.25	174.638102820998	197.434650594762	226.856042607583	249.985626980041	275.684274450665	301.382921921289	324.512506293747	353.933898306568	376.730446080331
11.5	178.085898846369	200.885022953006	230.309739999958	253.441938343143	279.143490125022	304.845041906901	327.977240250087	357.401957297039	380.201081403676
11.75	181.465218780952	204.266922091266	233.69496787743	256.829783104087	282.534242433491	308.238701762896	331.373516989553	360.801562775717	383.603266086031
