age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	66.8608784689151	94.2546993003969	129.609365691576	157.403385053358	188.284558440142	219.165731826926	246.959751188707	282.314417579887	309.708238411369
5.25	70.9010741936796	98.0284820855152	133.039313979805	160.563028353892	191.143873274913	221.724718195934	249.248432570021	284.259264464311	311.386672356146
5.5	74.9412699184442	101.802264870633	136.469262268033	163.722671654426	194.003188109684	224.283704564942	251.537113951335	286.204111348735	313.065106300924
5.75	78.9814656432088	105.576047655752	139.899210556261	166.88231495496	196.862502944455	226.84269093395	253.825795332649	288.148958233158	314.743540245701
6	83.0216613679734	109.34983044087	143.32915884449	170.041958255494	199.721817779226	229.401677302959	256.114476713963	290.093805117582	316.421974190479
6.25	87.0618570927379	113.123613225988	146.759107132718	173.201601556027	202.581132613997	231.960663671967	258.403158095276	292.038652002006	318.100408135256
6.5	91.1020528175025	116.897396011107	150.189055420946	176.361244856561	205.440447448768	234.519650040975	260.69183947659	293.98349888643	319.778842080034
6.75	95.1422478878434	120.671178289443	153.619003392939	179.520887990658	208.299762283539	237.07863657642	262.980521174139	295.928346277636	321.457276679235
7	99.1804884051331	124.44344697218	157.048006872262	182.68003403152	211.15907711833	239.63812020514	265.270147364398	297.87470726448	323.137665831527
7.25	103.214795745587	128.212669823479	160.475109734633	185.838179764129	214.018391953193	242.198604142258	267.561674171754	299.824114082908	324.8219881608
7.5	107.250926835356	131.983304976679	163.90309388185	188.996789323299	216.877706788159	244.758624253018	269.852319694468	301.772108599639	326.504486740962
7.75	111.294135443801	135.759420923147	167.334498076796	192.157198878102	219.737021623259	247.316844368416	272.139545169723	303.714622323371	328.179907802718
8	115.349133449232	139.544666516673	170.771599226002	195.320606780736	222.596336458525	249.872066136315	274.421073691049	305.648006400378	329.843539467819
8.25	119.419720932609	143.34198451997	174.216233630961	198.487979489817	225.455651293987	252.423323098157	276.695068957013	307.569318068003	331.491581655364
8.5	123.509269172762	147.153985633641	177.670030384423	201.660174408519	228.314966129672	254.969757850825	278.95990187492	309.475946625703	333.120663086581
8.75	127.620917663348	150.983101065067	181.134506574303	204.837989991069	231.174280965609	257.51057194015	281.214055356916	311.365460866151	334.727644267871
9	131.75748229665	154.831511426429	184.611022915612	208.022142391519	234.033595801827	260.045049212135	283.456168688042	313.235680177225	336.309709307004
9.25	135.916612427075	158.697396390144	188.098443513086	211.212033780072	236.892910638327	262.573787496582	285.687377763568	315.08842488651	337.869208849579
9.5	140.092185898634	162.576014990808	191.59380997604	214.406107134555	239.752225475093	265.098343815632	287.910640974146	316.928435959378	339.412265051552
9.75	144.27779733656	166.462406939887	195.094027054846	217.602733402952	242.611540312106	267.620347221259	290.129053569366	318.760673684324	340.945283287652
10	148.467550562001	170.352006267486	198.596245557057	220.800413034903	245.470855149346	270.141297263789	292.345464741635	320.589704031205	342.474159736691
10.25	152.652983323219	174.238259850359	202.096376294685	223.996993861522	248.330169986783	272.663346112044	294.563963678881	322.422080123207	344.007356650347
10.5	156.817937673555	178.108655059582	205.586611312651	227.188366500207	251.189484824355	275.190603148503	296.792358336059	324.270314589128	345.561031975154
10.75	160.94460444525	181.949400569292	209.05834474136	230.370001620235	254.048799661987	277.727597703739	299.039254582614	326.148198754681	347.152994878724
