age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	100.809599312009	119.111147287041	142.731259540816	161.300176301198	181.931590945408	202.563005589618	221.13192235	244.752034603776	263.053582578807
5.25	104.961855863265	123.334055657484	147.045351668088	165.685952405763	186.397013153079	207.108073900396	225.748674638071	249.459970648675	267.832170442894
5.5	109.114112414521	127.556964027928	151.359443795361	170.071728510328	190.862435360751	211.653142211173	230.365426926141	254.167906693574	272.610758306981
5.75	113.266368965777	131.779872398371	155.673535922633	174.457504614893	195.327857568422	216.198210521951	234.982179214211	258.875842738473	277.389346171067
6	117.418625517033	136.002780768815	159.987628049905	178.843280719458	199.793279776093	220.743278832729	239.598931502282	263.583778783372	282.167934035154
6.25	121.570880546823	140.225687727335	164.301718906629	183.229055664617	204.258700947846	225.288346231075	244.215682989063	268.291714168358	286.946521348869
6.5	125.722620414635	144.448116614354	168.615379561098	187.614438039857	208.723771361938	229.833104684018	248.832163162778	272.999426109521	291.724922309241
6.75	129.872077737675	148.668427294581	172.927134104575	191.998081042911	213.187287662761	234.376494282611	253.447441220947	277.706148030941	296.502497587848
7	134.017355886433	152.884844606551	177.235364143151	196.378489522452	217.647891630447	238.917293738442	258.060419117743	282.410938654343	301.278427374461
7.25	138.156868538511	157.095802112941	181.538528903326	200.754142880558	222.104085083604	243.45402728665	262.669641263882	287.112368054267	306.051301628697
7.5	142.289130908728	161.299801674148	185.835113010183	205.123512192793	226.5543240433	247.985135893807	267.273535076418	291.808846412453	310.819517177873
7.75	146.412658269912	165.495345189588	190.123601103313	209.485068529966	230.997064504438	252.509060478909	271.870527905562	296.498783819287	315.581470738964
8	150.525965894891	169.680934558678	194.402477822311	213.837282962884	235.430762461918	257.024241960952	276.459047101525	301.180590365158	320.335559028945
8.25	154.62720789977	173.854718270124	198.66988439312	218.178291007882	239.853547088287	261.528803168691	281.037209783453	305.852375906449	325.079886276803
