age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	613.057748170402	647.269713202984	691.423926583966	726.135696963489	764.702993967183	803.270290970878	837.982061350401	882.136274731383	916.348239763965
5.25	610.58774634426	644.929751790766	689.251796285192	724.095506849498	762.809398977486	801.523291105474	836.367001669779	880.689046164206	915.031051610712
5.5	608.117744518118	642.589790378547	687.079665986418	722.055316735506	760.915803987788	799.776291240069	834.751941989158	879.241817597029	913.713863457458
5.75	605.647742691976	640.249828966329	684.907535687644	720.015126621515	759.02220899809	798.029291374665	833.136882308536	877.794589029851	912.396675304204
6	603.177740865834	637.909867554111	682.73540538887	717.974936507524	757.128614008392	796.282291509261	831.521822627915	876.347360462674	911.079487150951
6.25	600.707737867263	635.56990523397	680.563274523547	715.934746095354	755.235019018694	794.535291942035	829.906763513842	874.900132803419	909.762300170125
6.5	598.23733788932	633.229635495079	678.390951827071	713.894454721051	753.341424028943	792.788393336836	828.291896230816	873.453212562808	908.445510168566
6.75	595.765179558023	630.888004096545	676.21777944677	711.853716151966	751.447829038956	791.041941925947	826.677878631143	872.007653981368	907.13047851989
7	593.290584225602	628.544485497039	674.04342944161	709.812357790247	749.554234048438	789.296110306629	825.065038655265	870.563982599837	905.817883871274
7.25	590.813825988211	626.199291955055	671.86803426195	707.770449345203	747.660639056834	787.550828768464	823.453243851717	869.121986158612	904.507452125456
7.5	588.334898721003	623.852418727401	669.69159094777	705.727989258654	745.767044063511	785.806098868367	821.842497179252	867.681669399621	903.199189406018
7.75	585.853796275283	621.503861052361	667.514096527402	703.684975966176	743.873449067592	784.061922169009	820.232801607783	866.243037082823	901.893101859902
8	583.370513653083	619.153615059326	665.335548585211	701.641408195957	741.979854068142	782.318299940327	818.624159551074	864.806093076958	900.589194483201
8.25	580.88504480191	616.801676061069	663.155944195993	699.597284408009	740.086259064242	780.575233720475	817.016573932491	863.370842067415	899.287473326574
8.5	578.397383269248	614.448039060596	660.975280241262	697.55260296063	738.192664055008	778.832725149385	815.410047868753	861.93728904942	897.987944840767
8.75	575.907522488543	612.092698972619	658.793553547466	695.507362183175	736.299069039632	777.090775896089	813.804584531797	860.505439106644	896.69061559072
9	573.415455708255	609.735650568638	656.610760851749	693.461560358075	734.405474017475	775.349387676875	812.200187183201	859.075297466312	895.395492326695
9.25	570.921175991943	607.376888476968	654.42689880191	691.415195720749	732.511878987911	773.608562255073	810.596859173913	857.646869498854	894.102581983879
9.5	568.424675452738	605.016406589905	652.24196358645	689.368266264854	730.618283950258	771.868301635663	808.994604314066	856.220161310611	892.811892447778
9.75	565.925945755206	602.65419845237	650.055951177091	687.320769869934	728.724688903794	770.128607937654	807.393426630498	854.795179355218	891.523432052383
10	563.424977441391	600.290256739952	647.868857002988	685.272704129862	726.831093847544	768.389483565227	805.793330692101	853.371930955137	890.237210253698
10.25	560.921759880534	597.924573219969	645.680675926436	683.224066340041	724.937498780275	766.650931220508	804.194321634113	851.950424340581	888.953237680016
10.5	558.416281445619	595.55713888824	643.491402328307	681.174853542496	723.043903700746	764.912953858995	802.596405073184	850.530668513251	887.671525955872
10.75	555.908528060546	593.187942844037	641.301029406026	679.125062156414	721.150308607751	763.175555059088	800.999587809476	849.112674371466	886.392089154956
11	553.398485143724	590.81697379519	639.109550112779	677.074688472458	719.256713500137	761.438738527815	799.403876887494	847.696453205084	885.114941856549
11.25	550.886138047297	588.444220398291	636.916957369901	675.023728764685	717.363118377076	759.702507989467	797.809279384251	846.282016355861	883.840098706856
11.5	548.371471987583	586.069671204788	634.723244033183	672.972179272738	715.469523237918	757.966867203099	796.215802442653	844.869375271048	882.567574488253
11.75	545.85447064652	583.693313578018	632.528402217203	670.920035846377	713.575928082483	756.231820318589	794.623453947763	843.458542586948	881.297385518446
12	543.335115838835	581.315133435489	630.332423134547	668.867293860906	711.682332911153	754.4973719614	793.03224268776	842.049532386817	880.029549983471
12.25	540.813389810117	578.935117028383	628.135298206047	666.813948801271	709.788737724401	752.763526647531	791.442177242755	840.642358420419	878.764085638685
12.5	538.289277000624	576.553252307463	625.937019913147	664.759996710702	707.895142522861	751.030288335019	789.853265132575	839.237032738258	877.501008045097
12.75	535.762762511722	574.169527735454	623.737581056768	662.705433800589	706.001547307199	749.297660813808	788.26551355763	837.833566878943	876.240332102675
13	533.233834404585	571.783934067138	621.536975868083	660.650257035064	704.107952078064	747.565647121063	786.678928288044	836.431970088989	874.982069751542
13.25	530.70248246632	569.39646339385	619.335199412279	658.594463817201	702.214356836094	745.834249854987	785.093514259908	835.032250278337	873.726231205867
13.5	528.16869771224	567.007108758055	617.132247348079	656.538051862492	700.320761582001	744.10347130151	783.509275815923	833.634414405947	872.472825451762
13.75	525.63247298093	564.615864614173	614.928116215311	654.481019350206	698.427166316589	742.373313282973	781.926216417868	832.238468019006	871.221859652249
14	523.093801102481	562.222725410032	612.722802549667	652.423364457406	696.533571040605	740.643777623804	780.344339531543	830.844416671178	869.973340978729
14.25	520.552674278356	559.827685106588	610.516302582918	650.365085201061	694.639975754502	738.914866307943	778.763648926086	829.452266402416	868.727277230648
14.5	518.009084430914	557.430737448648	608.308612411934	648.306179527112	692.746380458674	737.186581390235	777.184148505413	828.0620234687	867.483676486433
14.75	515.463022073782	555.031875090134	606.099727452921	646.246645023328	690.852785153654	735.45892528398	775.605842854387	826.673695217174	866.242548233526
15	512.91447672533	552.631089914272	603.8896426412	644.186479024434	688.959189840079	733.731900655724	774.028737038958	825.287289765887	865.003902954828
15.25	510.363438582848	550.228374330069	601.678353240242	642.12567903793	687.065594518728	732.005509999526	772.452835797214	823.902814707387	863.767750454608
