age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	578.301475356353	616.232763485406	665.187162575629	703.672591941679	746.432698051127	789.192804160575	827.678233526626	876.632632616848	914.563920745902
5.25	576.813732352676	614.574226415109	663.308197428352	701.620337583534	744.187906798723	786.755476013912	825.067616169095	873.801587182338	911.562081244771
5.5	575.325989349	612.915689344811	661.429232281075	699.56808322539	741.94311554632	784.31814786725	822.456998811565	870.970541747829	908.56024174364
5.75	573.838246345324	611.257152274513	659.550267133798	697.515828867244	739.698324293916	781.880819720588	819.846381454034	868.139496313319	905.558402242509
6	572.350503341648	609.598615204216	657.671301986522	695.463574509099	737.453533041513	779.443491573926	817.235764096504	865.30845087881	902.556562741378
6.25	570.862760337971	607.940078133918	655.792336839245	693.411320150954	735.208741789109	777.006163427264	814.625146738973	862.4774054443	899.554723240247
6.5	569.375017334295	606.28154106362	653.913371691968	691.359065792809	732.963950536705	774.568835280601	812.014529381443	859.64636000979	896.552883739116
6.75	567.887273957871	604.623003704669	652.034406364569	689.306811339865	730.719159284302	772.131507228739	809.403912204034	856.815314863935	893.551044610733
7	566.398407504518	602.963596640847	650.15489833614	687.254271259481	728.474368031882	769.694464804283	806.793837727624	853.985139422917	890.550328559245
7.25	564.905951508506	601.301409854053	648.273655743977	685.200818265772	726.229576779394	767.258335293016	804.185497814811	851.157743704735	887.553202050282
7.5	563.410022295428	599.636533426208	646.390734799723	683.146481943311	723.984785526804	764.823089110297	801.578836253885	848.3330376274	884.55954875818
7.75	561.9106091984	597.968959096925	644.506130348833	681.091259579207	721.739994274075	762.388728968943	798.973858199318	845.511029451226	881.56937934975
8	560.407743806631	596.298711328713	642.619857656049	679.035159207391	719.49520302118	759.955246834969	796.370548386311	842.691694713647	878.582662235729
8.25	558.901436101212	594.625797850876	640.731921544496	676.978183366299	717.250411768104	757.522640169908	793.768901991711	839.875025685332	875.599387434995
8.5	557.391702500955	592.950231378052	638.842329948184	674.920336231657	715.005620514842	755.090904798028	791.1689110815	837.061009651632	872.61953852873
