age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	665.228812096265	693.706808921746	730.460720814785	759.354754984803	791.458124685801	823.561494386799	852.455528556817	889.209440449855	917.687437275337
5.25	663.234052064201	691.778989571409	728.619295600008	757.581248393552	789.760080616253	821.938912838954	850.900865632498	887.741171661097	916.286109168305
5.5	661.239292032137	689.851170221071	726.777870385231	755.807741802301	788.062036546705	820.31633129111	849.34620270818	886.27290287234	914.884781061274
5.75	659.244532000073	687.923350870734	724.936445170454	754.034235211051	786.363992477158	818.693749743265	847.791539783862	884.804634083582	913.483452954243
6	657.249771968009	685.995531520396	723.095019955677	752.2607286198	784.66594840761	817.07116819542	846.236876859543	883.336365294824	912.082124847211
6.25	655.255009685286	684.06771018496	721.253593098534	750.487220655622	782.967903264502	815.448585873382	844.68221343047	881.868096344044	910.680796843718
6.5	653.259485338945	682.139216703248	719.411610143101	748.713247824108	781.269494618271	813.825741412433	843.12737909344	880.399772533293	909.279503897597
6.75	651.260584492778	680.207745121385	717.567163265061	746.937215289913	779.569475387042	812.201735484172	841.571787509024	878.9312056527	907.878366281306
7	649.25524387236	678.270621956201	715.718082048706	745.15734812308	777.866510054242	810.575671985404	840.014938059777	877.462398152282	906.477776236123
7.25	647.239505800877	676.324533776018	713.861884529861	743.371818016394	776.159496572997	808.9471751296	838.457108616133	875.994459369976	905.079487345117
7.5	645.209119939424	674.365957748251	711.99598680094	741.578779196791	774.447409291281	807.316039385771	836.898831781622	874.52886083431	903.685698643137
7.75	643.159835781892	672.391370920679	710.117804896116	739.776385881224	772.729222600712	805.6820593202	835.340640305308	873.067074280745	902.298609419532
8	641.087402822171	670.397250341081	708.224754849562	737.962792286649	771.00391089291	804.045029499171	833.783066936258	871.61057144474	900.92041896365
8.25	638.98672429584	668.379401282868	706.31380611134	736.135883078902	769.270375704881	802.40486833086	832.226945298422	870.161350126894	899.554027113922
8.5	636.850384020777	666.331789001079	704.380706829439	734.29280802466	767.527324103426	800.761840182191	830.673941377413	868.722859205772	898.204264186075
8.75	634.671302875644	664.248663740628	702.421422938617	732.430881845752	765.773569410728	799.116256975704	829.125715882838	867.298475080828	896.875835945812
9	632.440665264788	662.122924948374	700.431067332205	730.546957533214	764.007897992712	797.468838452209	827.584728653219	865.892871037049	895.575130720635
9.25	630.149378639844	659.947256131955	698.404615708759	728.63781278815	762.229089706137	795.820366624124	826.053563703515	864.510923280319	894.30880077243
9.5	627.78793445258	657.714024768097	696.336856756598	726.700139730838	760.435951522377	794.171763313917	824.535046288157	863.157878276657	893.083968592174
9.75	625.3475283763	655.416122269118	694.222870421269	724.730738819024	758.627195513148	792.523652207272	823.031520605027	861.838268757178	891.906862649996
10	622.820870006892	653.047572010651	692.058375652193	722.72666197499	756.80135463035	790.876047285709	821.544333608506	860.555137250048	890.781839253807
10.25	620.202984968016	650.604131587977	689.840074732601	720.685354147019	754.956698977059	789.228043807098	820.073323221516	859.309266366141	889.710412986101
10.5	617.488689245081	648.081397438393	687.564571356735	718.604210882926	753.091503907901	787.578796932875	818.618436459067	858.101610377408	888.694318570721
10.75	614.672557694063	645.474780627373	685.228355808181	716.480570892046	751.204050794811	785.927530697576	817.179745781441	856.933320962249	887.735543895559
11	611.749506097873	642.780009299879	682.828204672339	714.312034989694	749.292856232382	784.27367747507	815.757507792424	855.805703164884	886.83620636689
11.25	608.716653032635	639.994763694686	680.362523073924	712.097578168609	747.357528378101	782.617478587594	814.352533682278	854.720293061516	885.998403723567
11.5	605.571633909304	637.117195310928	677.830128579264	709.836541622873	745.3979902145	780.959438806127	812.965851849735	853.678785118072	885.224346519696
11.75	602.311906050831	634.145317720023	675.229752658137	707.528221197009	743.414164647418	779.300108097827	811.598576636698	852.683011574813	884.516423244005
12	598.934747218334	631.077006303802	672.560041986054	705.171869917929	741.405978404195	777.640086890461	810.251914822337	851.734950504589	883.877209590056
12.25	595.43783511903	627.910516995607	669.819998759242	702.767076655339	739.373672191366	775.980267727393	808.92734562349	850.836827387125	883.309509263702
12.5	591.819715816413	624.644904014153	667.009333025277	700.314067035715	737.318044480995	774.322021926276	807.626755936714	849.991184947838	882.816373145577
12.75	588.078864385962	621.279179178964	664.127749329492	697.813090189775	735.2399494777	772.666808765626	806.352149625908	849.200719776436	882.401034569439
13	584.213569324907	617.812209810614	661.174862026117	695.264347751164	733.140241325197	771.01613489923	805.105620624276	848.468272839779	882.066913325486
13.25	580.221913357912	614.242697603467	658.150171656359	692.667968273371	731.019746344211	769.37152441505	803.889321032062	847.796795084955	881.817579330509
13.5	576.10142379709	610.568823821677	655.052703479684	690.023640521541	728.878890502869	767.734140484196	802.705077526053	847.18895718406	881.656357208647
13.75	571.849170050495	606.788348757971	651.881109449646	687.330717427089	726.717805569879	766.10489371267	801.554501690113	846.647262381787	881.586441089263
14	567.462011342608	602.898868442977	648.633936524303	684.588493518282	724.536616678289	764.484739838295	800.439296832274	846.1743649136	881.611222013969
14.25	562.936593574872	598.897813687716	645.309628524741	681.796208992589	722.335448857544	762.874688722498	799.361269190347	845.773084027372	881.734304140216
14.5	558.269765693994	594.782807083014	641.906806512572	678.953269857973	720.11458024799	761.275890638008	798.322353983409	845.446353412966	881.959394801987
14.75	553.460143027971	590.553000079185	638.425313861506	676.060063442711	717.875002550924	759.689941659137	797.324691240343	845.197005022664	882.289862073877
15	548.506788410613	586.207937562617	634.865317598532	673.117245868719	715.617915308231	758.118584747742	796.370513017929	845.027893053844	882.729042205848
15.25	543.408657192827	581.747081188424	631.226932818694	670.125445931886	713.344518074734	756.563590217581	795.462103330773	844.941954961043	883.28037895664
15.5	538.16462565233	577.169832023841	627.510237886433	667.085274452862	711.056013268589	755.026752084317	794.601788650746	844.942194513338	883.947400884849
15.75	532.775580250394	572.477206027551	623.716415890739	663.998045909885	708.753861351031	753.509676792176	793.791306811322	845.03051667451	884.732142451668
16	527.246271394213	567.673315265657	619.848755050015	660.866400854693	706.439983269105	752.013565683516	793.031211488194	845.206651272552	885.633695143996
16.25	521.582167865728	562.762838856518	615.910915337004	657.693198060187	704.116347604525	750.539497148864	792.321779872047	845.469856352532	886.650527343323
16.5	515.789125879348	557.750755524593	611.906742981185	654.481393446575	701.784921079259	749.088448711944	791.663099177334	845.819086633926	887.780716279171
16.75	509.873398560053	552.642344859302	607.840261119835	651.234022393115	699.447641601694	747.661260810274	791.055022083554	846.252938344087	889.021884643336
