age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	1141.48272105468	1198.83264885369	1262.8247117954	1307.27776347181	1352.04916836173	1392.91994316198	1426.96468504836	1467.1489239463	1496.23856183053
5.25	1143.43852804344	1201.51638399565	1266.5601222468	1311.87244223035	1357.60365624783	1399.42579915129	1434.31348001917	1475.54748994515	1505.43185544163
5.5	1145.47979363495	1204.23805698875	1270.30236278718	1316.46541500287	1363.15814419152	1405.94182028514	1441.68689969719	1483.99445220478	1514.69510762955
5.75	1147.60803462757	1206.99908446807	1274.05209859267	1321.0568756515	1368.71263219638	1412.46820162871	1449.08563551522	1492.49153114732	1524.03110736037
6	1149.82443670453	1209.80076176384	1277.8099755599	1325.64701696254	1374.26712026014	1419.00514306933	1456.51040216697	1501.04052067197	1533.44277886314
6.25	1152.12982936348	1212.64424080925	1281.57661188474	1330.23603180659	1379.82161799567	1425.55286619915	1463.96196109286	1509.64332139353	1542.93322413087
6.5	1154.51285461103	1215.52333021291	1285.3500662808	1334.82455029056	1385.37937293442	1432.11723615734	1471.4486362252	1518.31158828735	1552.51685139097
6.75	1156.93383314434	1218.41444065054	1289.12220443244	1339.41423955363	1390.95155345545	1438.71802357355	1478.99745699448	1527.08116681444	1562.23612855542
7	1159.37239750494	1221.30437811585	1292.88672025644	1344.00334815856	1396.54112816553	1445.3628336235	1486.62025392705	1535.96942123815	1572.11285958654
7.25	1161.83230530748	1224.1929323816	1296.63898895041	1348.5845724398	1402.13869677635	1452.04106834639	1494.3060670772	1544.96582093196	1582.13746422726
7.5	1164.30854586027	1227.07439903522	1300.37212390604	1353.15037428997	1407.73653134265	1458.74546293883	1502.04862176104	1554.0661100199	1592.30780116029
7.75	1166.79276331984	1229.93960992507	1304.0755711404	1357.68937368065	1413.32288442468	1465.46459650489	1509.83741294563	1563.26178612637	1602.61753491004
8	1169.275829749	1232.77862291419	1307.73793460307	1362.18926849183	1418.88500441295	1472.18599672258	1517.66088823642	1572.54338398005	1613.05950044532
8.25	1171.74889463997	1235.5818534877	1311.34820209153	1366.6381246536	1424.41048927221	1478.89755279599	1525.50791362362	1581.90201175036	1623.62729935336
8.5	1174.20371717212	1238.34041739719	1314.89610371011	1371.02474507584	1429.88766538341	1485.58790494949	1533.36817591478	1591.32977830597	1634.31575520592
8.75	1176.63284139909	1241.04632028067	1318.37232170478	1375.33889285596	1435.3058233259	1492.24669318299	1541.23244661038	1600.82008551234	1645.12123792346
9	1179.03073826808	1243.6936638162	1321.76977820485	1379.57263853112	1440.65662683652	1498.86602643474	1549.09410757529	1610.36923435687	1656.0433425404
9.25	1181.39172808307	1246.27645513994	1325.08131426575	1383.71794289021	1445.93159356456	1505.437868311	1556.94646032714	1619.9736546122	1667.08207451903
9.5	1183.70809360953	1248.78661551577	1328.29757435109	1387.76444712055	1451.11978273494	1511.95162728862	1564.78023665464	1629.62733187914	1678.23523051468
9.75	1185.9710527254	1251.21500600596	1331.40809700139	1391.7006084872	1456.20897471375	1518.39537755685	1572.58485948553	1639.32313190829	1689.49978804632
10	1188.16772877193	1253.54823079943	1334.39791357901	1395.51014180521	1461.18193992503	1524.75196053864	1580.34440304267	1649.04860273748	1700.86760928185
10.25	1190.28101876187	1255.76849787516	1337.24739538762	1399.17184942145	1466.01624273587	1530.9987593399	1588.03734421135	1658.78571297497	1712.3251912048
10.5	1192.29287832427	1257.85708500644	1339.93594183936	1402.66347176235	1470.68825945316	1537.11187506613	1595.6408807411	1668.51536350029	1723.85834897234
10.75	1194.18352422483	1259.79349946403	1342.44108869925	1405.96075313383	1475.17219272094	1543.06508867942	1603.12985187637	1678.21627894956	1735.45111621084
11	1195.93329461041	1261.55744086709	1344.74060204262	1409.03963306505	1479.442362917	1548.83224742451	1610.47921397119	1687.86761951297	1747.08849632514
11.25	1197.52668659918	1263.13305986745	1346.81702422718	1411.88101463279	1483.47821681497	1554.39250992219	1617.66950354932	1697.45474868348	1758.76250728532
11.5	1198.95036194362	1264.50685259845	1348.65544001575	1414.46843600312	1487.26189625384	1559.72781666011	1624.68423229397	1706.96657290151	1770.4695334341
11.75	1200.19824740715	1265.6730381831	1350.24922246784	1416.79410953832	1490.78460263679	1564.82958216578	1631.51688622034	1716.40297527779	1782.21815911573
12	1201.27315622457	1266.63526143666	1351.6018633553	1418.86086595032	1494.04867657706	1569.70092213906	1638.17330688136	1725.7774540914	1794.03208954383
12.25	1202.1796182946	1267.39902201438	1352.71890357117	1420.67370411118	1497.05873267024	1574.34738454093	1644.66208180326	1735.10714966956	1805.93999442193
12.5	1202.92584991251	1267.97374435929	1353.61014463144	1422.24212126596	1499.82412584898	1578.77956041506	1650.99730757369	1744.41587832792	1817.97886714702
12.75	1203.52091113377	1268.36977259776	1354.28644209892	1423.57675315562	1502.35542332053	1583.00939429438	1657.1947779469	1753.7302526443	1830.19023017972
13	1203.97445237411	1268.5980962599	1354.75941036918	1424.68906630977	1504.66408413101	1587.04985708667	1663.27167577374	1763.07949936139	1842.62021688822
13.25	1204.29648244324	1268.6700999284	1355.04115352199	1425.59107774676	1506.76216739148	1590.91464904352	1669.24629925984	1772.49533481844	1855.31976550227
13.5	1204.49778556081	1268.59799642625	1355.14472521916	1426.29584073146	1508.66284911828	1594.61875590202	1675.13868650917	1782.01281981139	1868.34590323452
13.75	1204.5902663453	1268.39518360728	1355.08450683619	1426.81784533738	1510.38085116476	1598.17891621864	1680.97115593195	1791.67116474654	1881.76306782113
14	1204.58506782617	1268.07425732902	1354.8740824411	1427.17078406964	1511.93008201264	1601.61114061017	1686.76575309885	1801.51127968699	1895.64111685546
14.25	1204.48989746924	1267.6441935197	1354.52322368682	1427.36437340899	1513.32026506575	1604.92714088043	1692.54053404908	1811.57209320787	1910.05213828228
14.5	1204.31167853962	1267.11313799497	1354.04086569108	1427.4074832068	1514.56024348291	1608.13782287393	1698.31328284752	1821.8948471145	1925.07579804218
14.75	1204.05852443919	1266.49048098731	1353.43732119194	1427.31047108528	1515.66045724319	1611.25592465524	1704.10436293148	1832.52657868396	1940.80408708833
15	1203.73938405684	1265.78647857368	1352.72387246602	1427.0847546679	1516.6324954092	1614.2955604227	1709.9363240195	1843.52023391287	1957.3428116329
15.25	1203.36496511284	1265.01321814917	1351.91379886204	1426.74389735011	1517.49025573174	1617.27347517129	1715.83533194834	1854.93685506573	1974.81565254773
15.5	1202.94906909396	1264.18601531657	1351.02386575111	1426.30518377775	1518.25163187167	1620.21087461088	1721.83323866391	1866.8486283225	1993.36966051505
15.75	1202.50540196363	1263.32005509517	1350.07073043279	1425.78582990362	1518.93449287259	1623.12917288795	1727.96321653492	1879.33515276526	2013.17419763856
16	1202.04573285181	1262.42845493782	1349.06886685913	1425.20078885024	1519.55434386319	1626.0475068011	1734.25725098653	1892.48187641437	2034.42301182099
16.25	1201.58095727484	1261.52338233305	1348.03175658233	1424.56400535143	1520.12565669963	1628.98416496952	1740.74781129552	1906.38333596667	2057.34265752948
16.5	1201.1176906466	1260.61247957481	1346.9680655646	1423.88437240777	1520.65754940222	1631.95196550835	1747.46308461053	1921.13971980651	2082.1954331509
16.75	1200.65900596405	1259.69964359279	1345.8824752787	1423.1666013987	1521.15469468615	1634.95921215318	1754.42816277495	1936.86034599223	2109.29212512868
17	1200.20848360964	1258.78927818711	1344.78022347121	1422.41601762363	1521.62243111636	1638.0151808273	1761.67114324371	1953.6732255759	2139.01495009527
17.25	1199.77103240542	1257.88715294236	1343.66801858499	1421.6395281465	1522.06780216215	1641.13126805091	1769.22467531177	1971.73056756886	2171.84149459208
17.5	1199.35158085441	1256.99902873915	1342.5525688053	1420.8440673126	1522.49789877229	1644.31924269765	1777.12445424643	1991.21208299657	2208.37429935016
17.75	1198.95415273404	1256.12969241403	1341.43955466218	1420.03551473806	1522.91870849898	1647.59004273487	1785.40836270099	2012.33058794026	2249.38540299818
18	1198.61471413756	1255.31197697633	1340.35565207133	1419.2328297559	1523.33668150555	1650.93644961393	1794.07355591903	2035.24137254552	2295.70416775936
18.25	1198.36503673151	1254.57494498755	1339.32427982138	1418.4518827802	1523.75457566034	1654.34523660117	1803.10836071724	2060.11495177378	2348.39180096109
18.5	1198.20046611544	1253.91545446019	1338.3443100009	1417.69246917185	1524.17208282683	1657.81882957888	1812.54371657162	2087.26160899685	2409.04617954015
18.75	1198.11644442145	1253.33030407906	1337.41438447974	1416.95402055839	1524.5881976686	1661.35811950818	1822.40958792064	2117.03700779009	2479.71036568922
19	1198.10842503104	1252.81611456745	1336.53269899536	1416.23522565927	1525.00041321964	1664.96034885338	1832.72887594399	2149.81695079795	2562.81951330053
19.25	1198.17176584194	1252.36918166774	1335.69673871149	1415.53356096893	1525.40368948465	1668.61622638297	1843.50819280901	2185.94398930507	2660.91633663806
19.5	1198.30165101978	1251.98536714178	1334.903071291	1414.84490078231	1525.7895205726	1672.30700265949	1854.72714122364	2225.6457647051	2776.01049945127
19.75	1198.49308031272	1251.66008442642	1334.14729801157	1414.1633811464	1526.14547193759	1676.00246670407	1866.32878900828	2268.93434174067	2908.55022144189
20	1198.74093970463	1251.38840084209	1333.42420782493	1413.4816070283	1526.45541447593	1679.66058885195	1878.21393782359	2315.50541912388	3056.27201960877
