age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	1170.59242222934	1214.57142784869	1271.33105555644	1315.95255400368	1365.53027834757	1415.10800269147	1459.72950113871	1516.48912884646	1560.46813446581
5.25	1171.14906702208	1215.42016853743	1272.55677735421	1317.47463894988	1367.38164426796	1417.28864958605	1462.20651118172	1519.3431199985	1563.61422151385
5.5	1171.70571181482	1216.26890922617	1273.78249915198	1318.99672389608	1369.23301018835	1419.46929648063	1464.68352122473	1522.19711115053	1566.76030856189
5.75	1172.26235660755	1217.11764991492	1275.00822094975	1320.51880884228	1371.08437610874	1421.64994337521	1467.16053126774	1525.05110230257	1569.90639560993
6	1172.81900140029	1217.96639060366	1276.23394274752	1322.04089378848	1372.93574202913	1423.83059026979	1469.63754131074	1527.90509345461	1573.05248265798
6.25	1173.37564619303	1218.81513129241	1277.45966454529	1323.56297873468	1374.78710794952	1426.01123716437	1472.11455135375	1530.75908460664	1576.19856970602
6.5	1173.93229098576	1219.66387198115	1278.68538634307	1325.08506368088	1376.63847386991	1428.19188405895	1474.59156139676	1533.61307575868	1579.34465675406
6.75	1174.488936311	1220.51261308226	1279.91110839815	1326.60714876251	1378.4898397903	1430.3725308181	1477.06857118245	1536.46706649835	1582.49074326961
7	1175.04721282501	1221.36261736737	1281.13761868759	1328.1296486975	1380.34120571067	1432.55276272385	1479.54479273375	1539.31979405397	1585.63519859633
7.25	1175.61427910805	1222.21942840336	1282.36837643012	1329.65438409737	1382.19257163094	1434.73075916452	1482.01676683177	1542.16571485852	1588.77086415384
7.5	1176.19870005514	1223.08967879989	1283.60752041369	1331.18353323577	1384.04393755105	1436.90434186633	1484.48035468841	1544.99819630221	1591.88917504696
7.75	1176.81000833041	1223.98075060189	1284.85965707834	1332.719520515	1385.89530347094	1439.07108642687	1486.93094986353	1547.80985633998	1594.98059861146
8	1177.45470157887	1224.89767555148	1286.12792626112	1334.26399845371	1387.74666939054	1441.22934032738	1489.36541251996	1550.59566322961	1598.03863720222
8.25	1178.13485267199	1225.8420588694	1287.41332962936	1335.81749423657	1389.59803530984	1443.37857638311	1491.78274099032	1553.35401175028	1601.06121794769
8.5	1178.85059323899	1226.81400248864	1288.7159307898	1337.38004134023	1391.44940122878	1445.51876111732	1494.18287166775	1556.08479996891	1604.04820921856
8.75	1179.60187256184	1227.81346713341	1290.03570523411	1338.95162686577	1393.30076714732	1447.64990742887	1496.56582906052	1558.78806716123	1606.99966173279
9	1180.38856125252	1228.84035260628	1291.37259043849	1340.53221790645	1395.15213306543	1449.77204822441	1498.93167569236	1561.46391352458	1609.91570487834
9.25	1181.20443530352	1229.8898390686	1292.72357879489	1342.12023153665	1397.00349898312	1451.88676642958	1501.28341917134	1564.11715889764	1612.80256266271
