age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	1271.22954097148	1286.46785459643	1307.87696262785	1326.31730317982	1348.78116041024	1373.73260285478	1398.77293996537	1435.05854746592	1467.51780823604
5.25	1277.26603639111	1293.06030981815	1315.2604208908	1334.39122858132	1357.70747591776	1383.6199804122	1409.63965585412	1447.37028549664	1481.1475882671
5.5	1283.25502895324	1299.61674130155	1322.62235231273	1342.45440981735	1366.63379142528	1393.51584185523	1420.51926593422	1459.69299869475	1494.77711902534
5.75	1289.19442375428	1306.13575874796	1329.96213461066	1350.50665308628	1375.56010693281	1403.4199282162	1431.4106875533	1472.0232733051	1508.39960950159
6	1295.08204531795	1312.61592238868	1337.27912604913	1358.54775930197	1384.48642244033	1413.33197643731	1442.31282832815	1484.35770192562	1522.00835441715
6.25	1300.91560290918	1319.05571546762	1344.57264668765	1366.57751206702	1393.41273386029	1423.25172517726	1453.22460510488	1496.69293287746	1535.59682974777
6.5	1306.68337790034	1325.44556144631	1351.83604652495	1374.59169315473	1402.33766124862	1433.18077532605	1464.15042256635	1509.03711212509	1549.1762537745
6.75	1312.35034088708	1331.75593543644	1359.04789203137	1382.57618550928	1411.25645636342	1443.12541021156	1475.10835265483	1521.42682270893	1562.80141297022
7	1317.87900943958	1337.95484129655	1366.18421730757	1390.5142492725	1420.16158425987	1453.08886624797	1486.11306580714	1533.89454210918	1576.52213874833
7.25	1323.24141112047	1344.01621883378	1373.22145627498	1398.38426704003	1429.03352905123	1463.05358815756	1497.14856340334	1546.42579601179	1590.3246287424
7.5	1328.41276386971	1349.91605014863	1380.13627248031	1406.16309466154	1437.84885450397	1472.99510306506	1508.18855242236	1558.99025163374	1604.17356439811
7.75	1333.36821179047	1355.63031109163	1386.90537304089	1413.82763294368	1446.58412214478	1482.8888277709	1519.20647448279	1571.55703894827	1618.03284834057
8	1338.08281448705	1361.13496807742	1393.50551105836	1421.35483125309	1455.21589350033	1492.71006869605	1530.17550638855	1584.09476563325	1631.86565450931
8.25	1342.53078687856	1366.40554006684	1399.91353378121	1428.72218820584	1463.72182785015	1502.43584689422	1541.07118876288	1596.5754531443	1645.6396876428
8.5	1346.68396419318	1371.41610869113	1406.10621575818	1435.90834935557	1472.08228377074	1512.04771165878	1551.87556226233	1608.98078283603	1659.33551057504
8.75	1350.51694221532	1376.14315877869	1412.06209374679	1442.8930420482	1480.27771821329	1521.52603202916	1562.5680263568	1621.28741107835	1672.92631897241
9	1354.00782085185	1380.56692184495	1417.76371089913	1449.66015384498	1488.29286059662	1530.85549881325	1573.13230104663	1633.47628986201	1686.38963107196
