age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	337.959982399444	364.012422883004	388.930540649539	404.56096133105	419.312150431743	432.09995441981	442.349077492339	454.051679174751	462.29283204966
5.25	339.24281699134	365.609230073611	391.012323307535	407.022517631804	422.176628386327	435.344249126544	445.916087835	458.005273765746	466.529384328026
5.5	340.609656204405	367.237046105003	393.09860779667	409.482761837466	425.041094932822	438.5944882049	449.496782144362	461.984373547471	470.801553873948
5.75	342.061478085614	368.897215263045	395.190008372675	411.941869134069	427.905557709758	441.850815726311	453.091634874512	465.990090150875	475.111073788571
6	343.598402656902	370.5908518165	397.287110800074	414.400013042157	430.770024188064	445.11338061599	456.701142224849	470.02359831375	479.459787080138
6.25	345.21966852965	372.318819708343	399.390468434462	416.857369551244	433.634510896893	448.382349614322	460.325838812648	474.086158863324	483.849676122604
6.5	346.91684472106	374.078846741953	401.50081503675	419.315993670712	436.502322854524	451.662291211588	463.971503062592	478.18520285538	488.289532911334
6.75	348.665372792817	375.861743766012	403.619393843554	421.782506602074	439.384810937281	454.968614123408	467.656873989658	482.343440781849	492.805010417392
7	350.452914440936	377.662608425284	405.745956204149	424.259111814239	442.286549927892	458.308185340495	471.390904944602	486.572551790801	497.409959806199
7.25	352.281046052575	379.481243663921	407.877569347059	426.741297493149	445.201978383973	461.675053930931	475.167765192737	490.867379845924	502.100074275279
7.5	354.146024475131	381.314991747037	410.011021388633	429.22539732287	448.127322578337	465.065820931912	478.984778102033	495.226623166321	506.875414887931
7.75	356.042122527034	383.159171227111	412.140982766608	431.705516673475	451.056467091283	468.47467067438	482.836826488281	499.646573047563	511.733710061395
8	357.963032748361	385.008517665979	414.261532799683	434.175118501894	453.982596846592	471.895063577831	486.718090336457	504.122911492484	516.672203497907
8.25	359.902409907698	386.857734789858	416.366761113694	436.627660069953	456.898865922933	475.320434001771	490.622772036103	508.651477006488	521.6884577238
8.5	361.854057731568	388.701645660788	418.450919418131	439.056749159926	459.798556987308	478.744353985408	494.545268324711	513.228456813765	526.780571537682
8.75	363.81198892539	390.535232493865	420.508463981742	441.456190979182	462.675130802373	482.160586248273	498.480231203547	517.850469255413	531.947290429072
9	365.770769762861	392.353995671994	422.534442254665	443.820396033478	465.522653785689	485.563531162354	502.423036921567	522.515073148684	537.188560224999
9.25	367.724878380332	394.153269669741	424.52375943188	446.143613067936	468.334994783629	488.947391658726	506.368930662976	527.219905136518	542.504676988628
9.5	369.667898386504	395.92737464438	426.4702684541	448.418973986167	471.10482033211	492.305122888889	510.311944377496	531.961578244638	547.89519244872
9.75	371.592962424317	397.670113184353	428.367309937207	450.639061892969	473.824186940708	495.629046592897	514.245536735508	536.736373868505	553.359669072059
10	373.492493209975	399.374510157171	430.207436578306	452.795622786067	476.48423519084	498.910528387554	518.16226405265	541.53993034901	558.897411907095
10.25	375.358165445546	401.032782904384	431.982383908629	454.879535575041	479.075154110941	502.139935973132	522.053741880763	546.367238187136	564.507525272803
10.5	377.181305856519	402.636773060415	433.683536545637	456.881303719967	481.586694799767	505.307172733448	525.911205659844	551.213268676705	570.189636760487
10.75	378.952599378268	404.177633575108	435.301592010108	458.790703003329	484.007796768767	508.401282769003	529.725108657277	556.072605076291	575.943608510409
11	380.662702650397	405.646482563177	436.827264797321	460.597524895327	486.327368802098	511.411266802588	533.485981242434	560.940405325414	581.770646083846
11.25	382.30357979361	407.035822838718	438.252814100522	462.293190762925	488.535994088321	514.327876367652	537.186319383409	565.814469474461	587.675587838729
11.5	383.867907965884	408.338901426881	439.571352403329	463.870028535678	490.625172262534	517.14282490742	540.819788708941	570.694512097107	593.66633972972
11.75	385.351867902721	409.552670987138	440.780031416121	465.324641198506	492.590890012931	519.852562793574	544.385206220035	575.586499616349	599.758626444888
12	386.755985766063	410.678665557129	441.880977432385	466.658905016868	494.434698562909	522.459446672887	547.887827012388	580.504211220018	605.97795069898
12.25	388.081761869691	411.719401359305	442.87740858417	467.875877849172	496.15939872077	524.967214494394	551.334670511444	585.464530360618	612.355099335874
12.5	389.332755241853	412.679521468107	443.774859781914	468.981096501976	497.770424273877	527.382466021037	554.73613285946	590.489414185661	618.928703712853
