age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	387.512974857383	396.32567386585	407.699407941389	416.64085237799	426.575446305583	436.510040233176	445.451484669777	456.825218745316	465.637917753783
5.25	386.408707977673	395.778979607601	407.872321004144	417.379483685448	427.942631654662	438.505779623875	448.012942305179	460.106283701722	469.47655533165
5.5	385.304441097962	395.232285349352	408.045234066899	418.118114992905	429.30981700374	440.501519014575	450.574399940581	463.387348658128	473.315192909518
5.75	384.200174218252	394.685591091102	408.218147129654	418.856746300363	430.677002352818	442.497258405274	453.135857575983	466.668413614535	477.153830487385
6	383.095907338541	394.138896832853	408.391060192409	419.595377607821	432.044187701897	444.492997795973	455.697315211385	469.949478570941	480.992468065253
6.25	381.991640458831	393.592202574603	408.563973255163	420.334008915278	433.411373050975	446.488737186672	458.258772846787	473.230543527347	484.83110564312
6.5	380.88737357912	393.045508316354	408.736886317918	421.072640222736	434.778558400054	448.484476577371	460.820230482189	476.511608483753	488.669743220987
6.75	379.783096256249	392.498805970976	408.909794334257	421.811268874228	436.145743749132	450.480218624036	463.381693164008	479.792681527289	492.508391242015
7	378.647344645498	391.927730102595	409.067493126903	422.541892802551	437.512929098175	452.483965393799	465.958365069447	483.098128093755	496.378513550852
7.25	377.409928834318	391.277926012074	409.176065039468	423.246660902631	438.880114447072	454.513567991513	468.584163854676	486.48230288207	500.350300059826
7.5	376.072154996917	390.550405193831	409.23614125047	423.925905368198	440.247299795744	456.56869422329	471.258458341018	489.944194397657	504.422444594571
7.75	374.629517070003	389.741678176136	409.245544308715	424.578480191085	441.614485144113	458.650490097141	473.98342597951	493.48729211209	508.599453218223
8	373.088782456885	388.856985600498	409.20754440572	425.206106496424	442.981670492094	460.757234487765	476.755796578469	497.10635538369	512.874558527303
8.25	371.470825001591	387.912492061925	409.132228345113	425.814093041027	444.348855839594	462.88361863816	479.565483334074	500.785219617262	517.226886677596
8.5	369.806772195902	386.932302526314	409.034637769302	426.410356348772	445.716041186511	465.02172602425	482.39744460372	504.499779846708	521.62531017712
