age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
5	404.807520543329	409.514803697338	416.1400640755	421.858681441553	428.841728709484	436.621815532122	444.457576186559	455.868380662768	466.139755406451
5.25	407.088552193489	411.998403458752	418.916872215172	424.896481507325	432.208601222896	440.369394029345	448.604383661469	460.626793467536	471.481615479242
5.5	409.35278817135	414.468753587837	421.685223070991	427.929757178641	435.575473736306	444.121626591572	452.760095156797	465.399478829964	476.841739058844
5.75	411.599407318752	416.925300366194	424.444862960645	430.958427776262	438.942346249717	447.878398998694	456.924217210161	470.184800029029	482.216708773368
6	413.827563756247	419.367473603127	427.195530773564	433.982410287523	442.309218763128	451.639593803487	461.096242493876	474.981074195402	487.603009221701
6.25	416.036376495409	421.794679437935	429.936954853429	437.001619510726	445.676095373548	455.405099433826	465.275665726112	479.786605010249	492.997087947451
6.5	418.222392901188	424.204407535534	432.667961663804	440.016037695956	449.044359214168	459.177826013785	469.466871527056	484.607740682505	498.406781268702
6.75	420.375751451747	426.589345571745	435.385078633816	443.025752808578	452.418769500319	462.968176362417	473.686439811432	489.470999398409	503.868578248537
7	422.485682126902	428.941237832343	438.083842386079	446.029823148787	455.803011883704	466.78543724151	477.949801372669	494.401728239902	509.417817059838
7.25	424.543382004672	431.252106957586	440.757439410883	449.022433264724	459.192468710575	470.626279474201	482.254851590686	499.399417811457	515.055164228748
7.5	426.540712164028	433.514099405063	443.398325230121	451.99620240322	462.579805359095	474.483184822989	486.593591614335	504.454732848584	520.769308019222
7.75	428.469484627826	435.719340971183	445.998960517293	454.943761906012	465.957685655154	478.348585872895	490.957886806992	509.557999367731	526.548331663041
8	430.321456634533	437.859934347889	448.551811733747	457.857757037527	469.318773424642	482.214865445603	495.3394629257	514.699197302496	532.379709317421
8.25	432.087809067242	439.927580089123	451.04919307063	460.730900334309	472.65607244576	486.075056642289	499.731017638195	519.869772573097	538.25286983986
8.5	433.758154873288	441.912822410925	453.482882453609	463.55594352812	475.963382491703	489.923908157114	504.127981496379	525.065576727022	544.163388464202
8.75	435.323715522293	443.807651290008	455.845818011218	466.326494261177	479.234908731012	493.755962144593	508.524837295623	530.28019813138	550.103147903074
9	436.777451992968	445.605903099864	458.132912933488	469.038223688133	482.466997320431	497.567947333146	512.91825806446	535.509355134024	556.066062519573
9.25	438.112210904273	447.301384830128	460.339145001967	471.686922479675	485.65614632763	501.356735372498	517.305005658501	540.748711120261	562.045826543913
9.5	439.320656582674	448.887815048445	462.459505611847	474.268452710008	488.798956497585	505.119285686756	521.681866955709	545.993799711451	568.035839444966
9.75	440.394596113226	450.358147116417	464.48831519139	476.778051881349	491.891416295976	508.851904594339	526.044884644768	551.23921794051	574.028378157145
10	441.324494652559	451.704085141038	466.418733798032	479.209833417462	494.928384295919	512.549702358228	530.388786755879	556.478020841221	580.013975069472
10.25	442.098972714385	452.915582056725	468.242253064814	481.556267134295	497.903049426273	516.206025850449	534.706390425328	561.701091027198	585.980774743346
10.5	442.706208931591	453.982289264294	469.950203342344	483.809728936665	500.808525738071	519.814098246997	538.990286143246	566.898897201056	591.91637813308
10.75	443.133897476806	454.893535142096	471.533751456413	485.962506685056	503.637860187237	523.367023209406	543.232838075131	572.06150010239	597.807873862141
11	443.369441572014	455.638549818082	472.984156779058	488.007073175208	506.384317090079	526.858075932713	547.426481978055	577.178873197894	603.64220006773
11.25	443.400931610073	456.207503660961	474.293879195055	489.937242011235	509.042581877846	530.281953400606	551.565022776524	582.242282720207	609.407618304607
11.5	443.216146821697	456.590524243302	475.455598068289	491.747173506839	511.607738502238	533.633712464285	555.642534109848	587.243146460167	615.092555572166
11.75	442.802090062737	456.7772647181	476.461803940055	493.430968904091	514.074852470489	536.908332561846	559.652902672849	592.172568571595	620.685149915254
12	442.144909544705	456.756878676789	477.304818442122	494.982707974199	516.439013604888	540.100755881838	563.589868708278	597.021398985375	626.173344580097
12.25	441.232186177993	456.520454803896	477.979398683543	496.399173570963	518.698187151205	543.208868695644	567.450139890534	601.783554432858	631.548404803656
12.5	440.054637238477	456.062887098075	478.484792971898	497.682033844102	520.855524960067	546.235941908247	571.235961354787	606.458786150186	636.807864566843
12.75	438.601945830047	455.378691570831	478.820477471457	498.833469296465	522.914830691404	549.185903775787	574.950199147517	611.047507761416	641.950135785906
13	436.862041021864	454.46140117172	478.985633500198	499.85567124298	524.880050988386	552.06280911601	578.595791715114	615.550238088274	646.973947484054
13.25	434.820680395297	453.303304543352	478.979003220204	500.750735918113	526.755176938949	554.870733377771	582.175641342151	619.967504668598	651.878260110544
13.5	432.460140516458	451.894299703791	478.797839287181	501.51961953389	528.543160200645	557.612630414197	585.691421258202	624.298596758172	656.660970934553
13.75	429.75896811752	450.221903710937	478.438100746349	502.162396254274	530.246191351033	560.290615658904	589.143871123839	628.541894033713	661.319266500836
14	426.692025349337	448.271655216101	477.895119825291	502.679026194411	531.866523573212	562.906830344994	592.5337084669	632.695856948969	665.850670759316
14.25	423.229680278308	446.026738275665	477.163512124771	503.069349632021	533.406487844868	565.463456879246	595.861652284895	636.759072446879	670.253096449706
14.5	419.337048488584	443.467814238242	476.237393328654	503.333422587542	534.86887311444	567.963121157477	599.128854735997	640.73073349066	674.525348009261
14.75	414.973685320621	440.573558808813	475.111478425655	503.47281703672	536.258344130286	570.410404480849	602.338509312935	644.612379744737	678.668950141142
15	410.090685564797	437.318780773145	473.779748426627	503.489387184354	537.580177992673	572.810513423536	605.494463958213	648.406433480004	682.686597162311
15.25	404.627754775516	433.672953647009	472.234752856753	503.384733396988	538.839736602212	575.168722659459	608.600643974424	652.115594435845	686.581502417774
