age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
6	140477.188089672	153683.041560639	170726.61305616	184125.391901902	199012.407965346	213899.424028791	227298.202874533	244341.774370053	257547.62784102
6.25	140082.216343445	153169.80836672	170060.750769139	183339.540476194	198093.239895216	212846.939314239	226125.729021294	243016.671423713	256104.263446987
6.5	139687.244597219	152656.575172801	169394.888482118	182553.689050487	197174.071825087	211794.454599687	224953.255168055	241691.568477372	254660.899052955
6.75	139292.27234063	152143.341583661	168729.025948477	181767.837494981	196254.903754957	210741.970014933	223780.781561437	240366.465926253	253217.535169284
7	138895.762446483	151628.917256075	168062.420386934	180981.594878563	195335.735684794	209689.876491025	222609.050982655	239042.554113514	251775.708923105
7.25	138494.34689645	151110.694014342	167393.444280263	180194.104627236	194416.567614499	208639.030601762	221439.690948736	237722.441214656	250338.788332548
7.5	138088.206706599	150588.81203634	166722.185100271	179405.412778008	193497.39954401	207589.386310012	220272.613987749	236405.98705168	248906.592381421
7.75	137677.348234097	150063.276245009	166048.645918879	178615.520947619	192578.231473259	206540.941998898	219107.817027638	235093.186701508	247479.11471242
8	137261.835483844	149534.136205398	165372.857664953	177824.445414133	191659.063402199	205493.681390265	217945.269139445	233783.990599	246056.291320554
8.25	136841.702363177	149001.418175167	164694.836723426	177032.194801049	190739.895330817	204447.595860586	216784.953938208	232478.372486467	244638.088298458
8.5	136416.991298037	148465.155008741	164014.603595655	176238.779898378	189820.727259114	203402.67461985	215626.850922572	231176.299509487	243224.463220191
8.75	135987.745050017	147925.379820473	163332.178945194	175444.211581498	188901.55918709	202358.906792682	214470.939428985	229877.738553706	241815.373324163
9	135554.005354758	147382.124930225	162647.582939831	174648.500464859	187982.391114748	201316.281764637	213317.199289665	228582.65729927	240410.776874738
9.25	135115.813399573	146835.422233251	161960.835482418	173851.657023509	187063.223042155	200274.789060802	212165.610601892	227291.02385106	239010.632684738
9.5	134673.209957864	146285.303304286	161271.956275827	173053.691627267	186144.054969436	199234.418311606	211016.153663045	226002.806634587	237614.899981009
9.75	134226.235376877	145731.799388055	160580.964817	172254.614537574	185224.886896719	198195.159255863	209868.808976438	224717.974405383	236223.538416561
10	133774.929655198	145174.941459281	159887.880434396	171454.435927198	184305.71882413	197157.001721063	208723.557213865	223436.49618898	234836.507993062
10.25	133319.332356123	144614.760155601	159192.722246134	170653.165858202	183386.550751802	196119.935645402	207580.37925747	222158.341348003	233453.769147481
