age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
6	152463.545818278	165347.025402542	181974.538791832	195046.23416485	209569.836743485	224093.439322119	237165.134695138	253792.648084427	266676.127668692
6.25	152500.915125502	165187.504232573	181560.909325704	194432.837832723	208734.484919941	223036.13200716	235908.060514179	252281.465607309	264968.054714381
6.5	152536.19458462	165026.364695218	181146.269988669	193818.909998307	207899.133096375	221979.356194444	234651.996204082	250771.901497533	263262.07160813
6.75	152562.214486417	164858.05460535	180727.156184074	193202.627219581	207063.781272709	220924.935325836	233400.406361343	249269.507940067	261565.348059001
7	152571.832909895	164677.043296894	180300.116743281	192582.173121778	206228.429448855	219874.685775933	232156.74215443	247779.815600817	259885.025987816
7.25	152562.066955608	164481.020828189	179863.710248888	191956.789076577	205393.077624732	218829.366172886	230922.445000575	246305.134421274	258224.088293855
7.5	152531.294619345	164268.731127684	179417.152904726	191326.06256641	204557.725800253	217789.389034096	229698.29869578	244846.720472822	256584.156981161
7.75	152477.894674406	164038.918725933	178959.661290344	190689.581271455	203722.373975337	216755.166679218	228485.086660329	243405.82922474	254966.853276267
8	152400.245894095	163790.328153489	178490.45198529	190046.932871887	202887.022149898	215727.111427909	227283.592314506	241983.716146307	253373.798405701
8.25	152295.886643711	163521.053133365	178008.335461324	189397.491310446	202051.670323845	214705.849337243	226095.005186365	240582.287514324	251807.454003978
8.5	152160.214810161	163227.529813362	177511.087853378	188740.086150994	201216.318497058	213692.550843121	224921.549140737	239205.107180753	250272.422183955
8.75	151989.304067891	162906.717667592	176996.811855124	188073.718827588	200380.966669414	212688.214511239	223765.121483703	237855.215671235	248772.629270936
9	151777.646285715	162554.3512282	176462.845789128	187396.988480292	199545.614840752	211694.241201212	222628.383892376	236536.878453304	247313.583395788
9.25	151519.852401673	162166.257233908	175906.585515407	186708.524531538	198710.263010908	210712.001490277	221513.940506409	235254.268787907	245900.673620142
9.5	151210.468819294	161738.212448258	175325.39570917	186006.939990975	197874.91117972	209742.882368465	220424.426650271	234011.609911182	244539.353540147
9.75	150845.187494014	161266.880744159	174717.194607155	185291.139211633	197039.559347014	208787.979482396	219361.924086874	232812.23794987	243233.931200015
10	150421.632521759	160750.422233945	174080.834108412	184560.517939678	196204.207512587	207847.897085495	218327.580916761	231657.992791228	241986.782503414
10.25	149940.076620896	160189.04810923	173416.445997675	183815.145534241	195368.855676191	206922.565818141	217321.265354708	230548.663243152	240797.634731486
10.5	149400.56610454	159582.794234592	172724.052654562	183055.033773761	194533.503837584	206011.973901408	216342.955020607	229484.213440577	239666.441570629
10.75	148802.896014894	158931.501891735	172003.55503782	182280.130532001	193698.151996523	205116.173461045	215392.748955225	228464.802101311	238593.407978152
11	148146.717455005	158234.900896646	171254.78455093	181490.347075305	192862.800152787	204235.253230269	214470.815754644	227490.699408929	237578.882850569
11.25	147431.608535243	157492.664540186	170477.5373254	180685.576106175	192027.448306263	203369.320506352	213577.359287126	226562.23207234	236623.288077284
11.5	146656.9670622	156704.326486931	169671.522365113	179865.664471235	191192.09645687	202518.528442506	212712.670548628	225679.86642681	235727.225851541
11.75	145821.961056563	155869.242456458	168836.337635213	179030.400576627	190356.744604525	201683.088632422	211877.151573837	224844.246752591	234891.528152486
12	144925.517390584	154986.581424263	167971.464571424	178179.511498228	189521.392749146	200863.274000064	211071.320926868	224056.204074029	234117.268107709
12.25	143966.459714649	154055.432431388	167076.334729913	177312.69805997	188686.040890704	200059.383721439	210295.747051496	223316.649350021	233405.62206676
12.5	142943.612906784	153074.885469568	166150.38026012	176429.661398074	187850.68902926	199271.716660446	209550.997798399	222626.492588952	232757.765151736
12.75	141855.548902322	152043.834653053	165192.91108277	175530.038318915	187015.337164882	198500.636010848	208837.763246994	221986.83967671	232175.125427442
13	140700.537008455	150960.939742451	164203.090880517	174613.388662732	186179.985297642	197746.581932553	208156.879714768	221399.030852833	231659.433586829
13.25	139476.664536971	149824.719562085	163179.995390933	173679.225983632	185344.633427608	197010.040871585	207509.271464283	220864.547293131	231212.602318245
13.5	138183.422888922	148634.780255617	162123.378845336	172727.420931827	184509.281554835	196291.142177843	206895.184264335	220383.782854053	230835.140220749
13.75	136821.330994374	147391.523679773	161033.492004736	171758.105484654	183673.929679372	195589.75387409	206314.367354007	219956.33567897	230526.52836437
14	135390.737368631	146095.219722982	159910.50328114	170771.368278576	182838.577801264	194905.787323951	205766.652321387	219581.935879546	230286.418233896
14.25	133891.813624298	144746.00128115	158754.495602405	169767.252959139	182003.225920557	194239.198881975	205251.95623871	219260.450559964	230114.638216816
14.5	132324.848513643	143344.091962532	157565.608501435	168745.832963539	181167.874037315	193589.915111091	204770.139573194	218991.656112097	230010.899560986
14.75	130691.294710561	141890.616710181	156344.543949456	167707.477744313	180332.522151672	192957.566559031	204320.500353887	218774.427593162	229973.749592783
15	128992.981151338	140386.991842774	155092.185737825	166652.652447244	179497.170263784	192341.688080325	203902.154789743	218607.348684795	230001.35937623
15.25	127231.8014273	138834.683747508	153809.448900956	165581.838661559	178661.818373809	191741.798086059	203514.187846662	218488.95300011	230091.835320318
15.5	125409.759343133	137235.244160229	152497.301731326	164495.546006587	177826.466481902	191157.386957218	203155.631232478	218417.688803575	230243.173620671
15.75	123529.090718631	135590.404488069	151156.824637382	163394.343109104	176991.114588254	190587.886067403	202825.404539125	218391.824688438	230453.138457876
16	121592.378667472	133902.165080731	149789.265849356	162278.886921723	176155.76269311	190032.638464497	202522.259536864	218409.360305489	230719.146718748
16.25	119602.480582021	132172.738687889	148396.006136336	161149.904153204	175320.410796724	189490.917440245	202244.815457113	218468.08290556	231038.341011428
16.5	117562.554594992	130404.570950964	146978.571593243	160008.197998333	174485.058899348	188961.919800363	201991.546205454	218565.546847733	231407.563203705
16.75	115476.031920745	128600.318984367	145538.620275407	158854.641103603	173649.707001232	188444.772898861	201760.793727057	218699.095018097	231823.382081719
17	113345.202226358	126761.755894279	144077.258611724	157689.815790532	172814.355102552	187938.894414571	201551.45159338	218866.954310825	232283.507978746
17.25	111171.575665582	124890.051135852	142595.216349227	156514.106130262	171979.003203433	187443.900276604	201362.790057639	219067.955271014	232786.430741284
17.5	108956.825020121	122986.500102467	141093.301821158	155327.937554415	171143.651304001	186959.365053587	201194.000786843	219300.802505534	233330.47758788
17.75	106708.039386988	121056.592553597	139574.940670212	154133.113003294	170308.299404393	186483.485805493	201041.658138575	219560.00625519	233908.559421799
18	104455.558591232	119123.823490223	138054.793917148	152937.348677008	169472.947504771	186008.546332535	200891.101092394	219822.07151932	234490.336418311
