age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
6	49284.7013068414	54730.0259923402	61757.8020310233	67282.6779025195	73421.216107711	79559.7543129025	85084.6301843986	92112.4062230817	97557.7309085805
6.25	49226.6158868219	54632.5787664215	61609.5541692721	67094.493195083	73188.6586652601	79282.8241354371	84767.763161248	91744.7385640986	97150.7014436982
6.5	49168.5304668024	54535.1315405028	61461.306307521	66906.3084876466	72956.1012228092	79005.8939579717	84450.8961380974	91377.0709051156	96743.671978816
6.75	49110.4449103372	54437.6842089213	61313.0583798356	66718.1237455086	72723.5437803583	78728.963815208	84134.029180881	91009.4033517952	96336.6426503794
7	49051.9482582377	54339.9185270357	61164.6117996504	66529.8344511248	72490.9863378758	78452.1382246268	83817.3608761012	90642.054148716	95930.0244175139
7.25	48992.1390978495	54241.136445607	61015.5309800447	66341.2113519428	72258.4288952722	78175.6464386017	83501.3268104998	90275.7213449374	95524.718692695
7.5	48931.0634925573	54141.3736358683	60865.8381800636	66152.2661630358	72025.8714525029	77899.4767419699	83185.9047249422	89910.3692691375	95120.6794124485
7.75	48868.7208995796	54040.6296774797	60715.5331373918	65962.9987463193	71793.3140095122	77623.6292727051	82871.0948816327	89545.9983415448	94717.9071194448
8	48805.1262230964	53938.9161121556	60564.6230541207	65773.4128922964	71560.7565662813	77348.1002402663	82556.890078442	89182.5970204071	94316.3869094663
8.25	48740.2863910761	53836.2383048854	60413.1112780475	65583.5103629518	71328.1991228418	77072.8878827319	82243.2869676361	88820.1599407982	93916.1118546075
8.5	48674.2106494133	53732.603415653	60261.0022770647	65393.2935097937	71095.6416792458	76797.9898486979	81930.2810814269	88458.6799428386	93517.0727090783
8.75	48606.9083712039	53628.018702947	60108.3005805327	65202.7647166829	70863.0842355479	76523.403754413	81617.8678905632	88098.1497681489	93119.2600998919
9	48538.3886883906	53522.4912385084	59955.0106012815	65011.9263061502	70630.5267918048	76249.1272774593	81306.0429823281	87738.5623451011	92722.6648952189
9.25	48468.6606450009	53416.0280260229	59801.1367097162	64820.7805784511	70397.9693481855	75975.1581179198	80994.8019866548	87379.9106703481	92327.27805137
9.5	48397.7332184017	53308.6360175746	59646.6832440766	64629.3298169555	70165.4119049501	75701.4939929446	80684.1405658235	87022.1877923255	91933.0905914984
9.75	48325.6153095141	53200.3221060512	59491.6545056676	64437.5762855989	69932.8544623692	75428.1326391395	80374.0544190708	86665.3868186872	91540.0936152243
