age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
6	69243.0544067052	69994.2708651969	71176.7071544801	72355.6249251023	74083.4230961749	76585.0918276611	80103.6413128694	88008.2808243017	98194.1512789469
6.25	69068.4120436591	69836.5324509614	71045.8969598932	72252.0378290328	74020.3910604917	76582.1991271874	80188.5427540226	88306.4589141525	98798.5362544709
6.5	68891.7025422376	69677.2634351699	70914.3421333703	72148.4095435093	73958.2000141276	76581.1833823182	80276.7581000985	88614.2076766571	99427.7089759038
6.75	68711.9270788459	69515.5702645136	70781.3320725779	72044.233575414	73896.6808890658	76582.430601012	80369.5160446883	88934.5426009082	100086.856709719
7	68528.1125775057	69350.5851916917	70646.1809194683	71939.0255888291	73835.6802397276	76586.3286472088	80468.0275427557	89270.4733581724	100781.320183372
7.25	68339.9262156287	69182.0333796746	70508.703675266	71832.6874394795	73775.2208209013	76593.0622266402	80572.6991208585	89623.1370778087	101514.004038326
7.5	68147.2334112692	69009.8257586204	70368.8750530264	71725.2462061459	73715.3841323195	76602.7486698834	80683.6610364932	89993.0211614514	102287.056987682
7.75	67949.8830000154	68833.8612855405	70226.6640180544	71616.7278966593	73656.2541719205	76615.5053289839	80801.026726347	90380.5665253352	103102.718296849
8	67747.7056290569	68654.025790837	70082.0331446452	71507.1570164137	73597.9166665348	76631.4466665193	80924.8830458087	90786.1344094713	103963.283034738
8.25	67540.4607710222	68470.1435383654	69934.8984985835	71396.5262360091	73540.445720125	76650.6998941476	81055.3489724054	91210.1357354786	104871.298725926
8.5	67327.7504245845	68281.8982820672	69785.0644065161	71284.7475895435	73483.8841211874	76673.4365574801	81192.6878871903	91653.2937289634	105829.963000901
8.75	67109.2395746987	68089.0369590785	69632.3943644495	71171.7822911974	73428.2972556304	76699.7867384058	81336.9897898084	92115.8490808882	106841.992425003
9	66884.5635209057	67891.2848996737	69476.7406893152	71057.5873827601	73373.749272592	76729.8655899832	81488.2717902872	92597.7664085801	107909.905848098
9.25	66653.3240616524	67688.3430162616	69317.9428289135	70942.1144906899	73320.3010541934	76763.7664661435	81646.4545620649	93098.6273074741	109035.841868732
9.5	66415.085692355	67479.8851103996	69155.8258353702	70825.3086279817	73268.0077250999	76801.5520560582	81811.3322880458	93617.4876600103	110221.29057502
9.75	66169.3705650235	67265.5541556894	68990.1980389505	70707.1062645571	73216.9152189972	76843.2434995136	81982.5365385014	94152.6935670332	111466.71046477
10	65915.6528577163	67044.9581821896	68820.848462315	70587.4330580541	73167.0559690728	76888.8068935633	82159.4921710803	94701.6423561007	112770.978008497
10.25	65653.3519913826	66817.6652735686	68647.5435772253	70466.200909753	73118.4434468566	76938.1369976266	82341.3651452369	95260.4780359064	114130.603646426
10.5	65381.8250802418	66583.1980824789	68470.0237816988	70343.3046299243	73071.0656073631	76991.037816744	82527.0015773545	95823.7078944974	115538.616485317
10.75	65100.3576951724	66341.0270493224	68287.9989095078	70218.6176155499	73024.8767709599	77047.199994983	82714.8595819024	96383.7346787211	116982.99144956
11	64808.153652356	66090.5631254861	68101.1436420185	70091.9874138118	72979.7887955604	77106.1761832669	82902.9375611308	96930.3092386096	118444.450866675
11.25	64504.3244773531	65831.1508079213	67909.0938026919	69963.232273178	72935.662876703	77167.3567982504	83088.70681478	97449.9362562979	119893.441336062
11.5	64187.8720061391	65562.0550147738	67711.4370909639	69832.1322309495	72892.2956842901	77229.9414080435	83269.0524956397	97925.3054345094	121286.076912798
11.75	63857.6694628213	65282.4474999807	67507.7044250867	69698.4213638526	72849.407458169	77292.9168477201	83440.2491453641	98334.9244450273	122558.977142129
12	63512.4401121018	64991.3922749056	67297.3618495797	69561.7816803187	72806.6338793372	77355.0488609123	83597.9990832519	98653.2552085401	123623.32923966
