age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
6	94356.3247916399	101963.308779824	111780.938193397	119499.053222075	128074.439362428	136649.825502781	144367.940531458	154185.569945031	161792.553933216
6.25	93944.5024593582	101525.772053338	111310.214280862	119002.239251684	127548.637443593	136095.035635502	143787.060606323	153571.502833847	161152.772427827
6.5	93532.6801270765	101088.235326853	110839.490368327	118505.425281293	127022.835524758	135540.245768222	143206.180681188	152957.435722663	160512.990922439
6.75	93120.8577535685	100650.698568441	110368.76643587	118008.611300417	126497.033605923	134985.455911428	142625.300775975	152343.368643404	159873.209458277
7	92708.9111653415	100213.065618804	109897.982479514	117511.765728532	125971.231687084	134430.697645636	142044.480894654	151729.397755363	159233.552208826
7.25	92296.5673873455	99775.1250874961	109427.006590355	117014.819141035	125445.429768232	133876.040395429	141463.852946108	151115.734448967	158594.292149118
7.5	91883.8388468511	99336.8865981296	108955.844773587	116517.774698501	124919.627849366	133321.48100023	140883.410925145	150502.369100602	157955.41685188
7.75	91470.7239398043	98898.3489085315	108484.49625408	116020.631992969	124393.825930474	132767.01986798	140303.155606869	149889.302952417	157316.927921145
8	91057.2257326039	98459.5143933116	108012.962513618	115523.391804328	123868.024011589	132212.656218851	139723.08550956	149276.533629867	156678.822290575
8.25	90643.3449025557	98020.3835769925	107541.24387954	115026.054304899	123342.2220928	131658.389880701	139143.200306061	148664.060608608	156041.099283045
8.5	90229.0828399626	97580.9575362433	107069.341023736	114528.61984836	122816.420174221	131104.220500083	138563.499324707	148051.882812199	155403.75750848
8.75	89814.4409898734	97141.2373901281	106597.254644552	114031.088802308	122290.618255969	130550.147709629	137983.981867385	147439.99912181	154766.795522064
9	89399.4207373158	96701.2242112318	106124.985411333	113533.461519081	121764.81633816	129996.17115724	137404.647264987	146828.408465089	154130.211939005
9.25	88984.0233780645	96260.9190030382	105652.53395033	113035.738328368	121239.014420986	129442.290513603	136825.494891641	146217.109838933	153494.005463907
9.5	88568.2501401412	95820.3227165774	105179.900855085	112537.919542674	120713.212504694	128888.505466715	136246.524154304	145606.102292812	152858.174869248
9.75	88152.1022380397	95379.4362924044	104707.086712605	112040.005471066	120187.410589542	128334.815708019	135667.734466479	144995.38488668	152222.718941045
10	87735.5808860418	94938.2606709106	104234.092109798	111541.996422558	119661.608675785	127781.220929012	135089.125241772	144384.956680659	151587.636465528
10.25	87318.6872640189	94496.7967658353	103760.91761693	111043.892697397	119135.806763659	127227.72082992	134510.695910388	143774.816761482	150952.926263299
10.5	86901.4224604838	94055.0454201578	103287.563760093	110545.694572556	118610.004853344	126674.315134131	133932.445946594	143164.96428653	150318.587246204
10.75	86483.7875339998	93613.0074536605	102814.031050898	110047.402317374	118084.202945001	126121.003572628	133354.374839105	142555.398436342	149684.618356003
11	86065.7835427319	93170.6836858175	102340.320000762	109549.016201093	117558.401038795	125567.785876498	132776.482076829	141946.118391773	149051.018534859
11.25	85647.4115446992	92728.0749359892	101866.431121031	109050.536492911	117032.599134884	125014.661776857	132198.767148738	141337.123333779	148417.786725069
11.5	85228.6726078357	92285.1820312034	101392.364927817	108551.963464517	116506.797233381	124461.631002245	131621.229538944	140728.412435559	147784.921858926
11.75	84809.5678112281	91842.005807113	100918.121942597	108053.297390394	115980.995334346	123908.693278298	131043.868726095	140119.984861579	147152.422857464
12	84390.0982322287	91398.5470980282	100443.702686007	107554.53854459	115455.193437844	123355.848331097	130466.68418968	139511.839777659	146520.288643459
12.25	83970.2649455122	90954.8067361853	99969.1076773929	107055.687200467	114929.391543935	122803.095887402	129889.675410477	138903.976351684	145888.518142357
12.5	83550.0690449128	90510.7855686521	99494.3374453424	106556.743636243	114403.589652656	122250.435669069	129312.84185997	138296.39373666	145257.1102604
12.75	83129.511682478	90066.4844875604	99019.3925465384	106057.708144888	113877.787763974	121697.867383059	128736.182981409	137689.091040387	144626.063845469
13	82708.5940267225	89621.9043977885	98544.2735456084	105558.581023541	113351.985877828	121145.390732115	128159.698210048	137082.067357868	143995.377728934
13.25	82287.3172416872	89177.0462007507	98068.9810050189	105059.362568206	112826.183994163	120593.00542012	127583.386983307	136475.321787575	143365.050746639
13.5	81865.6824896046	88731.9107964609	97593.5154863623	104560.053074425	112300.382112921	120040.711151417	127007.24873948	135868.853429381	142735.081736238
13.75	81443.6909544608	88286.4991017784	97117.8775617424	104060.652843273	111774.580234043	119488.507624813	126431.282906344	135262.661366308	142105.469513626
14	81021.3438407384	87840.8120494347	96642.0678131664	103561.162181037	111248.77835747	118936.394533903	125855.488901774	134656.744665505	141476.212874202
14.25	80598.6423499104	87394.8505698305	96166.0868211874	103061.581393236	110722.976483141	118384.371573045	125279.866145094	134051.102396451	140847.310616371
14.5	80175.5876760784	86948.6155876587	95689.9351627973	102561.910783519	110197.174610997	117832.438438476	124704.414059197	133445.733634336	140218.761545916
14.75	79752.1810444566	86502.1080517008	95213.6134300116	102062.150663429	109671.37274096	117280.594818491	124129.132051908	132840.637430219	139590.564437463
15	79328.4237336478	86055.3289520744	94737.1222406265	101562.301358063	109145.570872915	116728.840387767	123554.019505203	132235.812793755	138962.718012182
15.25	78904.3170503962	85608.279300685	94260.4622260268	101062.36319966	108619.769006728	116177.174813796	122979.075787429	131631.25871277	138335.220963059
15.5	78479.8622917669	85160.9601019431	93783.6340129209	100562.336517998	108093.967142266	115625.597766535	122404.300271612	131026.974182589	137708.071992766
15.75	78055.0607522237	84713.3723582439	93306.638226758	100062.221642191	107568.165279394	115074.108916597	121829.692332031	130422.958200545	137081.269806565
16	77629.9137766033	84265.5171109746	92829.4755172912	99562.0189141098	107042.363417902	114522.707921694	121255.251318513	129819.209724829	136454.813059201
16.25	77204.422756247	83817.3954375189	92352.1465567078	99061.7286873967	106516.561557506	113971.394427616	120680.976558305	129215.727677494	135828.700358765
16.5	76778.5890772555	83369.0084112014	91874.6520146618	98561.3513143609	105990.759697922	113420.168081484	120106.867381183	128612.510984643	135202.930318589
16.75	76352.4141193531	82920.3571004091	91396.992557726	98060.8871456894	105464.957838866	112869.028532042	119532.923120006	128009.558577322	134577.501558378
17	75925.8992277843	82471.4425468371	90919.1688358321	97560.3365233296	104939.155980091	112317.975436852	118959.14312435	127406.869413345	133952.412732398
17.25	75499.0456075473	82022.2656836072	90441.1814312163	97059.6997536698	104413.354121499	111767.008489328	118385.526811782	126804.442559391	133327.66263545
17.5	75071.8543704438	81572.8273716784	89963.0308810982	96558.9771194223	103887.552263026	111216.127406629	117812.073644954	126202.277154373	132703.250155608
17.75	74644.3268948006	81123.1286784053	89484.7178514895	96058.1689710833	103361.750404608	110665.331838132	117238.782957726	125600.37213081	132079.173914415
18	74216.6280746993	80673.2972968861	89006.3220236257	95557.317245433	102835.948546194	110114.579846955	116665.575068762	124998.599795502	131455.269017689
