age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
6	111225.926654059	116597.632098462	123530.394603805	128980.575724795	135036.122639255	141091.669553715	146541.850674706	153474.613180048	158846.318624452
6.25	110444.014825116	115878.273790617	122891.768329786	128405.416821291	134531.480592193	140657.544363095	146171.192854601	153184.687393769	158618.94635927
6.5	109661.658171655	115158.571012997	122252.92710456	127830.144787414	134026.838545097	140223.532302779	145800.749985633	152895.106077196	158392.018918538
6.75	108877.330619876	114437.34198205	121613.133488102	127254.371503151	133522.196497847	139790.021492544	145431.259507593	152607.051013644	158167.062375819
7	108089.571851751	113713.45583515	120971.681815341	126677.725571872	133017.554450321	139357.38332877	145063.427085301	152321.653065492	157945.537048891
7.25	107298.121144644	112986.710670036	120328.446098028	126100.140685015	132512.912402422	138925.684119829	144697.378706816	152039.114134809	157727.7036602
7.5	106503.110301813	112257.208554438	119683.490027003	125521.650363485	132008.270354066	138494.890344648	144333.050681129	151759.332153695	157513.43040632
7.75	105704.671350774	111525.051729751	119036.877401475	124942.288185221	131503.628305168	138064.968425115	143970.379208861	151482.204880585	157302.585259563
8	104902.936319044	110790.342437373	118388.672020652	124362.087728163	130998.986255643	137635.884783123	143609.300490634	151207.630073913	157095.036192241
8.25	104097.945290354	110053.111717911	117738.893254027	123781.05918657	130494.344205402	137207.629224234	143249.795156777	150935.576692892	156890.743120449
8.5	103289.497400087	109313.204022842	117087.444038354	123199.151475316	129989.702154345	136780.252833374	142891.960270336	150666.200285848	156689.906908603
8.75	102477.553165627	108570.58877701	116434.305294514	122616.354552871	129485.060102362	136353.765651854	142535.814910211	150399.531427714	156492.567039098
9	101662.072486464	107825.23492676	115779.457644787	122032.658220536	128980.418049313	135928.177878091	142181.37845384	150135.601171866	156298.763612162
9.25	100843.014413499	107077.110761291	115122.881301389	121448.05206379	128475.775995051	135503.499926312	141828.670688714	149874.441228812	156108.537576604
9.5	100020.337798129	106326.184415311	114464.556380138	120862.525617381	127971.13393944	135079.742261499	141477.711498742	149616.083463569	155921.930080751
9.75	99194.0009957792	105572.423639442	113804.462757165	120276.068289894	127466.491882312	134656.915474729	141128.521007458	149360.560125181	155738.982768844
10	98363.9619161279	104815.795839111	113142.58009318	119688.66937651	126961.849823445	134235.03027038	140781.119553709	149107.903807778	155559.737730762
10.25	97530.1779598917	104056.26802559	112478.887802907	119100.318042908	126457.207762541	133814.097482173	140435.527722174	148858.147499492	155384.23756519
10.5	96692.6060588359	103293.806846994	111813.365074459	118511.003335502	125952.565699297	133394.128063092	140091.766324135	148611.3245516	155212.525339758
10.75	95851.2026469301	102528.378565953	111145.9908554	117920.714174101	125447.923633413	132975.133092724	139749.856411425	148367.468700872	155044.644619895
11	95005.9236502011	101759.949051752	110476.74384786	117329.439349355	124943.281564615	132557.123779876	139409.819281371	148126.614077479	154880.63947903
11.25	94156.7244786371	100988.483774082	109805.602504658	116737.167520751	124438.639492743	132140.111464734	139071.676480827	147888.795211403	154720.554506848
11.5	93303.560025609	100213.94780258	109132.545028992	116143.887216418	123933.997417668	131724.107618918	138735.449806344	147654.047032756	154564.434809727
11.75	92446.3846656744	99436.3058051127	108457.549373352	115549.58683253	123429.35533926	131309.123845991	138401.161305169	147422.404873408	154412.326012846
12	91585.152247474	98655.5220422827	107780.593236092	114954.254631513	122924.713257395	130895.171883278	138068.833278698	147193.904472508	154264.274267316
12.25	90719.8160577051	97871.5603395367	107101.654044048	114357.878732913	122420.071171997	130482.26361108	137738.488299945	146968.582004457	154120.326286289
12.5	89850.3287843029	97084.3840586661	106420.708934769	113760.447104071	121915.429083089	130070.411062107	137410.149231409	146746.474107512	153980.529381875
12.75	88976.6425654951	96293.9561357734	105737.734780172	113161.947572526	121410.786990704	129659.626408882	137083.839201236	146527.617845635	153844.931415913
13	88098.7089718055	95500.2390673341	105052.708177848	112562.367821439	120906.144894875	129249.92196831	136759.581611901	146312.050722415	153713.580817944
13.25	87216.4790355052	94703.194933004	104365.605465288	111961.695397077	120401.502795633	128841.310194188	136437.400125977	146099.810658261	153586.52655576
13.5	86329.9032207131	93902.7853724677	103676.402705443	111359.917701222	119896.860693024	128433.803684827	136117.318680605	145890.936013581	153463.818165336
13.75	85438.9314353201	93098.9715946698	102985.075692482	110757.021994194	119392.218587097	128027.41518	135799.361481712	145685.465579524	153345.505738874
14	84543.5130082067	92291.7143601738	102291.599940782	110152.99538906	118887.576477903	127622.157566745	135483.553015023	145483.438595631	153231.639947598
14.25	83643.596677996	91480.9739724504	101595.95067949	109547.824848766	118382.934365492	127218.043882217	135169.918051494	145284.894758533	153122.272052987
14.5	82739.1306049542	90666.7102870999	100898.102858291	108941.49718919	117878.292249941	126815.087310692	134858.481641592	145089.874212783	153017.453894928
14.75	81830.0623780172	89848.882717315	100198.03115085	108333.999080996	117373.650131453	126413.301181909	134549.269112055	144898.41754559	152917.237884888
15	80916.3389926047	89027.4502166812	99495.7099440508	107725.317043929	116869.008010263	126012.698976597	134242.306076475	144710.565803845	152821.677027921
15.25	79997.9068330429	88202.3712655563	98791.1133294767	107115.437442317	116364.365886609	125613.294330902	133937.618443742	144526.360507662	152730.824940176
15.5	79074.7116654748	87373.60386558	98084.2150999899	106504.346483268	115859.723760729	125215.10103819	133635.232421468	144345.843655878	152644.735855983
15.75	78146.6986571761	86541.1055546361	97374.9887590719	105892.030221596	115355.081632874	124818.133044153	133335.174506677	144169.057711113	152563.464608573
16	77213.812389856	85704.8334171546	96663.4075272561	105278.474563207	114850.439503325	124422.404443444	133037.471479394	143996.045589496	152487.066616795
16.25	76275.9968150746	84864.7440495824	95949.4443205728	104663.665253748	114345.797372364	124027.92949098	132742.150424155	143826.850695146	152415.597929654
16.5	75333.1952401027	84020.7935494317	95233.0717437142	104047.587875008	113841.155240273	123634.722605538	132449.238736833	143661.516931115	152349.115240444
16.75	74385.3503229788	83172.9375114518	94514.2620876432	103430.227843653	113336.51310733	123242.798371007	132158.764127017	143500.088703209	152287.675891682
17	73432.4040664642	82321.1310229308	93792.9873266343	102811.570409638	112831.870973733	122852.171537828	131870.754620832	143342.610924535	152231.337881002
17.25	72474.2978286361	81465.3286719043	93069.2191234051	102191.600658915	112327.228839625	122462.857020335	131585.238555845	143189.129007345	152180.159850614
17.5	71510.9723906817	80605.4845996666	92342.9288619018	101570.303530717	111822.586705145	122074.869879573	131302.244548388	143039.688810623	152134.201019608
17.75	70543.0967238201	79742.1168540474	91614.4398071188	100947.849161798	111317.944570453	121688.039979107	131021.449333787	142893.772286858	152092.792417085
18	69574.7166214681	78878.358476233	90885.7069955098	100325.266501909	110813.302435741	121301.338369573	130740.897875973	142748.246395249	152051.888250014
