age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
6	92752.6165978782	97784.4868162746	104278.655482614	109384.036697466	115056.485883361	120728.935069256	125834.316284109	132328.484950448	137360.355168844
6.25	92322.7575184816	97368.2237336809	103879.939493366	108999.115330031	114686.891342265	120374.667354498	125493.843191164	132005.558950848	137051.025166048
6.5	91892.898439085	96951.9606510872	103481.223504117	108614.193962596	114317.296801168	120020.39963974	125153.370098219	131682.632951249	136741.695163251
6.75	91463.0393425562	96535.6975552264	103082.507506591	108229.272590804	113947.702260072	119666.13192934	124812.897013553	131359.706964917	136432.365177587
7	91033.1286236699	96119.3944832651	102683.766563708	107844.338090054	113578.107718894	119311.877347734	124472.44887408	131036.820954523	136123.086814118
7.25	90603.0524316075	95702.9632696733	102284.945659562	107459.361504965	113208.513177391	118957.664849817	124132.08069522	130714.063085109	135813.973923175
7.5	90172.8149328848	95286.4071409449	101886.046807447	107074.343895079	112838.918635413	118603.493375748	123791.790463379	130391.430129882	135505.022337942
7.75	89742.4144895798	94869.7248286436	101487.069215788	106689.284843702	112469.324092791	118249.36334188	123451.578969793	130068.923356938	135196.233696002
8	89311.851388646	94452.9165549597	101088.013023191	106304.184423732	112099.729549414	117895.274675095	123111.446075636	129746.542543867	134887.607710181
8.25	88881.1249153148	94035.9817663742	100688.877884248	105919.042453365	111730.135005254	117541.227557144	122771.392126261	129424.288244134	134579.145095194
8.5	88450.2346452725	93618.9201343025	100289.663593922	105533.858824693	111360.540460321	117187.22209595	122431.417326721	129102.16078634	134270.84627537
8.75	88019.1801778602	93201.731348479	99890.3699586094	105148.633435826	110990.945914626	116833.258393425	122091.521870642	128780.160480772	133962.711651391
9	87587.9610892692	92784.4150807114	99490.996773522	104763.366178989	110621.35136818	116479.336557371	121751.705962838	128458.287655649	133654.741647091
9.25	87156.576922264	92366.97097696	99091.5438178053	104378.056938031	110251.756821167	116125.456704304	121411.969824529	128136.542665374	133346.93672007
