age	C0.4	C2	C10	C25	C50	C75	C90	C98	C99.6
6	104755.514770135	109074.666485629	114648.995416725	119031.245966782	123900.244484022	128769.243001261	133151.493551318	138725.822482414	143044.974197909
6.25	104171.549426921	108559.000957766	114221.478132261	118673.026295161	123619.01949135	128565.012687539	133016.560850438	138679.038024934	143066.489555778
6.5	103586.925415918	108042.825361012	113793.642561737	118314.63910727	123337.794498594	128360.949889917	132881.94643545	138632.763636175	143088.663581269
6.75	102999.383024326	107524.389785595	113364.396750912	117955.509699653	123056.569505465	128157.629311278	132748.742260019	138588.749225335	143113.755986604
7	102406.757086932	107002.017538892	112932.694433476	117595.087414722	122775.344511655	127955.601608588	132617.994589834	138548.671484418	143143.931936378
7.25	101808.643912649	106475.39600459	112498.340534886	117233.269583226	122494.119516899	127754.969450572	132489.898498912	138512.843029209	143179.595121149
7.5	101205.216191571	105944.658912931	112061.418503518	116870.100124526	122212.894520949	127555.688917372	132364.370538381	138481.130128968	143220.572850328
7.75	100596.64694309	105409.940249169	111622.011946876	116505.623041731	121931.669523558	127357.716005385	132241.327100239	138453.398797947	143266.692104025
8	99983.1091866032	104871.373998557	111180.204472464	116139.882337949	121650.444524476	127161.006711004	132120.684576489	138429.515050395	143317.779862349
8.25	99364.6402785172	104328.989089641	110736.014131764	115772.887513678	121369.219523436	126965.551533194	132002.424915108	138409.449957231	143373.798768355
8.5	98740.9217089528	103782.538869972	110289.287012059	115404.557563403	121087.994520116	126771.431476829	131886.702028173	138393.45017026	143435.067331279
8.75	98111.8721395044	103231.960351463	109839.983808315	115034.871800488	120806.769514275	126578.667228063	131773.555220236	138381.578677087	143501.666889046
9	97477.4087659762	102677.189410945	109388.064507233	114663.809165576	120525.544505758	126387.27984594	131663.024504283	138373.899600571	143573.68024554
9.25	96837.4469147651	102118.160477591	108933.488192173	114291.348123874	120244.319494416	126197.290864958	131555.15079666	138370.478511242	143651.192074067
9.5	96191.9009842256	101554.807261904	108476.213498034	113917.466904565	119963.0944801	126008.722055634	131449.975462165	138371.381698295	143734.287975973
9.75	95540.6840185429	100987.062425726	108016.198405354	113542.143392439	119681.869462669	125821.595532898	131347.540519983	138376.676499612	143823.054906795
10	94883.7077929276	100414.857648219	107553.400281479	113165.355149571	119400.64444201	125635.933734449	131247.888602541	138386.431235802	143917.581091093
10.25	94220.8826569745	99838.1235045625	107087.775804878	112787.079375493	119119.419418045	125451.759460597	131151.063031212	138400.715331528	144017.956179116
10.5	93552.1176236701	99256.7895348748	106619.281008134	112407.292929801	118838.194390695	125269.095851588	131057.107773255	138419.599246514	144124.271157719
10.75	92877.3202828343	98670.7841771796	106147.871236117	112025.972310143	118556.969359877	125087.966409611	130966.067483638	138443.154542575	144236.61843692
11	92196.3967706837	98080.0347438433	105673.501131288	111643.093644494	118275.744325533	124908.395006573	130877.987519779	138471.453907223	144355.091880383
11.25	91509.2517549524	97484.4674100681	105196.124626545	111258.632687423	117994.519287695	124730.405887968	130792.913948846	138504.571165323	144479.786820439
11.5	90815.7884149653	96884.0071984453	104715.69493556	110872.564814979	117713.294246422	124554.023677865	130710.893557284	138542.581294399	144610.800077879
11.75	90115.9084241287	96278.5779653913	104232.164544304	110484.865020219	117432.069201772	124379.273383324	130631.973859239	138585.560438152	144748.229979414
12	89409.5119241685	95668.1023811974	103745.485198602	110095.507906651	117150.844153804	124206.180400957	130556.203109006	138633.58592641	144892.176383439
12.25	88696.4974967033	95052.5019080187	103255.607890397	109704.46768102	116869.619102592	124034.770524164	130483.630314787	138686.736297165	145042.74070848
12.5	87976.7621197451	94431.6967661921	102762.48283674	109311.718142251	116588.394048235	123865.069954219	130414.30525973	138745.091330278	145200.025976725
12.75	87250.2011759427	93805.6059406141	102266.059483763	108917.232683531	116307.168990836	123697.105298141	130348.278497908	138808.732041058	145364.136805729
13	86516.7083785671	93174.1471234239	101766.286470909	108520.984273479	116025.943930496	123530.903587513	130285.601390084	138877.740737568	145535.179482425
13.25	85776.1758473185	92537.2367727067	101263.11166756	108122.945475426	115744.718867314	123366.492259201	130226.326067067	138952.200961921	145713.261887309
